actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-24T01:10:15.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-24T01:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-11-24T01:10:22.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-11-24T01:10:22Z,40000,False,,,0,,Jump Ball G. Antetokounmpo vs. N. Vucevic: Tip to G. Antetokounmpo,"[203507, 203507, 202696]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Antetokounmpo,203507.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-24T01:10:28.1Z,1,REGULAR,3pt,Jump Shot,[],201572,94.1688567674113,96.07843137254902,1610612749,3,0,2022-11-24T01:10:36Z,70000,False,230.0,2.0,1,right,B. Lopez 3PT  (3 PTS) (J. Holiday 1 AST),"[201572, 201950]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,23.04,Made,3.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-11-24T01:10:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,7.966491458607096,49.754901960784316,1610612741,3,2,2022-11-24T01:10:45Z,90000,False,1.0,22.0,1,left,A. Dosunmu cutting Layup (2 PTS) (N. Vucevic 1 AST),"[1630245, 202696]",1610612741.0,CHI,cutting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,2.24,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
11,PT11M26.00S,2022-11-24T01:10:48.8Z,1,REGULAR,3pt,Jump Shot,[],201572,69.72733245729303,25.49019607843137,1610612749,6,2,2022-11-24T01:10:53Z,110000,False,-123.0,232.0,1,right,B. Lopez 26' 3PT  (6 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.24,Made,6.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,
13,PT11M18.00S,2022-11-24T01:11:00.1Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,6,2,2022-11-24T01:11:10Z,130000,False,,,0,,N. Vucevic bad pass out-of-bounds TURNOVER (1 TO),[202696],1610612741.0,CHI,bad pass,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,2004.0,1.0,,,,,,,,,,,,
14,PT11M06.00S,2022-11-24T01:11:17.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201950,70.77858081471747,74.50980392156863,1610612749,6,2,2022-11-24T01:14:13Z,140000,False,123.0,222.0,1,right,MISS J. Holiday 25' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,25.37,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2022-11-24T01:11:18.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,6,2,2022-11-24T01:14:13Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,14.0,,,,,,,,,,,
17,PT11M03.00S,2022-11-24T01:11:30.6Z,1,REGULAR,turnover,out-of-bounds,[],203897,,,1610612741,6,2,2022-11-24T01:11:37Z,170000,False,,,0,,Z. LaVine bad pass out-of-bounds TURNOVER (1 TO),[203897],1610612741.0,CHI,bad pass,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,,,,,,,202037.0,1.0,,,,,,,,,,,,
18,PT10M50.00S,2022-11-24T01:11:55.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203507,93.77463863337714,50.0,1610612749,8,2,2022-11-24T01:12:00Z,180000,False,0.0,6.0,1,right,G. Antetokounmpo driving DUNK (2 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.6,Made,2.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
20,PT10M50.00S,2022-11-24T01:12:01.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,8,2,2022-11-24T01:12:01Z,200000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M36.00S,2022-11-24T01:15:04.1Z,1,REGULAR,3pt,Jump Shot,[],203897,35.56176084099869,39.705882352941174,1610612741,8,5,2022-11-24T01:15:08Z,210000,False,51.0,282.0,1,left,Z. LaVine 28' 3PT  (3 PTS) (N. Vucevic 2 AST),"[203897, 202696]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,28.65,Made,3.0,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,,
