actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-01T01:10:29.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-01T01:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-01T01:10:32.5Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-02-01T01:10:32Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Plumlee: Tip to G. Antetokounmpo,"[203507, 201572, 203486]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-02-01T01:10:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,7.966491458607096,53.92156862745098,1610612749,0,0,2023-02-01T02:28:19Z,70000,False,-20.0,22.0,1,left,MISS P. Connaughton alley-oop Layup,[1626192],1610612749.0,MIL,alley-oop,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,2.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2023-02-01T01:10:42.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2023-02-01T02:28:19Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-02-01T01:11:06.5Z,1,REGULAR,2pt,Jump Shot,[],202330,78.66294349540078,53.92156862745098,1610612766,0,2,2023-02-01T01:11:11Z,90000,False,20.0,148.0,1,right,G. Hayward 14' turnaround Jump Shot (2 PTS) (L. Ball 1 AST),"[202330, 1630163]",1610612766.0,CHA,turnaround,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Center,14.94,Made,,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,
11,PT11M18.00S,2023-02-01T01:11:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,8.754927726675426,50.73529411764706,1610612749,0,2,2023-02-01T01:11:31Z,110000,False,-4.0,30.0,1,left,MISS B. Lopez floating Shot,[201572],1610612749.0,MIL,floating,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,3.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-02-01T01:11:29.2Z,1,REGULAR,rebound,offensive,[],201950,,,1610612749,0,2,2023-02-01T01:11:29Z,120000,False,,,0,,J. Holiday REBOUND (Off:1 Def:0),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,11.0,,,,,1.0,0.0,1.0,,,,,,,,,,
13,PT11M14.00S,2023-02-01T01:11:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201950,5.590000152587891,50.0,1610612749,2,2,2023-02-01T01:11:29Z,130000,False,0.0,0.0,1,left,J. Holiday tip Layup (2 PTS),[201950],1610612749.0,MIL,tip,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,0.0,Made,,2.0,,,,,,,,,,,,,,,,
14,PT11M00.00S,2023-02-01T01:11:43.5Z,1,REGULAR,3pt,Jump Shot,[],1629023,66.5735873850197,26.96078431372549,1610612766,2,5,2023-02-01T01:11:55Z,140000,False,-115.0,262.0,1,right,P. Washington 28' 3PT  (3 PTS) (L. Ball 2 AST),"[1629023, 1630163]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,28.59,Made,,3.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,
17,PT10M48.00S,2023-02-01T01:11:55.8Z,1,REGULAR,3pt,Jump Shot,[],201950,33.98488830486202,73.2843137254902,1610612749,2,5,2023-02-01T01:12:00Z,160000,False,-116.0,267.0,1,left,MISS J. Holiday 29' pullup 3PT,[201950],1610612749.0,MIL,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,29.13,Missed,,,,,,,,,,,,,,,,,,
