actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-08T22:10:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-08T22:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-08T22:10:35.4Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2023-01-08T22:10:35Z,40000,False,,,0,,Jump Ball M. Plumlee vs. M. Turner: Tip to L. Ball,"[1630163, 203486, 1626167]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-08T22:10:47.4Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612766,0,0,2023-01-08T22:10:50Z,70000,False,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 1629614]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Left,1.0,Nembhard,1629614.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-01-08T22:10:47.4Z,1,REGULAR,steal,,[],1629614,,,1610612754,0,0,2023-01-08T22:10:48Z,80000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2023-01-08T22:11:06.0Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,0,0,2023-01-08T22:11:09Z,90000,False,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 1626179]",1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,1.0,Rozier,1626179.0,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2023-01-08T22:11:06.0Z,1,REGULAR,steal,,[],1626179,,,1610612766,0,0,2023-01-08T22:20:00Z,100000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2023-01-08T22:11:10.1Z,1,REGULAR,turnover,lost ball,[],1626179,,,1610612766,0,0,2023-01-08T22:11:14Z,110000,False,,,0,,T. Rozier lost ball TURNOVER (1 TO),"[1626179, 1630169]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,1.0,Haliburton,1630169.0,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2023-01-08T22:11:10.1Z,1,REGULAR,steal,,[],1630169,,,1610612754,0,0,2023-01-08T22:11:11Z,120000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2023-01-08T22:11:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627741,93.64323258869908,53.92156862745098,1610612754,2,0,2023-01-08T22:11:19Z,130000,False,20.0,7.0,1,right,B. Hield running finger roll Layup (2 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,running finger roll,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,2.09,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,
15,PT11M03.00S,2023-01-08T22:11:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,13.748357424441524,38.970588235294116,1610612766,2,2,2023-01-08T22:11:37Z,150000,False,55.0,77.0,1,left,P. Washington 9' pullup Jump Shot (2 PTS) (J. McDaniels 1 AST),"[1629023, 1629667]",1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Right,,,,9.44,Made,2.0,J. McDaniels,1629667.0,1.0,,,,,,,,,,,
16,PT11M01.00S,2023-01-08T22:11:35.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,2,2,2023-01-08T22:11:40Z,160000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,1146.0,,,,,,,,,,
18,PT10M47.00S,2023-01-08T22:11:52.0Z,1,REGULAR,3pt,Jump Shot,[],1627741,78.13731931668858,7.8431372549019605,1610612754,2,2,2023-01-08T22:11:56Z,170000,False,-211.0,153.0,1,right,MISS B. Hield 26' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,26.05,Missed,,,,,,,,,,,,,,,
19,PT10M44.00S,2023-01-08T22:11:55.0Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,2,2,2023-01-08T22:11:56Z,180000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,
20,PT10M27.00S,2023-01-08T22:12:11.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,17.0335085413929,94.85294117647058,1610612766,2,2,2023-01-08T22:12:16Z,190000,False,-224.0,108.0,1,left,MISS L. Ball 24' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,24.88,Missed,,,,,,,,,,,,,,,
