actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-10T00:11:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-10T00:11:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-10T00:11:45.8Z,1,REGULAR,jumpball,recovered,[],1627741,,,0,0,0,2022-11-10T00:11:45Z,40000,False,,,0,,Jump Ball M. Turner vs. N. Jokic: Tip to B. Hield,"[1627741, 1626167, 203999]",1610612754.0,IND,unclearpass,B. Hield,1627741.0,Hield,B. Hield,Turner,1626167.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-11-10T00:11:56.2Z,1,REGULAR,foul,offensive,[],1629614,,,0,0,0,2022-11-10T00:12:14Z,70000,False,,,0,,A. Nembhard offensive FOUL (1 PF),"[1629614, 1627750]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Center,204059.0,1.0,0.0,Murray,1627750.0,,,,,,,,,,,,,,,
9,PT11M49.00S,2022-11-10T00:11:56.2Z,1,REGULAR,turnover,offensive foul,[],1629614,,,1610612754,0,0,2022-11-10T00:12:14Z,90000,False,,,0,,A. Nembhard offensive foul TURNOVER (1 TO),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Center,204059.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M37.00S,2022-11-10T00:12:16.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,31.488173455978973,52.94117647058824,1610612743,0,0,2022-11-10T00:12:23Z,100000,False,-15.0,243.0,1,left,MISS N. Jokic 24' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Center,,,,,,,24.39,Missed,,,,,,,,,,,,
11,PT11M34.00S,2022-11-10T00:12:19.7Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,0,0,2022-11-10T00:12:23Z,110000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M26.00S,2022-11-10T00:12:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,93.11760840998686,53.18627450980392,1610612754,0,0,2022-11-10T00:12:31Z,120000,False,16.0,12.0,1,right,MISS J. Smith reverse Layup,[1630188],1610612754.0,IND,reverse,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,2.0,Missed,,,,,,,,,,,,
13,PT11M23.00S,2022-11-10T00:12:29.9Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,0,0,2022-11-10T00:12:31Z,130000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M21.00S,2022-11-10T00:12:31.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,29.6484888304862,25.49019607843137,1610612743,0,0,2022-11-10T00:12:37Z,140000,False,123.0,226.0,1,left,MISS A. Gordon 25' running 3PT,[203932],1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,25.72,Missed,,,,,,,,,,,,
15,PT11M17.00S,2022-11-10T00:12:35.9Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,0,2022-11-10T00:20:06Z,150000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT11M14.00S,2022-11-10T00:12:39.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,76.82325886990802,10.784313725490197,1610612754,0,0,2022-11-10T00:12:44Z,160000,False,-196.0,165.0,1,right,MISS B. Hield 25' running 3PT,[1627741],1610612754.0,IND,running,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,,,,25.65,Missed,,,,,,,,,,,,
17,PT11M11.00S,2022-11-10T00:12:42.4Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2022-11-10T00:12:44Z,170000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT11M00.00S,2022-11-10T00:12:53.6Z,1,REGULAR,2pt,Jump Shot,[],1627750,10.068988173455978,24.264705882352942,1610612743,0,0,2022-11-10T00:13:14Z,180000,False,129.0,42.0,1,left,MISS J. Murray 13' fadeaway Shot,[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Right,,,,,,,13.54,Missed,,,,,,,,,,,,
19,PT10M56.00S,2022-11-10T00:12:57.6Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,0,0,2022-11-10T00:12:57Z,190000,False,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,8-16 Right,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,
