actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-05T23:11:35.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-05T23:11:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-05T23:11:37.5Z,1,REGULAR,jumpball,recovered,[],1629656,,,1610612752,0,0,2023-04-05T23:11:37Z,40000,False,,,0,,Jump Ball M. Robinson vs. J. Smith: Tip to Q. Grimes,"[1629656, 1629011, 1630188]",1610612752.0,NYK,startperiod,Q. Grimes,1629656.0,Grimes,Q. Grimes,Robinson,1629011.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-04-05T23:11:53.9Z,1,REGULAR,3pt,Jump Shot,[],1630167,5.995400788436268,96.32352941176471,1610612752,0,0,2023-04-05T23:11:57Z,70000,False,-232.0,4.0,1,left,MISS O. Toppin 3PT,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-04-05T23:11:55.9Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,0,2023-04-05T23:11:57Z,80000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M20.00S,2023-04-05T23:12:15.3Z,1,REGULAR,2pt,Jump Shot,[],1631097,94.43166885676742,69.11764705882352,1610612754,0,0,2023-04-05T23:12:25Z,90000,False,96.0,0.0,1,right,MISS B. Mathurin 9' driving floating Shot,[1631097],1610612754.0,IND,driving floating,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Right,9.56,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2023-04-05T23:12:18.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2023-04-05T23:12:20Z,100000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M11.00S,2023-04-05T23:12:26.3Z,1,REGULAR,foul,personal,['2freethrow'],1629670,,,1610612752,0,0,2023-04-05T23:12:51Z,110000,False,,,0,,J. Nwora shooting personal FOUL (1 PF) (Toppin 2 FT),"[1629670, 1630167]",1610612754.0,IND,shooting,,,Nwora,J. Nwora,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1146.0,1.0,0.0,Toppin,1630167.0,,,,,,,,,
13,PT11M11.00S,2023-04-05T23:13:00.4Z,1,REGULAR,freethrow,1 of 2,[],1630167,,,1610612752,0,1,2023-04-05T23:13:25Z,130000,False,,,0,,O. Toppin Free Throw 1 of 2 (1 PTS),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M11.00S,2023-04-05T23:13:00.4Z,1,REGULAR,freethrow,2 of 2,[],1630167,,,1610612752,0,2,2023-04-05T23:13:25Z,140000,False,,,0,,O. Toppin Free Throw 2 of 2 (2 PTS),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M57.00S,2023-04-05T23:13:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,81.15965834428384,49.50980392156863,1610612754,2,2,2023-04-05T23:14:11Z,150000,False,-2.0,125.0,1,right,A. Nembhard 12' step back Jump Shot (2 PTS),[1629614],1610612754.0,IND,step back,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,12.46,Made,,,,,,,,,,2.0,,,,,,,,
16,PT10M39.00S,2023-04-05T23:13:46.5Z,1,REGULAR,3pt,Jump Shot,[],1629656,26.10052562417871,83.33333333333334,1610612752,2,2,2023-04-05T23:13:52Z,160000,False,-167.0,193.0,1,left,MISS Q. Grimes 25' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2023-04-05T23:13:51.5Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,2,2,2023-04-05T23:13:52Z,170000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M13.00S,2023-04-05T23:14:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,91.40932982917214,54.166666666666664,1610612754,2,2,2023-04-05T23:14:16Z,180000,False,21.0,28.0,1,right,MISS J. Smith reverse Layup - blocked,"[1630188, 1629011]",1610612754.0,IND,reverse,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,,,,,,,Robinson,1629011.0,,,,,,
19,PT10M13.00S,2023-04-05T23:14:12.5Z,1,REGULAR,block,,[],1629011,,,1610612754,2,2,2023-04-05T23:14:14Z,190000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2023-04-05T23:14:14.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,2,2,2023-04-05T23:14:16Z,200000,False,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT09M59.00S,2023-04-05T23:14:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629011,10.988830486202366,42.64705882352941,1610612752,2,4,2023-04-05T23:14:32Z,210000,False,37.0,51.0,1,left,M. Robinson 6' turnaround bank Jump Shot (2 PTS) (I. Quickley 1 AST),"[1629011, 1630193]",1610612752.0,NYK,turnaround bank,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,6.27,Made,,,,,,,,,,2.0,,,I. Quickley,1630193.0,1.0,,,
22,PT09M45.00S,2023-04-05T23:14:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,85.89027595269383,54.166666666666664,1610612754,2,4,2023-04-05T23:14:45Z,220000,False,21.0,80.0,1,right,MISS A. Nembhard 8' driving floating Shot,[1629614],1610612754.0,IND,driving floating,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,8.28,Missed,,,,,,,,,,,,,,,,,,
23,PT09M43.00S,2023-04-05T23:14:42.9Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,2,4,2023-04-05T23:14:45Z,230000,False,,,0,,J. Smith REBOUND (Off:1 Def:0),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M41.00S,2023-04-05T23:14:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630188,92.46057818659659,43.13725490196079,1610612754,2,4,2023-04-05T23:14:49Z,240000,False,-34.0,18.0,1,right,MISS J. Smith putback Layup,[1630188],1610612754.0,IND,putback,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
25,PT09M39.00S,2023-04-05T23:14:46.8Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,2,4,2023-04-05T23:14:49Z,250000,False,,,0,,J. Smith REBOUND (Off:2 Def:0),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,24.0,2.0,0.0,2.0,,,,,,,,,,,,,,
26,PT09M38.00S,2023-04-05T23:14:47.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630188,93.11760840998686,46.81372549019608,1610612754,4,4,2023-04-05T23:14:52Z,260000,False,-16.0,12.0,1,right,J. Smith putback Layup (2 PTS),[1630188],1610612754.0,IND,putback,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,,,,,,2.0,,,,,,,,
27,PT09M30.00S,2023-04-05T23:14:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629656,6.258212877792378,51.225490196078425,1610612752,4,4,2023-04-05T23:14:59Z,270000,False,-6.0,6.0,1,left,MISS Q. Grimes driving Layup,[1629656],1610612752.0,NYK,driving,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,0.88,Missed,,,,,,,,,,,,,,,,,,
29,PT09M27.00S,2023-04-05T23:14:58.0Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,4,4,2023-04-05T23:14:59Z,290000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:3),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,27.0,3.0,3.0,0.0,,,,,,,,,,,,,,
31,PT09M25.00S,2023-04-05T23:15:01.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,74.32654402102497,82.84313725490196,1610612754,7,4,2023-04-05T23:15:09Z,310000,False,164.0,189.0,1,right,A. Nesmith 25' 3PT running (3 PTS) (A. Nembhard 1 AST),"[1630174, 1629614]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,25.02,Made,,,,,,,,,,3.0,,,A. Nembhard,1629614.0,1.0,,,
33,PT09M08.00S,2023-04-05T23:15:17.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,35.56176084099869,65.68627450980392,1610612752,7,4,2023-04-05T23:15:21Z,330000,False,-78.0,282.0,1,left,MISS I. Quickley 29' pullup 3PT,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,29.25,Missed,,,,,,,,,,,,,,,,,,
34,PT09M05.00S,2023-04-05T23:15:20.3Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,7,4,2023-04-05T23:15:21Z,340000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M02.00S,2023-04-05T23:15:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631097,92.06636005256242,45.83333333333333,1610612754,7,4,2023-04-05T23:15:28Z,350000,False,-21.0,22.0,1,right,MISS B. Mathurin running reverse Layup,[1631097],1610612754.0,IND,running reverse,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
36,PT08M59.00S,2023-04-05T23:15:27.3Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,7,4,2023-04-05T23:15:28Z,360000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M56.00S,2023-04-05T23:15:29.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,29.77989487516426,19.852941176470587,1610612752,7,7,2023-04-05T23:15:35Z,370000,False,151.0,227.0,1,left,I. Quickley 27' 3PT running (3 PTS) (Q. Grimes 1 AST),"[1630193, 1629656]",1610612752.0,NYK,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,27.28,Made,,,,,,,,,,3.0,,,Q. Grimes,1629656.0,1.0,,,
39,PT08M47.00S,2023-04-05T23:15:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630174,86.15308804204993,95.83333333333334,1610612754,7,7,2023-04-05T23:15:42Z,390000,False,229.0,78.0,1,right,MISS A. Nesmith 24' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,24.2,Missed,,,,,,,,,,,,,,,,,,
40,PT08M44.00S,2023-04-05T23:15:41.5Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,7,7,2023-04-05T23:15:42Z,400000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:2),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Right Corner 3,24+ Right,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M28.00S,2023-04-05T23:15:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,12.040078843626807,44.36274509803921,1610612752,7,7,2023-04-05T23:21:59Z,410000,False,28.0,61.0,1,left,MISS I. Quickley 6' driving floating Shot,[1630193],1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,6.69,Missed,,,,,,,,,,,,,,,,,,
42,PT08M27.00S,2023-04-05T23:15:58.3Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,7,7,2023-04-05T23:16:00Z,420000,False,,,0,,M. Robinson REBOUND (Off:1 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,41.0,3.0,2.0,1.0,,,,,,,,,,,,,,
43,PT08M26.00S,2023-04-05T23:16:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629011,5.995400788436268,52.20588235294118,1610612752,7,9,2023-04-05T23:16:03Z,430000,False,-11.0,4.0,1,left,M. Robinson putback Layup (4 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.17,Made,,,,,,,,,,4.0,,,,,,,,
44,PT08M20.00S,2023-04-05T23:16:09.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,7,9,2023-04-05T23:16:09Z,440000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M11.00S,2023-04-05T23:19:17.4Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,7,9,2023-04-05T23:19:20Z,450000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 1628404]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Hart,1628404.0
47,PT08M11.00S,2023-04-05T23:19:17.4Z,1,REGULAR,steal,,[],1628404,,,1610612752,7,9,2023-04-05T23:19:18Z,460000,False,,,0,,J. Hart STEAL (1 STL),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M08.00S,2023-04-05T23:19:20.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630193,26.62614980289093,12.5,1610612752,7,12,2023-04-05T23:23:15Z,470000,False,188.0,198.0,1,left,I. Quickley 27' 3PT running pullup (6 PTS) (O. Toppin 1 AST),"[1630193, 1630167]",1610612752.0,NYK,running pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,27.25,Made,,,,,,,,,,6.0,,,O. Toppin,1630167.0,1.0,,,
50,PT07M45.00S,2023-04-05T23:19:41.9Z,1,REGULAR,3pt,Jump Shot,[],1630174,78.26872536136662,94.11764705882352,1610612754,7,12,2023-04-05T23:19:47Z,490000,False,221.0,152.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,26.78,Missed,,,,,,,,,,,,,,,,,,
51,PT07M41.00S,2023-04-05T23:19:45.9Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612752,7,12,2023-04-05T23:19:47Z,500000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M37.00S,2023-04-05T23:19:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,6.783837056504599,47.794117647058826,1610612752,7,14,2023-04-05T23:24:23Z,510000,False,11.0,11.0,1,left,M. Robinson cutting Layup (6 PTS) (I. Quickley 2 AST),"[1629011, 1630193]",1610612752.0,NYK,cutting,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.58,Made,,,,,,,,,,6.0,,,I. Quickley,1630193.0,2.0,,,
