actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-22T23:10:16.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-22T23:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-22T23:10:17.9Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612765,0,0,2022-10-22T23:10:17Z,40000,,,0,,Jump Ball I. Stewart vs. I. Jackson: Tip to B. Bogdanovic,"[202711, 1630191, 1630543]",1610612765.0,DET,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Stewart,1630191.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-22T23:10:32.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,31.225361366622867,49.754901960784316,1610612765,0,3,2022-10-22T23:10:36Z,70000,1.0,241.0,1,left,C. Cunningham 24' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1630595, 202711]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,24.1,Made,3.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-10-22T23:10:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,92.32917214191852,47.30392156862745,1610612754,0,3,2022-10-22T23:10:56Z,90000,-13.0,20.0,1,right,MISS I. Jackson cutting Layup,[1630543],1610612754.0,IND,cutting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,2.38,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-10-22T23:10:51.9Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612754,0,3,2022-10-22T23:10:56Z,100000,,,0,,J. Smith REBOUND (Off:1 Def:0),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M22.00S,2022-10-22T23:10:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630188,93.77463863337714,54.166666666666664,1610612754,2,3,2022-10-22T23:11:02Z,110000,21.0,6.0,1,right,J. Smith putback Layup (2 PTS),[1630188],1610612754.0,IND,putback,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,2.16,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-10-22T23:11:04.2Z,1,REGULAR,3pt,Jump Shot,[],1630191,31.488173455978973,40.19607843137255,1610612765,2,3,2022-10-22T23:11:09Z,120000,49.0,243.0,1,left,MISS I. Stewart 24' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,24.84,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2022-10-22T23:11:08.2Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,2,3,2022-10-22T23:11:11Z,130000,,,0,,J. Smith REBOUND (Off:1 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,
14,PT11M03.00S,2022-10-22T23:11:12.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,70.25295663600527,72.79411764705883,1610612754,2,3,2022-10-22T23:11:57Z,140000,114.0,227.0,1,right,MISS B. Hield 25' running pullup 3PT,[1627741],1610612754.0,IND,running pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,25.41,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2022-10-22T23:11:17.5Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,3,2022-10-22T23:11:20Z,150000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M48.00S,2022-10-22T23:11:27.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,28.33442838370565,80.14705882352942,1610612765,2,6,2022-10-22T23:11:32Z,160000,-151.0,214.0,1,left,S. Bey 26' 3PT  (3 PTS) (J. Ivey 1 AST),"[1630180, 1631093]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,26.16,Made,3.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
18,PT10M25.00S,2022-10-22T23:11:49.5Z,1,REGULAR,2pt,Jump Shot,[],1630188,77.34888304862024,29.65686274509804,1610612754,2,6,2022-10-22T23:11:56Z,180000,-102.0,160.0,1,right,MISS J. Smith 18' Jump Shot,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Left Center,18.99,Missed,,,,,,,,,,,,,,,,,,
19,PT10M23.00S,2022-10-22T23:11:51.5Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,6,2022-10-22T23:11:56Z,190000,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Left Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M11.00S,2022-10-22T23:12:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,9.017739816031538,35.53921568627451,1610612765,2,6,2022-10-22T23:12:12Z,200000,72.0,32.0,1,left,MISS B. Bogdanovic 7' turnaround Shot - blocked,"[202711, 1630543]",1610612765.0,DET,turnaround,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,Jackson,1630543.0,,,,,,,,
21,PT10M11.00S,2022-10-22T23:12:04.4Z,1,REGULAR,block,,[],1630543,,,1610612765,2,6,2022-10-22T23:12:07Z,210000,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2022-10-22T23:12:05.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,2,6,2022-10-22T23:12:12Z,220000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,20.0,,,,,,,,,,,,,
24,PT10M02.00S,2022-10-22T23:12:34.7Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612765,2,6,2022-10-22T23:12:44Z,240000,,,0,,I. Jackson shooting personal FOUL (1 PF) (Stewart 2 FT),"[1630543, 1630191]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1198.0,1.0,0.0,Stewart,1630191.0,,,
26,PT10M02.00S,2022-10-22T23:13:02.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630191,,,1610612765,2,6,2022-10-22T23:13:02Z,260000,,,0,,MISS I. Stewart Free Throw 1 of 2,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT10M02.00S,2022-10-22T23:13:02.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,2,6,2022-10-22T23:13:02Z,270000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,
28,PT10M02.00S,2022-10-22T23:13:20.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630191,,,1610612765,2,7,2022-10-22T23:13:20Z,280000,,,0,,I. Stewart Free Throw 2 of 2 (1 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
29,PT09M57.00S,2022-10-22T23:13:30.3Z,1,REGULAR,foul,offensive,[],1627741,,,1610612754,2,7,2022-10-22T23:27:37Z,290000,,,0,,B. Hield offensive FOUL (1 PF),"[1627741, 1630595]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,201639.0,1.0,0.0,Cunningham,1630595.0,,,
31,PT09M57.00S,2022-10-22T23:13:30.3Z,1,REGULAR,turnover,offensive foul,[],1627741,,,1610612754,2,7,2022-10-22T23:13:30Z,310000,,,0,,B. Hield offensive foul TURNOVER (1 TO),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,201639.0,,,,,1.0,,
32,PT09M46.00S,2022-10-22T23:13:55.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202711,13.354139290407357,50.245098039215684,1610612765,2,7,2022-10-22T23:14:00Z,320000,-1.0,73.0,1,left,MISS B. Bogdanovic 7' pullup Shot - blocked,"[202711, 1630174]",1610612765.0,DET,pullup,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,7.3,Missed,,,,,,,,,Nesmith,1630174.0,,,,,,,,
33,PT09M46.00S,2022-10-22T23:13:55.3Z,1,REGULAR,block,,[],1630174,,,1610612765,2,7,2022-10-22T23:13:58Z,330000,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M42.00S,2022-10-22T23:13:59.3Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,2,7,2022-10-22T23:14:15Z,340000,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
35,PT09M40.00S,2022-10-22T23:14:01.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630188,93.51182654402102,49.50980392156863,1610612754,4,7,2022-10-22T23:14:07Z,350000,-2.0,8.0,1,right,J. Smith running DUNK (4 PTS) (I. Jackson 1 AST),"[1630188, 1630543]",1610612754.0,IND,running,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,0.89,Made,4.0,I. Jackson,1630543.0,1.0,,,,,,,,,,,,,,
