shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,jerseyNumber,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-15T00:10:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-15T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,7,PT12M00.00S,2022-12-15T00:10:38.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-12-15T00:13:34Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612754.0,IND,204059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,4,PT12M00.00S,2022-12-15T00:10:38.3Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-12-15T00:10:38Z,40000,False,,,0,,Jump Ball K. Looney vs. M. Turner: Tip to D. Green,"[203110, 1626172, 1626167]",1610612744.0,GSW,,23,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
11:44,8,PT11M44.00S,2022-12-15T00:10:51.6Z,1,REGULAR,2pt,Jump Shot,[],201939,6.389618922470433,21.07843137254902,1610612744,0,2,2022-12-15T00:11:03Z,80000,False,145.0,8.0,1,left,S. Curry 14' fadeaway Jump Shot (2 PTS) (J. Poole 1 AST),"[201939, 1629673]",1610612744.0,GSW,,30,fadeaway,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,14.48,Made,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,,
11:14,11,PT11M14.00S,2022-12-15T00:11:41.8Z,1,REGULAR,3pt,Jump Shot,[],1630174,93.24901445466492,95.58823529411765,1610612754,0,2,2022-12-15T00:11:48Z,110000,False,228.0,11.0,1,right,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,23,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,22.82,Missed,,,,,,,,,,,,,,,,,
11:10,12,PT11M10.00S,2022-12-15T00:11:45.8Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,2,2022-12-15T00:11:48Z,120000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,5,,,,Looney,K. Looney,,,,,Right Corner 3,24+ Right,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
10:59,14,PT10M59.00S,2022-12-15T00:12:13.2Z,1,REGULAR,3pt,Jump Shot,[],1628978,22.158344283837057,11.029411764705882,1610612744,0,5,2022-12-15T00:12:18Z,140000,False,195.0,156.0,1,left,D. DiVincenzo 24' 3PT  (3 PTS) (K. Looney 1 AST),"[1628978, 1626172]",1610612744.0,GSW,,0,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,24.95,Made,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,
10:35,16,PT10M35.00S,2022-12-15T00:12:36.8Z,1,REGULAR,2pt,Jump Shot,[],1627741,82.7365308804205,21.323529411764707,1610612754,2,5,2022-12-15T00:12:41Z,160000,False,-143.0,110.0,1,right,B. Hield 18' step back Jump Shot (2 PTS),[1627741],1610612754.0,IND,,24,step back,,,Hield,B. Hield,,,,,Mid-Range,16-24 Left Center,18.06,Made,2.0,,,,,,,,,,,,,,,,
10:25,17,PT10M25.00S,2022-12-15T00:12:46.8Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,2,5,2022-12-15T00:12:49Z,170000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1626167]",1610612744.0,GSW,,3,,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Turner,1626167.0,,,,,,
10:25,18,PT10M25.00S,2022-12-15T00:12:46.8Z,1,REGULAR,steal,,[],1626167,,,1610612754,2,5,2022-12-15T00:12:48Z,180000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,33,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
