actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-04T00:13:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-04T00:13:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-04T00:13:41.9Z,1,REGULAR,jumpball,recovered,[],1627741,,,1610612754,0,0,2023-02-04T00:13:41Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Sabonis: Tip to B. Hield,"[1627741, 1626167, 1627734]",1610612754.0,IND,startperiod,B. Hield,1627741.0,Hield,B. Hield,Turner,1626167.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-02-04T00:14:04.9Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612754,0,0,2023-02-04T00:14:10Z,70000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Turner 2 FT),"[1631099, 1626167]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,1162.0,1.0,0.0,Turner,1626167.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-02-04T00:14:27.0Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,1,0,2023-02-04T00:14:27Z,90000,False,,,0,,M. Turner Free Throw 1 of 2 (1 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M37.00S,2023-02-04T00:14:43.7Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,2,0,2023-02-04T00:14:43Z,100000,False,,,0,,M. Turner Free Throw 2 of 2 (2 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2023-02-04T00:15:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,8.886333771353483,46.07843137254902,1610612758,2,0,2023-02-04T00:15:07Z,110000,False,20.0,31.0,1,left,MISS K. Huerter driving Layup,[1628989],1610612758.0,SAC,driving,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.67,,,,,,,,,,,,
12,PT11M18.00S,2023-02-04T00:15:07.0Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,2,0,2023-02-04T00:15:07Z,120000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M13.00S,2023-02-04T00:15:11.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,93.51182654402102,96.56862745098039,1610612754,5,0,2023-02-04T00:15:19Z,130000,False,233.0,8.0,1,right,T. Haliburton 3PT running (3 PTS) (B. Hield 1 AST),"[1630169, 1627741]",1610612754.0,IND,running,,,Haliburton,T. Haliburton,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.3,,,,,B. Hield,1627741.0,1.0,,,,,
15,PT10M57.00S,2023-02-04T00:15:27.1Z,1,REGULAR,3pt,Jump Shot,[],203084,30.17411300919842,68.13725490196079,1610612758,5,3,2023-02-04T00:15:32Z,150000,False,-91.0,231.0,1,left,H. Barnes 24' 3PT step back (3 PTS) (D. Sabonis 1 AST),"[203084, 1627734]",1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,24.83,,,,,D. Sabonis,1627734.0,1.0,,,,,
17,PT10M39.00S,2023-02-04T00:15:47.9Z,1,REGULAR,turnover,out-of-bounds,[],1630174,,,1610612754,5,3,2023-02-04T00:16:02Z,170000,False,,,0,,A. Nesmith bad pass out-of-bounds TURNOVER (1 TO),[1630174],1610612754.0,IND,bad pass,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,1162.0,,,,,,,,,,,,,,,1.0,,,,
