shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
11:05,17,PT11M05.00S,2022-12-13T00:13:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,6.521024967148489,45.09803921568628,1610612748,3,2,2022-12-13T00:13:34Z,170000,False,25.0,9.0,1,left,MISS J. Butler running Layup,[202710],22,1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.6,,,,,,,,,,,,
11:02,18,PT11M02.00S,2022-12-13T00:13:32.5Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,3,2,2022-12-13T00:13:34Z,180000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],0,1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
10:57,19,PT10M57.00S,2022-12-13T00:13:36.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626167,91.67214191852825,44.6078431372549,1610612754,3,2,2022-12-13T00:13:41Z,190000,False,-27.0,26.0,1,right,MISS M. Turner running Layup,[1626167],33,1610612754.0,IND,running,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.73,,,,,,,,,,,,
10:55,20,PT10M55.00S,2022-12-13T00:13:38.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,3,2,2022-12-13T00:13:41Z,200000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
10:51,21,PT10M51.00S,2022-12-13T00:13:43.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628389,7.835085413929041,51.9607843137255,1610612748,3,2,2022-12-13T00:17:50Z,210000,False,-10.0,21.0,1,left,MISS B. Adebayo running Layup,[1628389],13,1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.33,,,,,,,,,,,,
10:48,22,PT10M48.00S,2022-12-13T00:13:46.4Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,3,2,2022-12-13T00:14:03Z,220000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],24,1610612754.0,IND,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
10:41,23,PT10M41.00S,2022-12-13T00:13:53.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,87.20433639947439,96.32352941176471,1610612754,3,2,2022-12-13T00:13:58Z,230000,False,232.0,68.0,1,right,MISS B. Hield 24' 3PT,[1627741],24,1610612754.0,IND,,,,Hield,B. Hield,,,,,Right Corner 3,24+ Right,,,,,,Missed,,24.13,,,,,,,,,,,,
10:37,24,PT10M37.00S,2022-12-13T00:13:57.3Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,3,2,2022-12-13T00:13:58Z,240000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],16,1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
10:25,26,PT10M25.00S,2022-12-13T00:14:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,14.668199737187912,40.19607843137255,1610612748,3,4,2022-12-13T00:14:27Z,260000,False,49.0,85.0,1,left,B. Adebayo 9' Jump Shot (2 PTS) (T. Herro 1 AST),"[1628389, 1629639]",13,1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,9.85,T. Herro,1629639.0,1.0,,,,,,,,,
10:08,28,PT10M08.00S,2022-12-13T00:14:40.0Z,1,REGULAR,2pt,Jump Shot,[],1630174,92.85479632063075,26.715686274509803,1610612754,5,4,2022-12-13T00:14:46Z,280000,False,-116.0,15.0,1,right,A. Nesmith 11' driving floating Jump Shot (5 PTS),[1630174],23,1610612754.0,IND,driving floating,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Left,,,,,,Made,5.0,11.73,,,,,,,,,,,,
09:52,32,PT09M52.00S,2022-12-13T00:15:01.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629639,10.33180026281209,44.85294117647059,1610612748,5,4,2022-12-13T00:21:12Z,320000,False,26.0,45.0,1,left,MISS T. Herro turnaround Hook - blocked,"[1629639, 1630174]",14,1610612748.0,MIA,turnaround,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,5.15,,,,,,,,,,,Nesmith,1630174.0
09:52,33,PT09M52.00S,2022-12-13T00:15:01.4Z,1,REGULAR,block,,[],1630174,,,1610612748,5,4,2022-12-13T00:15:03Z,330000,False,,,0,,A. Nesmith BLOCK (1 BLK),[1630174],23,1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
09:52,34,PT09M52.00S,2022-12-13T00:15:01.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,5,4,2022-12-13T00:15:08Z,340000,False,,,0,,TEAM offensive REBOUND,[],,1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,32.0,,,,,,,,
