actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-21T23:10:49.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-21T23:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-21T23:10:51.9Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612759,0,0,2022-10-21T23:10:51Z,40000,,,0,,Jump Ball J. Poeltl vs. J. Smith: Tip to T. Jones,"[1630200, 1627751, 1630188]",1610612759.0,SAS,startperiod,T. Jones,1630200.0,Jones,T. Jones,Poeltl,1627751.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-21T23:11:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,7.046649145860711,46.81372549019608,1610612759,0,2,2022-10-21T23:11:12Z,70000,16.0,14.0,1,left,J. Sochan driving Layup (2 PTS) (J. Poeltl 1 AST),"[1631110, 1627751]",1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,2.1,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,
8,PT11M29.00S,2022-10-21T23:11:21.8Z,1,REGULAR,foul,offensive,[],1630169,,,1610612754,0,2,2022-10-21T23:11:28Z,80000,,,0,,T. Haliburton offensive FOUL (1 PF),"[1630169, 1630200]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Left,,,,,,,202049.0,1.0,0.0,Jones,1630200.0,,,,,,,,,
10,PT11M29.00S,2022-10-21T23:11:21.8Z,1,REGULAR,turnover,offensive foul,[],1630169,,,1610612754,0,2,2022-10-21T23:11:21Z,100000,,,0,,T. Haliburton offensive foul TURNOVER (1 TO),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Left,,,,,,,202049.0,,,,,1.0,,,,,,,,
11,PT11M13.00S,2022-10-21T23:11:54.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,12.697109067017081,56.127450980392155,1610612759,0,4,2022-10-21T23:12:17Z,110000,-31.0,67.0,1,left,J. Poeltl 7' floating Jump Shot (2 PTS),[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,7.36,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2022-10-21T23:11:58.7Z,1,REGULAR,foul,personal,['1freethrow'],1630188,,,1610612759,0,4,2022-10-21T23:12:03Z,120000,,,0,,J. Smith shooting personal FOUL (1 PF) (Poeltl 1 FT),"[1630188, 1627751]",1610612754.0,IND,shooting,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
14,PT11M13.00S,2022-10-21T23:12:24.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627751,,,1610612759,0,5,2022-10-21T23:12:24Z,140000,,,0,,J. Poeltl Free Throw 1 of 1 (3 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2022-10-21T23:12:42.9Z,1,REGULAR,3pt,Jump Shot,[],1630537,65.52233902759527,54.90196078431373,1610612754,0,5,2022-10-21T23:12:47Z,150000,25.0,272.0,1,right,MISS C. Duarte 27' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Center,27.27,Missed,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2022-10-21T23:12:45.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,5,2022-10-21T23:12:47Z,160000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
18,PT10M46.00S,2022-10-21T23:12:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,19.136005256241788,35.53921568627451,1610612759,0,5,2022-10-21T23:14:33Z,170000,72.0,127.0,1,left,MISS T. Jones 14' floating Shot,[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,14.65,Missed,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2022-10-21T23:12:54.3Z,1,REGULAR,rebound,defensive,[],1630678,,,1610612754,0,5,2022-10-21T23:12:58Z,180000,,,0,,T. Taylor REBOUND (Off:0 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,
