actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-19T23:13:47.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-19T23:13:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-19T23:13:49.2Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2022-10-19T23:13:49Z,40000,,,0,,Jump Ball K. Porzingis vs. J. Smith: Tip to K. Kuzma,"[1628398, 204001, 1630188]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Porzingis,204001.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-19T23:14:03.8Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612764,0,0,2022-10-19T23:14:13Z,70000,,,0,,J. Smith shooting personal FOUL (1 PF) (Porzingis 2 FT),"[1630188, 204001]",1610612754.0,IND,shooting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1628953.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-10-19T23:14:32.0Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,0,0,2022-10-19T23:14:32Z,90000,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M45.00S,2022-10-19T23:14:32.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,0,0,2022-10-19T23:14:32Z,100000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M45.00S,2022-10-19T23:14:48.8Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,0,1,2022-10-19T23:14:48Z,110000,,,0,,K. Porzingis Free Throw 2 of 2 (1 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M36.00S,2022-10-19T23:15:02.0Z,1,REGULAR,3pt,Jump Shot,[],1630188,77.7431011826544,8.333333333333332,1610612754,0,1,2022-10-19T23:15:06Z,120000,-208.0,157.0,1,right,MISS J. Smith 26' 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.07,,,,,,,,,,,
13,PT11M31.00S,2022-10-19T23:15:07.0Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612764,0,1,2022-10-19T23:15:06Z,130000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,
14,PT11M20.00S,2022-10-19T23:15:17.0Z,1,REGULAR,3pt,Jump Shot,[],203078,13.748357424441524,96.81372549019608,1610612764,0,4,2022-10-19T23:15:21Z,140000,-234.0,77.0,1,left,B. Beal 24' 3PT  (3 PTS) (K. Porzingis 1 AST),"[203078, 204001]",1610612764.0,WAS,,,,Beal,B. Beal,,,,,Left Corner 3,24+ Left,,,,,,Made,,3.0,24.63,,,,K. Porzingis,204001.0,1.0,,,,,
16,PT11M12.00S,2022-10-19T23:15:24.4Z,1,REGULAR,3pt,Jump Shot,[],1630169,68.9388961892247,68.38235294117648,1610612754,3,4,2022-10-19T23:15:29Z,160000,92.0,239.0,1,right,T. Haliburton 25' 3PT pullup (3 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,3.0,25.65,,,,,,,,,,,
