actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-31T23:10:49.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-31T23:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-31T23:10:50.6Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2023-03-31T23:10:50Z,40000,False,,,0,,Jump Ball J. Smith vs. J. Williams: Tip to A. Nembhard,"[1629614, 1630188, 1631119]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Smith,1630188.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-03-31T23:11:00.8Z,1,REGULAR,3pt,Jump Shot,[],1629614,67.23061760840999,59.55882352941176,1610612754,0,0,2023-03-31T23:11:05Z,70000,False,48.0,256.0,1,right,MISS A. Nembhard 25' pullup 3PT,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,25.99,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-03-31T23:11:03.8Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2023-03-31T23:11:05Z,80000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-03-31T23:11:14.2Z,1,REGULAR,turnover,out-of-bounds,[],1631119,,,1610612760,0,0,2023-03-31T23:11:21Z,90000,False,,,0,,J. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631119],1610612760.0,OKC,bad pass,,,Williams,J. Williams,,,,,Mid-Range,16-24 Center,,,,,,,1830.0,1.0,,,,,,,,,,,,
10,PT11M26.00S,2023-03-31T23:11:31.0Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,0,0,2023-03-31T23:11:37Z,100000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 1631119]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Williams,1631119.0,,,,,,,,,,
11,PT11M26.00S,2023-03-31T23:11:31.0Z,1,REGULAR,steal,,[],1631119,,,1610612760,0,0,2023-03-31T23:12:56Z,110000,False,,,0,,J. Williams STEAL (1 STL),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2023-03-31T23:11:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,6.521024967148489,52.450980392156865,1610612760,0,2,2023-03-31T23:11:46Z,120000,False,-12.0,9.0,1,left,J. Williams running finger roll Layup (2 PTS) (J. Giddey 1 AST),"[1631114, 1630581]",1610612760.0,OKC,running finger roll,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.51,Made,,,,,,,,,2.0,J. Giddey,1630581.0,1.0,,,,,,
14,PT11M06.00S,2023-03-31T23:11:49.9Z,1,REGULAR,turnover,bad pass,[],1630174,,,1610612754,0,2,2023-03-31T23:11:54Z,140000,False,,,0,,A. Nesmith bad pass TURNOVER (1 TO),"[1630174, 1631114]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Williams,1631114.0,,,,,,,,,,
15,PT11M06.00S,2023-03-31T23:11:49.9Z,1,REGULAR,steal,,[],1631114,,,1610612760,0,2,2023-03-31T23:11:51Z,150000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
