actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-30T00:10:32.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-30T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-30T00:10:34.7Z,1,REGULAR,jumpball,recovered,[],1627741,,,1610612754,0,0,2022-12-30T00:10:34Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Allen: Tip to B. Hield,"[1627741, 1626167, 1628386]",1610612754.0,IND,startperiod,B. Hield,1627741.0,Hield,B. Hield,Turner,1626167.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2022-12-30T00:10:35.4Z,1,REGULAR,3pt,Jump Shot,[],1627741,69.20170827858082,75.0,1610612754,3,0,2022-12-30T00:10:47Z,70000,False,125.0,237.0,1,right,B. Hield 26' 3PT  (3 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,26.79,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-12-30T00:10:57.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,18.084756898817346,58.57843137254902,1610612739,3,2,2022-12-30T00:11:02Z,90000,False,-43.0,117.0,1,left,D. Mitchell 12' pullup Jump Shot (2 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,12.51,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2022-12-30T00:11:18.5Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,3,2,2022-12-30T00:11:23Z,100000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1628378]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,1.0,Mitchell,1628378.0,,,,,,,,,,,,,,
11,PT11M13.00S,2022-12-30T00:11:18.5Z,1,REGULAR,steal,,[],1628378,,,1610612739,3,2,2022-12-30T00:11:19Z,110000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-12-30T00:11:20.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628378,22.946780551905388,90.44117647058823,1610612739,3,5,2022-12-30T00:11:28Z,120000,False,-202.0,163.0,1,left,D. Mitchell 25' 3PT running pullup (5 PTS),[1628378],1610612739.0,CLE,running pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.98,Made,5.0,,,,,,,,,,,,,,,,,
13,PT10M47.00S,2022-12-30T00:11:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,91.5407358738502,49.50980392156863,1610612754,3,5,2022-12-30T00:12:47Z,130000,False,-2.0,27.0,1,right,MISS M. Turner finger roll Layup,[1626167],1610612754.0,IND,finger roll,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2022-12-30T00:11:47.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,5,2022-12-30T00:11:49Z,140000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M38.00S,2022-12-30T00:11:53.5Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,3,5,2022-12-30T00:11:56Z,150000,False,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1627741]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,,,,1.0,Hield,1627741.0,,,,,,,,,,,,,,
