actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-28T00:10:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-28T00:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-28T00:10:42.0Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-01-28T00:10:42Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Turner: Tip to G. Antetokounmpo,"[203507, 201572, 1626167]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-01-28T00:10:53.2Z,1,REGULAR,3pt,Jump Shot,[],201950,67.09921156373193,61.029411764705884,1610612749,0,0,2023-01-28T00:10:59Z,70000,False,55.0,257.0,1,right,MISS J. Holiday 26' step back 3PT,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,26.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-28T00:10:57.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,0,0,2023-01-28T00:10:59Z,80000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-01-28T00:11:12.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,14.011169513797633,50.73529411764706,1610612754,0,0,2023-01-28T00:11:17Z,90000,False,-4.0,79.0,1,left,MISS B. Hield 7' fadeaway Shot,[1627741],1610612754.0,IND,fadeaway,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,7.93,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-01-28T00:11:15.6Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612754,0,0,2023-01-28T00:11:17Z,100000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M24.00S,2023-01-28T00:11:15.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,5.469776609724048,56.372549019607845,1610612754,2,0,2023-01-28T00:11:21Z,110000,False,-32.0,-1.0,1,left,M. Turner putback Layup (2 PTS),[1626167],1610612754.0,IND,putback,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,2.0,,,,,,,,,,,,,
12,PT11M13.00S,2023-01-28T00:11:25.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.64323258869908,49.50980392156863,1610612749,2,2,2023-01-28T00:11:30Z,120000,False,-2.0,7.0,1,right,G. Antetokounmpo driving DUNK (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M05.00S,2023-01-28T00:11:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,5.863994743758213,45.34313725490196,1610612754,2,2,2023-01-28T00:11:38Z,130000,False,23.0,3.0,1,left,MISS A. Nesmith driving reverse Layup,[1630174],1610612754.0,IND,driving reverse,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2023-01-28T00:11:36.3Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,2,2,2023-01-28T00:11:38Z,150000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M56.00S,2023-01-28T00:11:43.9Z,1,REGULAR,3pt,Jump Shot,[],1626192,66.3107752956636,66.91176470588235,1610612749,2,5,2023-01-28T00:11:48Z,160000,False,85.0,264.0,1,right,P. Connaughton 27' 3PT  (3 PTS) (B. Lopez 1 AST),"[1626192, 201572]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Center,27.74,Made,,,,,3.0,B. Lopez,201572.0,1.0,,,,,,,,,,
18,PT10M34.00S,2023-01-28T00:12:05.7Z,1,REGULAR,2pt,Jump Shot,[],1630537,14.931011826544022,73.52941176470588,1610612754,4,5,2023-01-28T00:14:41Z,180000,False,-118.0,88.0,1,left,C. Duarte 14' step back Jump Shot (2 PTS),[1630537],1610612754.0,IND,step back,,,Duarte,C. Duarte,,,,,Mid-Range,8-16 Left,14.68,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M16.00S,2023-01-28T00:12:22.9Z,1,REGULAR,3pt,Jump Shot,[],1626192,69.20170827858082,28.676470588235293,1610612749,4,8,2023-01-28T00:12:27Z,200000,False,-107.0,237.0,1,right,P. Connaughton 25' 3PT  (6 PTS) (G. Antetokounmpo 1 AST),"[1626192, 203507]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,25.99,Made,,,,,6.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
22,PT10M00.00S,2023-01-28T00:12:41.3Z,1,REGULAR,turnover,out-of-bounds,[],204456,,,1610612754,4,8,2023-01-28T00:12:47Z,220000,False,,,0,,T. McConnell step out-of-bounds TURNOVER (1 TO),[204456],1610612754.0,IND,step,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2003.0,1.0,,,,,,,,
23,PT09M42.00S,2023-01-28T00:13:14.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201572,93.77463863337714,97.30392156862744,1610612749,4,8,2023-01-28T00:13:23Z,230000,False,237.0,6.0,1,right,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,23.66,Missed,,,,,,,,,,,,,,,,,,
24,PT09M38.00S,2023-01-28T00:13:18.1Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,4,8,2023-01-28T00:13:23Z,240000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
25,PT09M36.00S,2023-01-28T00:13:23.0Z,1,REGULAR,foul,offensive,[],201572,,,1610612749,4,8,2023-01-28T00:13:30Z,250000,False,,,0,,B. Lopez offensive FOUL (1 PF),"[201572, 1630174]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1155.0,,1.0,0.0,Nesmith,1630174.0,,,,
27,PT09M36.00S,2023-01-28T00:13:23.0Z,1,REGULAR,turnover,offensive foul,[],201572,,,1610612749,4,8,2023-01-28T00:13:23Z,270000,False,,,0,,B. Lopez offensive foul TURNOVER (1 TO),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1155.0,1.0,,,,,,,,
28,PT09M23.00S,2023-01-28T00:13:50.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626167,18.478975032851512,50.0,1610612754,4,8,2023-01-28T00:13:56Z,280000,False,0.0,121.0,1,left,MISS M. Turner 12' step back Shot,[1626167],1610612754.0,IND,step back,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,12.12,Missed,,,,,,,,,,,,,,,,,,
