actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-07T23:11:03.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-07T23:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-07T23:11:05.8Z,1,REGULAR,jumpball,recovered,[],1630174,,,1610612754,0,0,2023-04-07T23:11:05Z,40000,False,,,0,,Jump Ball I. Jackson vs. J. Wiseman: Tip to A. Nesmith,"[1630174, 1630543, 1630164]",1610612754.0,IND,startperiod,A. Nesmith,1630174.0,Nesmith,A. Nesmith,Jackson,1630543.0,Wiseman,1630164.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-04-07T23:11:20.6Z,1,REGULAR,2pt,Jump Shot,[],1629670,75.77201051248358,57.84313725490197,1610612754,0,0,2023-04-07T23:11:25Z,70000,False,39.0,175.0,1,right,MISS J. Nwora 17' pullup Shot,[1629670],1610612754.0,IND,pullup,,,Nwora,J. Nwora,,,,,Mid-Range,16-24 Center,17.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-04-07T23:11:24.6Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,0,0,2023-04-07T23:11:25Z,80000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-04-07T23:11:36.9Z,1,REGULAR,turnover,out-of-bounds,[],1631093,,,1610612765,0,0,2023-04-07T23:11:43Z,90000,False,,,0,,J. Ivey step out-of-bounds TURNOVER (1 TO),[1631093],1610612765.0,DET,step,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,,,,,200832.0,1.0,,,,,,,,,,,,
10,PT11M17.00S,2023-04-07T23:11:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630174,93.51182654402102,46.81372549019608,1610612754,0,0,2023-04-07T23:12:03Z,100000,False,-16.0,8.0,1,right,MISS A. Nesmith driving Layup - blocked,"[1630174, 1631105]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,1.8,Missed,,,,,,,Duren,1631105.0,,,,,,,,,,
11,PT11M17.00S,2023-04-07T23:11:57.9Z,1,REGULAR,block,,[],1631105,,,1610612754,0,0,2023-04-07T23:11:59Z,110000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2023-04-07T23:11:59.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2023-04-07T23:12:03Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,10.0,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2023-04-07T23:12:23.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630174,72.35545335085413,18.627450980392158,1610612754,3,0,2023-04-07T23:12:30Z,140000,False,-157.0,207.0,1,right,A. Nesmith 26' 3PT pullup (3 PTS) (J. Nwora 1 AST),"[1630174, 1629670]",1610612754.0,IND,pullup,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,26.01,Made,,,,,,,,,3.0,J. Nwora,1629670.0,1.0,,,,,,
16,PT10M48.00S,2023-04-07T23:12:40.0Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,3,0,2023-04-07T23:12:45Z,160000,False,,,0,,J. Duren bad pass TURNOVER (1 TO),"[1631105, 1630543]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,,,Jackson,1630543.0,,,,
