actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-08T00:45:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T00:45:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-08T00:45:44.5Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2022-11-08T00:45:44Z,40000,,,0,,Jump Ball J. Valanciunas vs. M. Turner: Tip to Z. Williamson,"[1629627, 202685, 1626167]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Valanciunas,202685.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-08T00:46:02.3Z,1,REGULAR,turnover,bad pass,[],1629627,,,1610612740,0,0,2022-11-08T00:46:40Z,70000,,,0,,Z. Williamson bad pass TURNOVER (1 TO),"[1629627, 1627741]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Center,1.0,Hield,1627741.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-08T00:46:02.3Z,1,REGULAR,steal,,[],1627741,,,1610612754,0,0,2022-11-08T00:46:04Z,80000,,,0,,B. Hield STEAL (1 STL),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-11-08T00:46:05.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627741,6.1268068331143235,46.81372549019608,1610612754,0,0,2022-11-08T00:46:11Z,90000,16.0,5.0,1,left,MISS B. Hield running Layup - blocked,"[1627741, 1629627]",1610612754.0,IND,running,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,1.67,Missed,Williamson,1629627.0,,,,,,,,,,,,,
10,PT11M36.00S,2022-11-08T00:46:05.5Z,1,REGULAR,block,,[],1629627,,,1610612754,0,0,2022-11-08T00:46:07Z,100000,,,0,,Z. Williamson BLOCK (1 BLK),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2022-11-08T00:46:08.5Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2022-11-08T00:46:11Z,110000,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M27.00S,2022-11-08T00:46:14.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,92.85479632063075,41.17647058823529,1610612740,0,0,2022-11-08T00:48:04Z,120000,-44.0,15.0,1,right,MISS J. Valanciunas driving Hook,[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,4.65,Missed,,,,,,,,,,,,,,,
13,PT11M24.00S,2022-11-08T00:46:17.2Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,0,0,2022-11-08T00:46:18Z,130000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M09.00S,2022-11-08T00:46:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,5.995400788436268,46.32352941176471,1610612754,2,0,2022-11-08T00:46:38Z,140000,18.0,4.0,1,left,M. Turner cutting Layup (2 PTS) (B. Hield 1 AST),"[1626167, 1627741]",1610612754.0,IND,cutting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,1.88,Made,,,,,,,2.0,B. Hield,1627741.0,1.0,,,,,
