shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
10:41,19,PT10M41.00S,2022-12-11T00:12:31.2Z,1,REGULAR,2pt,Jump Shot,[],202693,21.632720105124836,51.71568627450981,1610612751,6,7,2022-12-11T00:12:35Z,190000,False,-9.0,151.0,1,left,M. Morris 15' pullup Jump Shot (2 PTS) (P. Mills 1 AST),"[202693, 201988]",13,1610612751.0,BKN,pullup,,,Morris,M. Morris,,,,,Mid-Range,8-16 Center,15.1,Made,2.0,P. Mills,201988.0,1.0,,,,,,,,,,,,,,
10:32,21,PT10M32.00S,2022-12-11T00:12:43.5Z,1,REGULAR,foul,personal,[],1628410,,,1610612754,6,7,2022-12-11T00:12:51Z,210000,False,,,0,,E. Sumner personal FOUL (1 PF),"[1628410, 1626167]",4,1610612751.0,BKN,,,,Sumner,E. Sumner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,202035.0,1.0,0.0,Turner,1626167.0,,,,,,
10:28,23,PT10M28.00S,2022-12-11T00:13:02.3Z,1,REGULAR,3pt,Jump Shot,[],1630188,94.03745072273325,95.09803921568627,1610612754,9,7,2022-12-11T00:13:07Z,230000,False,225.0,4.0,1,right,J. Smith 3PT  (6 PTS) (T. Haliburton 1 AST),"[1630188, 1630169]",25,1610612754.0,IND,,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,22.55,Made,6.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
10:05,25,PT10M05.00S,2022-12-11T00:13:23.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630549,11.12023653088042,50.49019607843137,1610612751,9,7,2022-12-11T00:13:29Z,250000,False,-2.0,52.0,1,left,MISS D. Sharpe turnaround Hook,[1630549],20,1610612751.0,BKN,turnaround,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,,,,,
10:02,26,PT10M02.00S,2022-12-11T00:13:26.7Z,1,REGULAR,rebound,offensive,[],1630556,,,1610612751,9,7,2022-12-11T00:13:29Z,260000,False,,,0,,K. Edwards REBOUND (Off:1 Def:0),[1630556],14,1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,25.0,1.0,0.0,1.0,,
10:02,27,PT10M02.00S,2022-12-11T00:13:27.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630556,5.590000152587891,50.0,1610612751,9,9,2022-12-11T00:13:27Z,270000,False,0.0,0.0,1,left,K. Edwards tip Layup (2 PTS),[1630556],14,1610612751.0,BKN,tip,,,Edwards,K. Edwards,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
09:53,28,PT09M53.00S,2022-12-11T00:13:37.6Z,1,REGULAR,3pt,Jump Shot,[],1630188,93.77463863337714,96.32352941176471,1610612754,9,9,2022-12-11T00:13:42Z,280000,False,232.0,6.0,1,right,MISS J. Smith 3PT,[1630188],25,1610612754.0,IND,,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
09:49,29,PT09M49.00S,2022-12-11T00:13:41.6Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,9,9,2022-12-11T00:13:42Z,290000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:1),[1630549],20,1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,
09:42,30,PT09M42.00S,2022-12-11T00:13:47.4Z,1,REGULAR,3pt,Jump Shot,[],201988,32.013797634691194,31.862745098039213,1610612751,9,9,2022-12-11T00:13:52Z,300000,False,91.0,248.0,1,left,MISS P. Mills 26' pullup 3PT,[201988],8,1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,Above the Break 3,24+ Right Center,26.44,Missed,,,,,,,,,,,,,,,,,,
09:39,31,PT09M39.00S,2022-12-11T00:13:51.3Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,9,9,2022-12-11T00:13:51Z,310000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:1),[1630549],20,1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,30.0,2.0,1.0,1.0,,
09:38,32,PT09M38.00S,2022-12-11T00:13:51.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,6.652431011826544,53.92156862745098,1610612751,9,9,2022-12-11T00:13:59Z,320000,False,-20.0,10.0,1,left,MISS D. Sharpe putback Layup,[1630549],20,1610612751.0,BKN,putback,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,,,,,,,,,
09:35,33,PT09M35.00S,2022-12-11T00:13:54.7Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,9,9,2022-12-11T00:13:54Z,330000,False,,,0,,D. Sharpe REBOUND (Off:2 Def:1),[1630549],20,1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,32.0,3.0,1.0,2.0,,
09:35,34,PT09M35.00S,2022-12-11T00:13:54.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630549,5.590000152587891,50.0,1610612751,9,11,2022-12-11T00:13:54Z,340000,False,0.0,0.0,1,left,D. Sharpe tip Layup (2 PTS),[1630549],20,1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
09:35,35,PT09M35.00S,2022-12-11T00:13:58.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,9,11,2022-12-11T00:13:58Z,350000,False,,,0,,IND Timeout,[],,1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:35,36,PT09M35.00S,2022-12-11T00:17:01.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,9,11,2022-12-11T00:17:08Z,360000,False,,,0,,TEAM delay-of-game VIOLATION,[],,1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,,,,,
09:25,37,PT09M25.00S,2022-12-11T00:17:20.3Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,9,11,2022-12-11T00:17:23Z,370000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 201988]",2,1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Mills,201988.0,,,,,,,,,,,
