actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-16T00:13:07.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-16T00:13:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-16T00:13:13.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2023-02-16T00:13:13Z,40000,False,,,0,,Jump Ball N. Vucevic vs. M. Turner: Tip to Team (CHI),"[202696, 1626167]",1610612741.0,CHI,startperiod,Team (CHI),Vucevic,202696.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-02-16T00:13:33.7Z,1,REGULAR,2pt,Jump Shot,[],1630245,87.20433639947439,68.38235294117648,1610612741,0,2,2023-02-16T00:13:39Z,80000,False,92.0,68.0,1,right,A. Dosunmu 11' driving floating Jump Shot (2 PTS),[1630245],1610612741.0,CHI,driving floating,,,,,,Mid-Range,8-16 Right,11.42,Made,2.0,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2023-02-16T00:13:54.7Z,1,REGULAR,2pt,Jump Shot,[],1630169,19.530223390275953,20.588235294117645,1610612754,0,2,2023-02-16T00:13:58Z,90000,False,147.0,131.0,1,left,MISS T. Haliburton 19' pullup Shot,[1630169],1610612754.0,IND,pullup,,,,,,Mid-Range,16-24 Right Center,19.7,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-02-16T00:13:57.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,2,2023-02-16T00:13:58Z,100000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,,,,Mid-Range,16-24 Right Center,,,,LaVine,Z. LaVine,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M11.00S,2023-02-16T00:14:06.5Z,1,REGULAR,3pt,Jump Shot,[],1630172,68.28186596583443,21.813725490196077,1610612741,0,2,2023-02-16T00:14:11Z,110000,False,-141.0,246.0,1,right,MISS P. Williams 28' step back 3PT,[1630172],1610612741.0,CHI,step back,,,,,,Above the Break 3,24+ Left Center,28.32,Missed,,Williams,P. Williams,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2023-02-16T00:14:08.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,0,2,2023-02-16T00:14:11Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,,,11.0,,,,,,,,,,,,,,,,
14,PT11M02.00S,2023-02-16T00:14:22.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,29.911300919842315,71.07843137254902,1610612754,0,2,2023-02-16T00:14:26Z,140000,False,-105.0,229.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,25.18,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2023-02-16T00:14:27.0Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,0,2,2023-02-16T00:14:26Z,150000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,,Caruso,A. Caruso,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M53.00S,2023-02-16T00:14:30.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630245,90.75229960578186,78.67647058823529,1610612741,0,2,2023-02-16T00:14:36Z,160000,False,143.0,34.0,1,right,MISS A. Dosunmu 14' running pullup Shot,[1630245],1610612741.0,CHI,running pullup,,,,,,Mid-Range,8-16 Right,14.75,Missed,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,
