actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
23,PT09M58.00S,2023-02-24T00:12:48.1Z,1,REGULAR,steal,,[],1630169,,,1610612754,5,2,2023-02-24T00:12:49Z,230000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2023-02-24T00:12:52.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627741,82.7365308804205,2.696078431372549,1610612754,8,2,2023-02-24T00:12:57Z,240000,False,-237.0,110.0,1,right,B. Hield 26' 3PT running (3 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,running,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,26.07,Made,,,,,,,3.0,,,,T. Haliburton,1630169.0,1.0,,,,,
26,PT09M30.00S,2023-02-24T00:13:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,9.280551905387648,53.431372549019606,1610612738,8,4,2023-02-24T00:13:20Z,260000,False,-17.0,35.0,1,left,J. Brown driving floating Jump Shot (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.87,Made,,,,,,,2.0,,,,A. Horford,201143.0,1.0,,,,,
28,PT09M17.00S,2023-02-24T00:13:29.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,87.46714848883047,95.83333333333334,1610612754,8,4,2023-02-24T00:13:37Z,280000,False,229.0,65.0,1,right,MISS T. Haliburton step back 3PT - blocked,"[1630169, 1629057]",1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Right Corner 3,24+ Right,23.83,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,
29,PT09M17.00S,2023-02-24T00:13:29.2Z,1,REGULAR,block,,[],1629057,,,1610612754,8,4,2023-02-24T00:13:31Z,290000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
30,PT09M14.00S,2023-02-24T00:13:32.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,4,2023-02-24T00:13:33Z,300000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M05.00S,2023-02-24T00:13:41.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,22.026938239159,87.00980392156863,1610612738,8,7,2023-02-24T00:21:41Z,310000,False,-185.0,155.0,1,left,J. Tatum 24' 3PT step back (3 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,24.11,Made,,,,,,,3.0,,,,,,,,,,,
32,PT08M51.00S,2023-02-24T00:13:58.8Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612754,8,7,2023-02-24T00:14:03Z,320000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Nesmith 2 FT),"[203935, 1630174]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Nesmith,1630174.0
34,PT08M51.00S,2023-02-24T00:14:20.8Z,1,REGULAR,freethrow,1 of 2,[],1630174,,,1610612754,9,7,2023-02-24T00:14:20Z,340000,False,,,0,,A. Nesmith Free Throw 1 of 2 (1 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
35,PT08M51.00S,2023-02-24T00:14:36.0Z,1,REGULAR,freethrow,2 of 2,[],1630174,,,1610612754,10,7,2023-02-24T00:14:36Z,350000,False,,,0,,A. Nesmith Free Throw 2 of 2 (2 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
