actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-04T23:10:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-04T23:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-04T23:10:39.0Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2022-11-04T23:10:39Z,40000,,,0,,Jump Ball M. Turner vs. B. Adebayo: Tip to T. Haliburton,"[1630169, 1626167, 1628389]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Turner,1626167.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-04T23:10:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630537,68.67608409986859,20.34313725490196,1610612754,0,0,2022-11-04T23:10:59Z,70000,-148.0,242.0,1,right,MISS C. Duarte 28' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,Above the Break 3,24+ Left Center,28.37,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-04T23:10:56.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2022-11-04T23:10:59Z,80000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-04T23:11:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,6.1268068331143235,50.0,1610612748,0,0,2022-11-04T23:11:17Z,90000,0.0,5.0,1,left,MISS B. Adebayo alley-oop Layup,[1628389],1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.51,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-11-04T23:11:16.0Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,0,0,2022-11-04T23:11:17Z,100000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2022-11-04T23:11:19.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,74.58935611038108,12.5,1610612754,0,0,2022-11-04T23:11:27Z,110000,-188.0,186.0,1,right,MISS B. Hield 26' running 3PT,[1627741],1610612754.0,IND,running,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-11-04T23:11:21.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,0,2022-11-04T23:11:27Z,120000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2022-11-04T23:11:32.3Z,1,REGULAR,3pt,Jump Shot,[],1629622,22.026938239159,7.598039215686274,1610612748,0,0,2022-11-04T23:11:38Z,140000,212.0,155.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,26.24,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2022-11-04T23:11:36.3Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,0,0,2022-11-04T23:11:38Z,150000,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
