actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-14T00:10:25.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-14T00:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-14T00:10:27.3Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2023-01-14T00:10:27Z,40000,False,,,0,,Jump Ball O. Okongwu vs. I. Jackson: Tip to T. Young,"[1629027, 1630168, 1630543]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Okongwu,1630168.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-01-14T00:10:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,6.258212877792378,54.166666666666664,1610612737,0,0,2023-01-14T00:12:36Z,70000,False,-21.0,6.0,1,left,MISS J. Collins floating Shot,[1628381],1610612737.0,ATL,floating,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-01-14T00:10:42.8Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,0,0,2023-01-14T00:10:46Z,80000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-01-14T00:10:51.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629027,31.488173455978973,76.7156862745098,1610612737,0,3,2023-01-14T00:13:11Z,90000,False,-134.0,243.0,1,left,T. Young 27' 3PT pullup (3 PTS) (D. Murray 1 AST),"[1629027, 1627749]",1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,27.77,Made,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,
11,PT11M06.00S,2023-01-14T00:11:18.0Z,1,REGULAR,3pt,Jump Shot,[],1629614,79.97700394218134,93.38235294117648,1610612754,0,3,2023-01-14T00:11:22Z,110000,False,217.0,136.0,1,right,MISS A. Nembhard 25' 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2023-01-14T00:11:20.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,3,2023-01-14T00:11:22Z,120000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT10M58.00S,2023-01-14T00:11:29.3Z,1,REGULAR,foul,offensive,[],1628381,,,1610612737,0,3,2023-01-14T00:11:39Z,130000,False,,,0,,J. Collins offensive FOUL (1 PF),"[1628381, 1631097]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1626301.0,1.0,0.0,Mathurin,1631097.0,,,,,
15,PT10M58.00S,2023-01-14T00:11:29.3Z,1,REGULAR,turnover,offensive foul,[],1628381,,,1610612737,0,3,2023-01-14T00:11:29Z,150000,False,,,0,,J. Collins offensive foul TURNOVER (1 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1626301.0,,,,,1.0,,,,
16,PT10M49.00S,2023-01-14T00:11:53.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630543,94.43166885676742,50.245098039215684,1610612754,2,3,2023-01-14T00:11:56Z,160000,False,1.0,0.0,1,right,I. Jackson DUNK (2 PTS) (A. Nembhard 1 AST),"[1630543, 1629614]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,0.12,Made,,,,,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,
