actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-11-09T02:11:45.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-09T02:11:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-09T02:11:51.1Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2024-11-09T02:11:51Z,40000,False,,,0,,Jump Ball D. Ayton vs. R. Gobert: Tip to J. Grant,"[203924, 1629028, 203497]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-11-09T02:12:09.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,72.88107752956637,17.892156862745097,1610612757,0,0,2024-11-09T02:12:17Z,70000,False,-161.0,202.0,1,right,MISS A. Simons 25' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-11-09T02:12:12.3Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,0,0,2024-11-09T02:12:12Z,80000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2024-11-09T02:12:26.9Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612750,0,0,2024-11-09T02:12:34Z,90000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Edwards 2 FT),"[1641739, 1630162]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1155.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,
11,PT11M19.00S,2024-11-09T02:12:51.4Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,1,0,2024-11-09T02:13:09Z,110000,False,,,0,,A. Edwards Free Throw 1 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M19.00S,2024-11-09T02:12:51.4Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,1,0,2024-11-09T02:13:09Z,120000,False,,,0,,MISS A. Edwards Free Throw 2 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2024-11-09T02:12:53.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,1,0,2024-11-09T02:13:09Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2024-11-09T02:13:29.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201144,13.748357424441524,57.107843137254896,1610612750,1,0,2024-11-09T02:13:35Z,150000,False,-36.0,77.0,1,left,MISS M. Conley 8' driving floating Shot,[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,8.45,Missed,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2024-11-09T02:13:33.2Z,1,REGULAR,rebound,offensive,[],203944,,,1610612750,1,0,2024-11-09T02:13:35Z,160000,False,,,0,,J. Randle REBOUND (Off:1 Def:0),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
