actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-12T01:10:51.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-12T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-12T01:10:55.3Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2025-01-12T01:10:55Z,40000,False,,,0,,Jump Ball R. Gobert vs. Z. Edey: Tip to A. Edwards,"[1630162, 203497, 1641744]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-01-12T01:11:02.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.77463863337714,49.754901960784316,1610612750,2,0,2025-01-12T01:11:08Z,70000,False,-1.0,6.0,1,right,R. Gobert cutting DUNK (2 PTS) (D. DiVincenzo 1 AST),"[203497, 1628978]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-01-12T01:11:25.4Z,1,REGULAR,3pt,Jump Shot,[],1642377,29.517082785808146,24.754901960784316,1610612763,2,0,2025-01-12T01:11:30Z,90000,False,126.0,225.0,1,left,MISS J. Wells 25' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,25.8,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-01-12T01:11:27.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,2,0,2025-01-12T01:11:50Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M12.00S,2025-01-12T01:11:38.9Z,1,REGULAR,3pt,Jump Shot,[],1628978,94.30026281208936,4.901960784313726,1610612750,5,0,2025-01-12T01:11:43Z,110000,False,-225.0,1.0,1,right,D. DiVincenzo 3PT  (3 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Left Corner 3,24+ Left,22.55,Made,3.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
13,PT10M58.00S,2025-01-12T01:11:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,11.514454664914586,43.627450980392155,1610612763,5,2,2025-01-12T01:12:46Z,130000,False,32.0,56.0,1,left,J. Jackson Jr. 6' driving floating Jump Shot (2 PTS),[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.42,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2025-01-12T01:12:04.3Z,1,REGULAR,foul,offensive,[],1628978,,,1610612750,5,2,2025-01-12T01:12:13Z,140000,False,,,0,,D. DiVincenzo offensive FOUL (1 PF),"[1628978, 1628991]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201245.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,
16,PT10M50.00S,2025-01-12T01:12:04.3Z,1,REGULAR,turnover,offensive foul,[],1628978,,,1610612750,5,2,2025-01-12T01:12:04Z,160000,False,,,0,,D. DiVincenzo offensive foul TURNOVER (1 TO),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201245.0,,,,,1.0,,,,
17,PT10M39.00S,2025-01-12T01:12:30.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629630,9.280551905387648,49.50980392156863,1610612763,5,2,2025-01-12T01:12:44Z,170000,False,2.0,35.0,1,left,MISS J. Morant driving floating Shot - blocked,"[1629630, 1630183]",1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,3.48,Missed,,,,,,,,,,,,,,,McDaniels,1630183.0,,
18,PT10M39.00S,2025-01-12T01:12:30.9Z,1,REGULAR,block,,[],1630183,,,1610612763,5,2,2025-01-12T01:12:34Z,180000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M38.00S,2025-01-12T01:12:31.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,5,2,2025-01-12T01:12:45Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,17.0,,,,,,,,,,,,,
21,PT10M37.00S,2025-01-12T01:13:02.8Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,5,2,2025-01-12T01:13:17Z,210000,False,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,,,,
