actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2024-11-11T00:10:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-11T00:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-11T00:11:11.3Z,1,REGULAR,violation,jumpball,[],1628389,,,0,0,0,2024-11-11T00:11:11Z,40000,False,,,0,,B. Adebayo jumpball VIOLATION,[1628389],1610612748.0,MIA,1628159.0,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M44.00S,2024-11-11T00:11:31.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,27.283180026281208,78.43137254901961,1610612750,3,0,2024-11-11T00:11:36Z,50000,False,-142.0,204.0,1,left,A. Edwards 24' 3PT step back (3 PTS),[1630162],1610612750.0,MIN,,Edwards,A. Edwards,step back,Above the Break 3,24+ Left Center,24.87,Made,3.0,,,,,,,,,,,,,,,,,,,,,,
6,PT11M29.00S,2024-11-11T00:11:46.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,93.51182654402102,53.18627450980392,1610612748,3,2,2024-11-11T00:11:52Z,60000,False,16.0,8.0,1,right,T. Rozier driving Layup (2 PTS) (B. Adebayo 1 AST),"[1626179, 1628389]",1610612748.0,MIA,,Rozier,T. Rozier,driving,Restricted Area,0-8 Center,1.8,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,,,,,,
7,PT11M13.00S,2024-11-11T00:12:04.3Z,1,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612750,3,2,2024-11-11T00:12:12Z,70000,False,,,0,,T. Rozier shooting personal FOUL (1 PF) (Gobert 2 FT),"[1626179, 203497]",1610612748.0,MIA,201246.0,Rozier,T. Rozier,shooting,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
9,PT11M13.00S,2024-11-11T00:12:36.3Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,4,2,2024-11-11T00:12:36Z,90000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,Gobert,R. Gobert,,,,,Made,1.0,,,,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2024-11-11T00:12:54.6Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,5,2,2024-11-11T00:12:54Z,100000,False,,,0,,R. Gobert Free Throw 2 of 2 (2 PTS),[203497],1610612750.0,MIN,,Gobert,R. Gobert,,,,,Made,2.0,,,,,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2024-11-11T00:13:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.59198423127464,50.245098039215684,1610612748,5,4,2024-11-11T00:13:19Z,110000,False,1.0,17.0,1,right,T. Rozier driving Layup (4 PTS),[1626179],1610612748.0,MIA,,Rozier,T. Rozier,driving,Restricted Area,0-8 Center,1.71,Made,4.0,,,,,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2024-11-11T00:13:22.6Z,1,REGULAR,3pt,Jump Shot,[],203944,21.50131406044678,90.44117647058823,1610612750,5,4,2024-11-11T00:13:30Z,120000,False,-202.0,150.0,1,left,MISS J. Randle 25' pullup 3PT,[203944],1610612750.0,MIN,,Randle,J. Randle,pullup,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2024-11-11T00:13:25.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,5,4,2024-11-11T00:13:30Z,130000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,Herro,T. Herro,,Above the Break 3,24+ Left Center,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M36.00S,2024-11-11T00:13:31.4Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,5,4,2024-11-11T00:13:35Z,140000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 201144]",1610612748.0,MIA,,Herro,T. Herro,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Conley,201144.0,,,,,,,,
16,PT10M36.00S,2024-11-11T00:13:31.4Z,1,REGULAR,steal,,[],201144,,,1610612750,5,4,2024-11-11T00:13:59Z,150000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,Conley,M. Conley,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2024-11-11T00:13:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,10.5946123521682,53.92156862745098,1610612750,5,4,2024-11-11T00:13:54Z,160000,False,-20.0,47.0,1,left,MISS A. Edwards driving Layup - blocked,"[1630162, 1628389]",1610612750.0,MIN,,Edwards,A. Edwards,driving,In The Paint (Non-RA),0-8 Center,5.1,Missed,,,,,,,,,,,,,,,,Adebayo,1628389.0,,,,,,
18,PT10M20.00S,2024-11-11T00:13:47.5Z,1,REGULAR,block,,[],1628389,,,1610612750,5,4,2024-11-11T00:13:49Z,170000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2024-11-11T00:13:49.5Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,5,4,2024-11-11T00:13:54Z,180000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,Gobert,R. Gobert,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,
20,PT10M17.00S,2024-11-11T00:13:51.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630183,31.61957950065703,37.745098039215684,1610612750,5,4,2024-11-11T00:13:56Z,190000,False,61.0,245.0,1,left,MISS J. McDaniels 25' 3PT,[1630183],1610612750.0,MIN,,McDaniels,J. McDaniels,,Above the Break 3,24+ Center,25.23,Missed,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2024-11-11T00:13:52.7Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,5,4,2024-11-11T00:13:52Z,200000,False,,,0,,R. Gobert REBOUND (Off:2 Def:0),[203497],1610612750.0,MIN,,Gobert,R. Gobert,,Above the Break 3,24+ Center,,,,,,,,,,,20.0,2.0,0.0,2.0,,,,,,,,,,,
22,PT10M08.00S,2024-11-11T00:14:00.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630162,14.14257555847569,94.85294117647058,1610612750,5,4,2024-11-11T00:14:07Z,210000,False,-224.0,80.0,1,left,MISS A. Edwards 3PT - blocked,"[1630162, 1629312]",1610612750.0,MIN,,Edwards,A. Edwards,,Left Corner 3,24+ Left,23.83,Missed,,,,,,,,,,,,,,,,Highsmith,1629312.0,,,,,,
23,PT10M08.00S,2024-11-11T00:14:00.3Z,1,REGULAR,block,,[],1629312,,,1610612750,5,4,2024-11-11T00:14:03Z,220000,False,,,0,,H. Highsmith BLOCK (1 BLK),[1629312],1610612748.0,MIA,,Highsmith,H. Highsmith,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M04.00S,2024-11-11T00:14:04.3Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,5,4,2024-11-11T00:14:07Z,230000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,McDaniels,J. McDaniels,,Left Corner 3,24+ Left,,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,
25,PT10M02.00S,2024-11-11T00:14:05.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630162,5.601182654402102,95.58823529411765,1610612750,5,4,2024-11-11T00:14:10Z,240000,False,-228.0,0.0,1,left,MISS A. Edwards 3PT,[1630162],1610612750.0,MIN,,Edwards,A. Edwards,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,,,,,,
