actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-14T01:10:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-14T01:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-14T01:10:41.4Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2024-12-14T01:10:41Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Davis: Tip to J. Randle,"[203944, 203497, 203076]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-12-14T01:10:59.9Z,1,REGULAR,2pt,Jump Shot,[],203944,22.683968462549277,37.99019607843137,1610612750,2,0,2024-12-14T01:11:07Z,70000,False,60.0,161.0,1,left,J. Randle 17' step back Jump Shot (2 PTS),[203944],1610612750.0,MIN,step back,,,Randle,J. Randle,,,,,Mid-Range,16-24 Right Center,17.15,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2024-12-14T01:11:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,87.46714848883047,55.88235294117647,1610612747,2,0,2024-12-14T01:11:25Z,80000,False,29.0,65.0,1,right,MISS A. Reaves 7' driving floating Shot,[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2024-12-14T01:11:21.5Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,2,0,2024-12-14T01:11:25Z,90000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M13.00S,2024-12-14T01:11:26.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,22.158344283837057,11.27450980392157,1610612750,2,0,2024-12-14T01:11:34Z,100000,False,194.0,156.0,1,left,MISS J. Randle 24' running pullup 3PT,[203944],1610612750.0,MIN,running pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.85,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2024-12-14T01:11:31.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,2,0,2024-12-14T01:11:31Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,10.0,,,,,,,,,,,,,,,,
13,PT10M57.00S,2024-12-14T01:11:49.3Z,1,REGULAR,3pt,Jump Shot,[],1629060,94.30026281208936,95.09803921568627,1610612747,2,0,2024-12-14T01:11:53Z,130000,False,225.0,1.0,1,right,MISS R. Hachimura 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Right Corner 3,24+ Right,22.55,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2024-12-14T01:11:51.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,2,0,2024-12-14T01:11:53Z,140000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M47.00S,2024-12-14T01:12:00.0Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.56833114323259,34.80392156862745,1610612750,2,0,2024-12-14T01:12:05Z,150000,False,76.0,235.0,1,left,MISS A. Edwards 24' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.68,Missed,,,,,,,,,,,,,,,,,,
