actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-20T02:40:53.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T02:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-20T02:40:56.1Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2024-12-20T02:40:56Z,40000,False,,,0,,Jump Ball R. Gobert vs. K. Towns: Tip to M. Conley,"[201144, 203497, 1626157]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-20T02:41:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,19.530223390275953,57.84313725490197,1610612750,2,0,2024-12-20T02:41:13Z,70000,False,-39.0,131.0,1,left,J. Randle 13' pullup Jump Shot (2 PTS),[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,13.68,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2024-12-20T02:41:29.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,83.52496714848883,43.872549019607845,1610612752,2,0,2024-12-20T02:41:33Z,80000,False,-31.0,102.0,1,right,MISS J. Brunson 10' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,10.69,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2024-12-20T02:41:32.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,2,0,2024-12-20T02:41:33Z,90000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M12.00S,2024-12-20T02:41:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,12.565703022339028,46.07843137254902,1610612750,4,0,2024-12-20T02:41:45Z,100000,False,20.0,66.0,1,left,J. Randle 6' turnaround fadeaway Jump Shot (4 PTS) (J. McDaniels 1 AST),"[203944, 1630183]",1610612750.0,MIN,turnaround fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,6.85,Made,4.0,,,,,J. McDaniels,1630183.0,1.0,,,,,,,,,,
12,PT10M58.00S,2024-12-20T02:41:54.5Z,1,REGULAR,3pt,Jump Shot,[],1628384,77.87450722733246,11.519607843137255,1610612752,4,3,2024-12-20T02:41:58Z,120000,False,-192.0,155.0,1,right,O. Anunoby 24' 3PT  (3 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,24.74,Made,3.0,,,,,M. Bridges,1628969.0,1.0,,,,,,,,,,
14,PT10M39.00S,2024-12-20T02:42:13.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,9.806176084099869,4.166666666666666,1610612750,7,3,2024-12-20T02:42:18Z,140000,False,229.0,40.0,1,left,J. McDaniels 3PT  (3 PTS) (J. Randle 1 AST),"[1630183, 203944]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.26,Made,3.0,,,,,J. Randle,203944.0,1.0,,,,,,,,,,
16,PT10M26.00S,2024-12-20T02:42:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.11760840998686,52.450980392156865,1610612752,7,5,2024-12-20T02:42:34Z,160000,False,12.0,12.0,1,right,J. Brunson driving Layup (2 PTS),[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.73,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M14.00S,2024-12-20T02:42:38.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,16.770696452036795,43.13725490196079,1610612750,9,5,2024-12-20T02:42:44Z,180000,False,34.0,105.0,1,left,J. McDaniels 11' driving floating Jump Shot (5 PTS) (J. Randle 2 AST),"[1630183, 203944]",1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,11.06,Made,5.0,,,,,J. Randle,203944.0,2.0,,,,,,,,,,
