actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-12T01:11:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-12T01:11:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-12T01:11:48.7Z,1,REGULAR,jumpball,recovered,[],1641736,,,1610612751,0,0,2025-04-12T01:11:48Z,40000,False,,,0,,Jump Ball D. Timme vs. R. Gobert: Tip to R. Beekman,"[1641736, 1631166, 203497]",1610612751.0,BKN,startperiod,R. Beekman,1641736.0,Beekman,R. Beekman,Timme,1631166.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-04-12T01:12:12.1Z,1,REGULAR,3pt,Jump Shot,[],1630553,73.45597897503285,77.71905637254902,1610612751,0,0,2025-04-12T01:14:02Z,70000,False,139.0,197.0,1,right,MISS K. Johnson 24' step back 3PT - blocked,"[1630553, 1630162]",1610612751.0,BKN,step back,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,24.09,Missed,Edwards,1630162.0,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-04-12T01:12:12.1Z,1,REGULAR,block,,[],1630162,,,1610612751,0,0,2025-04-12T01:12:15Z,80000,False,,,0,,A. Edwards BLOCK (1 BLK),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-04-12T01:12:13.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2025-04-12T01:12:45Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M34.00S,2025-04-12T01:12:43.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631166,69.59592641261499,70.09803921568627,1610612751,0,0,2025-04-12T01:12:59Z,110000,False,100.0,233.0,1,right,MISS D. Timme 25' 3PT,[1631166],1610612751.0,BKN,,,,Timme,D. Timme,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,,,,,,,,,,,,,
12,PT11M34.00S,2025-04-12T01:12:43.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2025-04-12T01:13:04Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,11.0,,,,,,,,,,,,,,,
13,PT11M34.00S,2025-04-12T01:12:46.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2025-04-12T01:13:08Z,130000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1662.0,,,,,,,,,,,,,,
14,PT11M11.00S,2025-04-12T01:13:25.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203497,9.280551905387648,49.754901960784316,1610612750,0,0,2025-04-12T01:14:35Z,140000,False,1.0,35.0,1,left,MISS R. Gobert floating Shot,[203497],1610612750.0,MIN,floating,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
15,PT11M10.00S,2025-04-12T01:13:32.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2025-04-12T01:13:32Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,14.0,,,,,,,,,,,,,,,
16,PT11M10.00S,2025-04-12T01:13:33.1Z,1,REGULAR,foul,personal,[],203497,,,1610612751,0,0,2025-04-12T01:13:44Z,160000,False,,,0,,R. Gobert loose ball personal FOUL (1 PF),"[203497, 1630570]",1610612750.0,MIN,loose ball,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,1662.0,1.0,0.0,Watford,1630570.0,,,,,,,,,,
18,PT11M00.00S,2025-04-12T01:13:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630570,67.75008212877792,34.73115808823529,1610612751,0,0,2025-04-12T01:15:31Z,180000,False,-76.0,251.0,1,right,MISS T. Watford 26' 3PT,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
19,PT10M57.00S,2025-04-12T01:13:57.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,0,2025-04-12T01:14:05Z,190000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,18.0,,,,,,1.0,1.0,0.0,,,,,,,
20,PT10M45.00S,2025-04-12T01:14:08.7Z,1,REGULAR,3pt,Jump Shot,[],1630183,28.33442838370565,72.79411764705883,1610612750,0,0,2025-04-12T01:14:12Z,200000,False,-114.0,214.0,1,left,MISS J. McDaniels 24' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,24.23,Missed,,,,,,,,,,,,,,,,,,
21,PT10M44.00S,2025-04-12T01:14:09.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,0,0,2025-04-12T01:14:21Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,20.0,,,,,,,,,,,,,,,
23,PT10M39.00S,2025-04-12T01:14:41.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201144,6.389618922470433,95.58823529411765,1610612750,0,0,2025-04-12T01:14:46Z,230000,False,-228.0,8.0,1,left,MISS M. Conley 3PT,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Left Corner 3,24+ Left,22.8,Missed,,,,,,,,,,,,,,,,,,
24,PT10M36.00S,2025-04-12T01:14:44.8Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,0,0,2025-04-12T01:14:46Z,240000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,Left Corner 3,24+ Left,,,,,23.0,,,,,,1.0,1.0,0.0,,,,,,,
25,PT10M27.00S,2025-04-12T01:14:53.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630570,87.20433639947439,52.69607843137255,1610612751,0,2,2025-04-12T01:15:01Z,250000,False,13.0,68.0,1,right,T. Watford 6' driving floating Jump Shot (2 PTS),[1630570],1610612751.0,BKN,driving floating,,,Watford,T. Watford,,,,,In The Paint (Non-RA),0-8 Center,6.91,Made,,,,,,,,,,,,2.0,,,,,,
