actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-01-07T01:10:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-07T01:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-01-07T01:10:47.2Z,1,REGULAR,jumpball,recovered,[],202695,,,1610612746,0,0,2025-01-07T01:10:47Z,40000,False,,,0,,Jump Ball I. Zubac vs. R. Gobert: Tip to K. Leonard,"[202695, 1627826, 203497]",1610612746.0,LAC,startperiod,K. Leonard,202695.0,Leonard,K. Leonard,Zubac,1627826.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-01-07T01:11:02.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,11.514454664914586,49.754901960784316,1610612746,0,0,2025-01-07T02:14:02Z,70000,False,1.0,56.0,1,left,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-01-07T01:11:04.1Z,1,REGULAR,rebound,offensive,[],1627739,,,1610612746,0,0,2025-01-07T01:11:08Z,80000,False,,,0,,K. Dunn REBOUND (Off:1 Def:0),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M31.00S,2025-01-07T01:11:34.2Z,1,REGULAR,turnover,out-of-bounds,[],1627826,,,1610612746,0,0,2025-01-07T01:11:46Z,110000,False,,,0,,I. Zubac bad pass out-of-bounds TURNOVER (1 TO),[1627826],1610612746.0,LAC,bad pass,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left,,,,,,,1151.0,1.0,,,,,,,,,,,,
12,PT11M15.00S,2025-01-07T01:12:08.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203944,92.59198423127464,30.637254901960787,1610612750,0,0,2025-01-07T01:13:07Z,120000,False,-97.0,17.0,1,right,MISS J. Randle 9' pullup bank Shot,[203944],1610612750.0,MIN,pullup bank,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,9.83,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2025-01-07T01:12:11.0Z,1,REGULAR,rebound,offensive,[],1628978,,,1610612750,0,0,2025-01-07T01:12:18Z,130000,False,,,0,,D. DiVincenzo REBOUND (Off:1 Def:0),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,8-16 Left,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M09.00S,2025-01-07T01:12:14.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630162,80.50262812089356,37.00980392156863,1610612750,0,0,2025-01-07T01:13:40Z,140000,False,-65.0,131.0,1,right,MISS A. Edwards 14' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,14.61,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2025-01-07T01:12:18.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2025-01-07T01:12:22Z,150000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M58.00S,2025-01-07T01:12:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,15.325229960578188,49.754901960784316,1610612746,0,0,2025-01-07T01:12:32Z,160000,False,1.0,92.0,1,left,MISS J. Harden 9' driving floating Shot,[201935],1610612746.0,LAC,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,9.16,Missed,,,,,,,,,,,,,,,,,,
17,PT10M56.00S,2025-01-07T01:12:26.2Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,0,0,2025-01-07T01:12:32Z,170000,False,,,0,,D. DiVincenzo REBOUND (Off:1 Def:1),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT10M53.00S,2025-01-07T01:12:29.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630183,85.89027595269383,39.46078431372549,1610612750,0,0,2025-01-07T01:16:32Z,180000,False,-53.0,80.0,1,right,MISS J. McDaniels 9' running pullup Shot,[1630183],1610612750.0,MIN,running pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Left,9.59,Missed,,,,,,,,,,,,,,,,,,
19,PT10M53.00S,2025-01-07T01:12:29.9Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612746,0,0,2025-01-07T01:12:43Z,190000,False,,,0,,K. Dunn REBOUND (Off:1 Def:1),[1627739],1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),8-16 Left,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,,
20,PT10M46.00S,2025-01-07T01:12:36.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201935,17.16491458607096,94.6078431372549,1610612746,0,0,2025-01-07T01:20:23Z,200000,False,-223.0,109.0,1,left,MISS J. Harden 24' running 3PT - blocked,"[201935, 1630183]",1610612746.0,LAC,running,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,24.82,Missed,,,,,,,McDaniels,1630183.0,,,,,,,,,,
26,PT10M46.00S,2025-01-07T01:12:36.5Z,1,REGULAR,block,,[],1630183,,,1610612746,0,0,2025-01-07T01:13:21Z,205000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
21,PT10M44.00S,2025-01-07T01:12:38.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2025-01-07T01:12:48Z,210000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M36.00S,2025-01-07T01:12:47.1Z,1,REGULAR,3pt,Jump Shot,[],203944,73.53810775295663,18.627450980392158,1610612750,0,0,2025-01-07T01:12:53Z,220000,False,-157.0,196.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.12,Missed,,,,,,,,,,,,,,,,,,
23,PT10M34.00S,2025-01-07T01:12:49.4Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2025-01-07T01:12:49Z,230000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
24,PT10M33.00S,2025-01-07T01:12:52.5Z,1,REGULAR,foul,personal,['2freethrow'],1627739,,,1610612750,0,0,2025-01-07T01:12:59Z,240000,False,,,0,,K. Dunn shooting personal FOUL (1 PF) (Gobert 2 FT),"[1627739, 203497]",1610612746.0,LAC,shooting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,,1204.0,,,,1.0,0.0,Gobert,203497.0,,,,,,
27,PT10M33.00S,2025-01-07T01:13:28.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203497,,,1610612750,1,0,2025-01-07T01:13:48Z,260000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
28,PT10M33.00S,2025-01-07T01:13:28.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203497,,,1610612750,1,0,2025-01-07T01:13:48Z,270000,False,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT10M31.00S,2025-01-07T01:13:30.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,1,0,2025-01-07T01:13:48Z,280000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT10M19.00S,2025-01-07T01:14:01.0Z,1,REGULAR,foul,personal,['2freethrow'],1628978,,,1610612746,1,0,2025-01-07T01:14:08Z,290000,False,,,0,,D. DiVincenzo shooting personal FOUL (1 PF) (Powell 2 FT),"[1628978, 1626181]",1610612750.0,MIN,shooting,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,101284.0,,,,1.0,0.0,Powell,1626181.0,,,,,,
32,PT10M19.00S,2025-01-07T01:14:30.1Z,1,REGULAR,freethrow,1 of 2,[],1626181,,,1610612746,1,1,2025-01-07T01:14:30Z,310000,False,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
33,PT10M19.00S,2025-01-07T01:14:51.0Z,1,REGULAR,freethrow,2 of 2,[],1626181,,,1610612746,1,2,2025-01-07T01:14:51Z,320000,False,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,,,,,,,,,2.0,,,,,
34,PT10M07.00S,2025-01-07T01:15:04.9Z,1,REGULAR,turnover,lost ball,[],203497,,,1610612750,1,2,2025-01-07T01:28:26Z,330000,False,,,0,,R. Gobert lost ball TURNOVER (1 TO),"[203497, 202695]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,,,,,,,,Leonard,202695.0,,,
35,PT10M07.00S,2025-01-07T01:15:04.9Z,1,REGULAR,steal,,[],202695,,,1610612746,1,2,2025-01-07T01:15:07Z,340000,False,,,0,,K. Leonard STEAL (1 STL),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
36,PT10M00.00S,2025-01-07T01:15:12.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202695,17.296320630749015,49.01960784313725,1610612746,1,2,2025-01-07T01:19:49Z,350000,False,5.0,110.0,1,left,MISS K. Leonard 11' step back Shot,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,11.02,Missed,,,,,,,,,,,,,,,,,,
37,PT09M57.00S,2025-01-07T01:15:15.3Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612750,1,2,2025-01-07T01:15:18Z,360000,False,,,0,,D. DiVincenzo REBOUND (Off:1 Def:2),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),8-16 Center,,,36.0,3.0,2.0,1.0,,,,,,,,,,,,,,
38,PT09M43.00S,2025-01-07T01:15:28.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,93.38042049934296,50.98039215686274,1610612750,3,2,2025-01-07T01:15:35Z,370000,False,5.0,10.0,1,right,R. Gobert cutting DUNK (3 PTS) (A. Edwards 1 AST),"[203497, 1630162]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,,,,,,,3.0,,,A. Edwards,1630162.0,1.0
40,PT09M22.00S,2025-01-07T01:15:49.9Z,1,REGULAR,2pt,Jump Shot,[],202695,9.937582128777924,30.637254901960787,1610612746,3,2,2025-01-07T01:21:12Z,390000,False,97.0,41.0,1,left,MISS K. Leonard 10' driving floating Shot,[202695],1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,10.51,Missed,,,,,,,,,,,,,,,,,,
41,PT09M20.00S,2025-01-07T01:15:51.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,3,2,2025-01-07T01:15:54Z,400000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT09M16.00S,2025-01-07T01:15:58.9Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612750,3,2,2025-01-07T01:16:05Z,410000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612750.0,MIN,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,,1151.0,1.0,,,,,,,,,,,,
43,PT09M04.00S,2025-01-07T01:16:27.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627739,9.937582128777924,58.08823529411765,1610612746,3,4,2025-01-07T01:22:33Z,420000,False,-40.0,41.0,1,left,K. Dunn driving Hook (2 PTS) (K. Leonard 1 AST),"[1627739, 202695]",1610612746.0,LAC,driving,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,5.75,Made,,,,,,,,,,,,,2.0,,,K. Leonard,202695.0,1.0
45,PT08M45.00S,2025-01-07T01:16:48.6Z,1,REGULAR,foul,personal,[],202695,,,1610612750,3,4,2025-01-07T01:16:56Z,440000,False,,,0,,K. Leonard personal FOUL (1 PF),"[202695, 1630183]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Left,,,,,,,1204.0,,,,1.0,0.0,McDaniels,1630183.0,,,,,,
47,PT08M35.00S,2025-01-07T01:17:16.9Z,1,REGULAR,2pt,Jump Shot,[],1630162,92.46057818659659,22.54901960784314,1610612750,5,4,2025-01-07T01:24:35Z,460000,False,-137.0,18.0,1,right,A. Edwards 13' step back Jump Shot (2 PTS) (J. Randle 1 AST),"[1630162, 203944]",1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,13.85,Made,,,,,,,,,,,,,2.0,,,J. Randle,203944.0,1.0
48,PT08M21.00S,2025-01-07T01:17:30.3Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,5,4,2025-01-07T01:17:36Z,470000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1630183]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,,,McDaniels,1630183.0,,,
49,PT08M21.00S,2025-01-07T01:17:30.3Z,1,REGULAR,steal,,[],1630183,,,1610612750,5,4,2025-01-07T01:17:31Z,480000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
50,PT08M16.00S,2025-01-07T01:17:35.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630162,92.85479632063075,53.92156862745098,1610612750,7,4,2025-01-07T01:25:16Z,490000,False,20.0,15.0,1,right,A. Edwards running reverse Layup (4 PTS) (J. Randle 2 AST),"[1630162, 203944]",1610612750.0,MIN,running reverse,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,,,,,,,4.0,,,J. Randle,203944.0,2.0
52,PT08M11.00S,2025-01-07T01:17:40.2Z,1,REGULAR,3pt,Jump Shot,[],1626181,29.77989487516426,23.52941176470588,1610612746,7,4,2025-01-07T04:44:59Z,510000,False,132.0,227.0,1,left,MISS N. Powell 26' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,26.31,Missed,,,,,,,,,,,,,,,,,,
53,PT08M11.00S,2025-01-07T01:17:40.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,7,4,2025-01-07T01:17:47Z,520000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,52.0,3.0,2.0,1.0,,,,,,,,,,,,,,
54,PT08M01.00S,2025-01-07T01:17:50.4Z,1,REGULAR,2pt,Jump Shot,[],1630162,77.7431011826544,36.51960784313725,1610612750,7,4,2025-01-07T01:17:56Z,530000,False,-67.0,157.0,1,right,MISS A. Edwards 17' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,17.06,Missed,,,,,,,,,,,,,,,,,,
