actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-30T00:48:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-30T00:48:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-30T00:48:38.8Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2024-11-30T00:48:38Z,40000,False,,,0,,Jump Ball I. Zubac vs. R. Gobert: Tip to J. Harden,"[201935, 1627826, 203497]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-11-30T00:48:54.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,11.777266754270697,50.0,1610612746,0,2,2024-11-30T00:49:00Z,70000,False,0.0,58.0,1,left,I. Zubac turnaround Hook (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.82,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2024-11-30T00:48:59.5Z,1,REGULAR,foul,personal,[],1627884,,,1610612750,0,2,2024-11-30T00:49:12Z,90000,False,,,0,,D. Jones Jr. personal FOUL (1 PF),"[1627884, 201144]",1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Mid-Range,8-16 Left,,,,,,,1199.0,1.0,0.0,Conley,201144.0,,,,,,,,,
11,PT11M19.00S,2024-11-30T00:49:26.3Z,1,REGULAR,3pt,Jump Shot,[],203944,67.7562417871222,49.01960784313725,1610612750,3,2,2024-11-30T00:49:31Z,110000,False,-5.0,251.0,1,right,J. Randle 25' 3PT pullup (3 PTS) (A. Edwards 1 AST),"[203944, 1630162]",1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,25.06,Made,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,,,,,
13,PT10M54.00S,2024-11-30T00:49:52.9Z,1,REGULAR,turnover,out-of-bounds,[],201935,,,1610612746,3,2,2024-11-30T00:50:01Z,130000,False,,,0,,J. Harden bad pass out-of-bounds TURNOVER (1 TO),[201935],1610612746.0,LAC,bad pass,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,,,,,2530.0,,,,,1.0,,,,,,,,
14,PT10M33.00S,2024-11-30T00:50:21.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203497,88.91261498028909,54.41176470588235,1610612750,3,2,2024-11-30T00:50:26Z,140000,False,22.0,52.0,1,right,MISS R. Gobert turnaround bank Shot,[203497],1610612750.0,MIN,turnaround bank,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,5.62,Missed,,,,,,,,,,,,,,,,,,
15,PT10M31.00S,2024-11-30T00:50:23.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,3,2,2024-11-30T00:50:26Z,150000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M27.00S,2024-11-30T00:50:30.6Z,1,REGULAR,turnover,out-of-bounds,[],1627884,,,1610612746,3,2,2024-11-30T00:51:44Z,160000,False,,,0,,D. Jones Jr. bad pass out-of-bounds TURNOVER (1 TO),[1627884],1610612746.0,LAC,bad pass,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1199.0,,,,,1.0,,,,,,,,
17,PT10M04.00S,2024-11-30T00:50:59.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,74.72076215505913,84.55882352941177,1610612750,3,2,2024-11-30T00:51:04Z,170000,False,173.0,185.0,1,right,MISS J. Randle 25' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.32,Missed,,,,,,,,,,,,,,,,,,
18,PT10M03.00S,2024-11-30T00:51:00.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,3,2,2024-11-30T00:51:04Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,17.0,,,,,,,
19,PT10M03.00S,2024-11-30T00:51:03.5Z,1,REGULAR,foul,personal,[],1627826,,,1610612750,3,2,2024-11-30T00:51:29Z,190000,False,,,0,,I. Zubac loose ball personal FOUL (1 PF),"[1627826, 203497]",1610612746.0,LAC,loose ball,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,2530.0,1.0,0.0,Gobert,203497.0,,,,,,,,,
21,PT09M53.00S,2024-11-30T00:51:29.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630162,94.30026281208936,95.09803921568627,1610612750,6,2,2024-11-30T00:51:33Z,210000,False,225.0,1.0,1,right,A. Edwards 3PT  (3 PTS) (J. McDaniels 1 AST),"[1630162, 1630183]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Right Corner 3,24+ Right,22.55,Made,3.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
23,PT09M34.00S,2024-11-30T00:51:49.0Z,1,REGULAR,3pt,Jump Shot,[],1629599,19.92444152431012,90.68627450980392,1610612746,6,5,2024-11-30T00:51:54Z,230000,False,-203.0,135.0,1,left,A. Coffey 24' 3PT  (3 PTS) (J. Harden 2 AST),"[1629599, 201935]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Left Center,24.4,Made,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
