actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
598,PT03M14.00S,2025-03-05T03:13:39.7Z,4,REGULAR,substitution,out,[],1629638,,,1610612755,120,98,2025-03-05T03:14:20Z,5880000,False,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,
599,PT03M14.00S,2025-03-05T03:13:39.7Z,4,REGULAR,substitution,out,[],203944,,,1610612755,120,98,2025-03-05T03:14:20Z,5890000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,
600,PT03M14.00S,2025-03-05T03:13:39.7Z,4,REGULAR,substitution,in,[],1642265,,,1610612755,120,98,2025-03-05T03:14:20Z,5900000,False,,,0,,SUB in: R. Dillingham,[1642265],1610612750.0,MIN,,,,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,
601,PT03M14.00S,2025-03-05T03:13:39.7Z,4,REGULAR,substitution,in,[],1631169,,,1610612755,120,98,2025-03-05T03:14:20Z,5910000,False,,,0,,SUB in: J. Minott,[1631169],1610612750.0,MIN,,,,,,,Minott,J. Minott,,,,,,,,,,,,,,,,,,,,,,,
602,PT03M14.00S,2025-03-05T03:13:39.7Z,4,REGULAR,substitution,in,[],1631159,,,1610612755,120,98,2025-03-05T03:14:20Z,5920000,False,,,0,,SUB in: L. Miller,[1631159],1610612750.0,MIN,,,,,,,Miller,L. Miller,,,,,,,,,,,,,,,,,,,,,,,
603,PT03M14.00S,2025-03-05T03:13:39.7Z,4,REGULAR,substitution,in,[],1630568,,,1610612755,120,98,2025-03-05T03:14:20Z,5930000,False,,,0,,SUB in: L. Garza,[1630568],1610612750.0,MIN,,,,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,
604,PT03M05.00S,2025-03-05T03:14:32.4Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641740,,,1610612755,120,98,2025-03-05T03:14:41Z,5940000,False,,,0,,J. Clark shooting personal FOUL (3 PF) (Butler 2 FT),"[1641740, 1630215]",1610612750.0,MIN,shooting,In The Paint (Non-RA),8-16 Left,201639.0,3.0,0.0,Clark,J. Clark,Butler,1630215.0,,,,,,,,,,,,,,,,,,,,,
606,PT03M05.00S,2025-03-05T03:15:02.7Z,4,REGULAR,freethrow,1 of 2,[],1630215,,,1610612755,120,99,2025-03-05T03:15:35Z,5960000,False,,,0,,J. Butler Free Throw 1 of 2 (9 PTS),[1630215],1610612755.0,PHI,,,,,,,Butler,J. Butler,,,,Made,,,,,9.0,,,,,,,,,,,,,,
607,PT03M05.00S,2025-03-05T03:15:03.3Z,4,REGULAR,substitution,out,[],1641740,,,1610612755,120,99,2025-03-05T03:15:08Z,5970000,False,,,0,,SUB out: J. Clark,[1641740],1610612750.0,MIN,,,,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,
608,PT03M05.00S,2025-03-05T03:15:03.3Z,4,REGULAR,substitution,in,[],1642399,,,1610612755,120,99,2025-03-05T03:15:08Z,5980000,False,,,0,,SUB in: J. Edwards,[1642399],1610612750.0,MIN,,,,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,
609,PT03M05.00S,2025-03-05T03:15:02.7Z,4,REGULAR,freethrow,2 of 2,[],1630215,,,1610612755,120,99,2025-03-05T03:15:35Z,5990000,False,,,0,,MISS J. Butler Free Throw 2 of 2,[1630215],1610612755.0,PHI,,,,,,,Butler,J. Butler,,,,Missed,,,,,,,,,,,,,,,,,,,
610,PT03M02.00S,2025-03-05T03:15:05.7Z,4,REGULAR,rebound,defensive,[],1631159,,,1610612750,120,99,2025-03-05T03:15:35Z,6000000,False,,,0,,L. Miller REBOUND (Off:0 Def:1),[1631159],1610612750.0,MIN,,,,,,,Miller,L. Miller,,,,,609.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
611,PT02M43.00S,2025-03-05T03:15:53.0Z,4,REGULAR,2pt,Jump Shot,[],1642265,90.22667542706965,22.794117647058822,1610612750,122,99,2025-03-05T03:16:16Z,6010000,False,-136.0,39.0,1,right,R. Dillingham 14' driving floating Jump Shot (2 PTS) (J. Edwards 1 AST),"[1642265, 1642399]",1610612750.0,MIN,driving floating,Mid-Range,8-16 Left,,,,Dillingham,R. Dillingham,,,14.16,Made,,,,,2.0,J. Edwards,1642399.0,1.0,,,,,,,,,,,
613,PT02M34.00S,2025-03-05T03:16:02.1Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642399,,,1610612755,122,99,2025-03-05T03:16:15Z,6030000,False,,,0,,J. Edwards shooting personal FOUL (1 PF) (Dowtin Jr. 2 FT),"[1642399, 1630288]",1610612750.0,MIN,shooting,Restricted Area,0-8 Center,1629178.0,1.0,0.0,Edwards,J. Edwards,Dowtin Jr.,1630288.0,,,,,,,,,,,,,,,,,,,,,
615,PT02M34.00S,2025-03-05T03:16:47.7Z,4,REGULAR,freethrow,1 of 2,[],1630288,,,1610612755,122,100,2025-03-05T03:16:47Z,6050000,False,,,0,,J. Dowtin Jr. Free Throw 1 of 2 (1 PTS),[1630288],1610612755.0,PHI,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,,Made,,,,,1.0,,,,,,,,,,,,,,
616,PT02M34.00S,2025-03-05T03:17:05.8Z,4,REGULAR,freethrow,2 of 2,[],1630288,,,1610612755,122,101,2025-03-05T03:17:05Z,6060000,False,,,0,,J. Dowtin Jr. Free Throw 2 of 2 (2 PTS),[1630288],1610612755.0,PHI,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,,Made,,,,,2.0,,,,,,,,,,,,,,
617,PT02M22.00S,2025-03-05T03:17:22.6Z,4,REGULAR,2pt,Jump Shot,[],1642265,75.1149802890933,48.529411764705884,1610612750,122,101,2025-03-05T03:17:47Z,6070000,False,-7.0,181.0,1,right,MISS R. Dillingham 18' step back Shot,[1642265],1610612750.0,MIN,step back,Mid-Range,16-24 Center,,,,Dillingham,R. Dillingham,,,18.16,Missed,,,,,,,,,,,,,,,,,,,
618,PT02M21.00S,2025-03-05T03:17:23.6Z,4,REGULAR,rebound,defensive,[],1641737,,,1610612755,122,101,2025-03-05T03:17:47Z,6080000,False,,,0,,A. Bona REBOUND (Off:0 Def:1),[1641737],1610612755.0,PHI,,Mid-Range,16-24 Center,,,,Bona,A. Bona,,,,,617.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
619,PT02M09.00S,2025-03-05T03:17:35.0Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642399,,,1610612755,122,101,2025-03-05T03:17:42Z,6090000,False,,,0,,J. Edwards personal FOUL (2 PF) (Dowtin Jr. 2 FT),"[1642399, 1630288]",1610612750.0,MIN,,In The Paint (Non-RA),0-8 Center,201639.0,2.0,0.0,Edwards,J. Edwards,Dowtin Jr.,1630288.0,,,,,,,,,,,,,,,,,,,,,
621,PT02M09.00S,2025-03-05T03:18:00.5Z,4,REGULAR,freethrow,1 of 2,[],1630288,,,1610612755,122,102,2025-03-05T03:18:00Z,6110000,False,,,0,,J. Dowtin Jr. Free Throw 1 of 2 (3 PTS),[1630288],1610612755.0,PHI,,,,,,,Dowtin Jr.,J. Dowtin Jr.,,,,Made,,,,,3.0,,,,,,,,,,,,,,
