actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-16T02:44:19.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T02:44:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-16T02:44:21.6Z,1,REGULAR,jumpball,recovered,[],1628978,,,1610612750,0,0,2025-01-16T02:44:21Z,40000,False,,,0,,Jump Ball R. Gobert vs. T. Jackson-Davis: Tip to D. DiVincenzo,"[1628978, 203497, 1631218]",1610612750.0,MIN,startperiod,D. DiVincenzo,1628978.0,DiVincenzo,D. DiVincenzo,Gobert,203497.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-01-16T02:44:38.3Z,1,REGULAR,2pt,Jump Shot,[],1630162,79.45137976346912,70.34313725490196,1610612750,0,0,2025-01-16T02:44:45Z,70000,False,102.0,141.0,1,right,MISS A. Edwards 17' step back Shot,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,17.36,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-01-16T02:44:44.3Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2025-01-16T02:46:03Z,80000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-01-16T02:45:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,6.915243101182654,51.225490196078425,1610612744,0,0,2025-01-16T02:46:14Z,90000,False,-6.0,13.0,1,left,MISS T. Jackson-Davis Layup,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,1.39,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-01-16T02:45:03.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2025-01-16T02:46:14Z,100000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2025-01-16T02:45:06.2Z,1,REGULAR,foul,personal,[],1630611,,,1610612750,0,0,2025-01-16T02:45:12Z,110000,False,,,0,,G. Santos personal FOUL (1 PF),"[1630611, 203497]",1610612744.0,GSW,,,,Santos,G. Santos,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200834.0,1.0,0.0,Gobert,203497.0,,,,,,,,,
13,PT10M57.00S,2025-01-16T02:45:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,88.91261498028909,36.029411764705884,1610612750,0,0,2025-01-16T02:45:40Z,130000,False,-70.0,52.0,1,right,MISS J. Randle 8' driving floating bank Shot,[203944],1610612750.0,MIN,driving floating bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Left,8.69,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2025-01-16T02:45:38.1Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,0,0,2025-01-16T02:45:40Z,140000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M42.00S,2025-01-16T02:45:50.0Z,1,REGULAR,2pt,Jump Shot,[],203952,8.754927726675426,26.96078431372549,1610612744,0,2,2025-01-16T02:48:13Z,160000,False,115.0,30.0,1,left,A. Wiggins 11' turnaround Jump Shot (2 PTS) (G. Santos 1 AST),"[203952, 1630611]",1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,11.9,Made,,,,,,,,,,2.0,G. Santos,1630611.0,1.0,,,,,
18,PT10M29.00S,2025-01-16T02:46:03.0Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,0,2,2025-01-16T02:46:08Z,180000,False,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 203471]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Schröder,203471.0,,
19,PT10M29.00S,2025-01-16T02:46:03.0Z,1,REGULAR,steal,,[],203471,,,1610612744,0,2,2025-01-16T02:46:05Z,190000,False,,,0,,D. Schröder STEAL (1 STL),[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2025-01-16T02:46:10.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630611,14.4053876478318,5.147058823529411,1610612744,0,5,2025-01-16T02:46:17Z,200000,False,224.0,83.0,1,left,G. Santos 3PT step back (3 PTS) (T. Jackson-Davis 1 AST),"[1630611, 1631218]",1610612744.0,GSW,step back,,,Santos,G. Santos,,,,,Right Corner 3,24+ Right,23.91,Made,,,,,,,,,,3.0,T. Jackson-Davis,1631218.0,1.0,,,,,
22,PT10M12.00S,2025-01-16T02:46:20.2Z,1,REGULAR,3pt,Jump Shot,[],1628978,65.25952693823915,32.1078431372549,1610612750,0,5,2025-01-16T02:46:24Z,220000,False,-89.0,274.0,1,right,MISS D. DiVincenzo 28' pullup 3PT,[1628978],1610612750.0,MIN,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,28.83,Missed,,,,,,,,,,,,,,,,,,
