actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-07T01:10:51.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-07T01:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-07T01:10:53.4Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2025-02-07T01:10:53Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Sengun: Tip to M. Conley,"[201144, 203497, 1630578]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-07T01:11:09.0Z,1,REGULAR,turnover,out-of-bounds,[],1630183,,,1610612750,0,0,2025-02-07T01:11:16Z,70000,False,,,0,,J. McDaniels bad pass out-of-bounds TURNOVER (1 TO),[1630183],1610612750.0,MIN,bad pass,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,202901.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2025-02-07T01:11:35.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630578,17.95335085413929,40.931372549019606,1610612745,0,2,2025-02-07T01:12:16Z,80000,False,45.0,116.0,1,left,A. Sengun 12' turnaround fadeaway Jump Shot (2 PTS),[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,12.48,Made,2.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2025-02-07T01:11:45.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,68.41327201051249,62.254901960784316,1610612750,3,2,2025-02-07T01:11:48Z,90000,False,61.0,244.0,1,right,A. Edwards 25' 3PT pullup (3 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,25.2,Made,3.0,,,,,,,,,,,,,,,
10,PT10M59.00S,2025-02-07T01:12:00.4Z,1,REGULAR,3pt,Jump Shot,[],1628415,28.728646517739815,27.450980392156865,1610612745,3,5,2025-02-07T01:12:04Z,100000,False,113.0,218.0,1,left,D. Brooks 24' 3PT step back (3 PTS) (A. Thompson 1 AST),"[1628415, 1641708]",1610612745.0,HOU,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,24.5,Made,3.0,A. Thompson,1641708.0,1.0,,,,,,,,,,,,
12,PT10M41.00S,2025-02-07T01:12:18.3Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,3,5,2025-02-07T01:12:23Z,120000,False,,,0,,J. McDaniels bad pass TURNOVER (2 TO),"[1630183, 1631106]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,,,,Eason,1631106.0,,,,,,,,,,
13,PT10M41.00S,2025-02-07T01:12:18.3Z,1,REGULAR,steal,,[],1631106,,,1610612745,3,5,2025-02-07T01:12:20Z,130000,False,,,0,,T. Eason STEAL (1 STL),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M36.00S,2025-02-07T01:12:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631106,6.521024967148489,51.470588235294116,1610612745,3,7,2025-02-07T01:12:33Z,140000,False,-7.0,9.0,1,left,T. Eason running Layup (2 PTS),[1631106],1610612745.0,HOU,running,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,1.15,Made,2.0,,,,,,,,,,,,,,,
15,PT10M20.00S,2025-02-07T01:12:39.5Z,1,REGULAR,3pt,Jump Shot,[],201144,78.26872536136662,10.049019607843137,1610612750,6,7,2025-02-07T01:12:43Z,150000,False,-200.0,152.0,1,right,M. Conley 25' 3PT pullup (3 PTS),[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,25.09,Made,3.0,,,,,,,,,,,,,,,
