actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-03T00:35:53.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-03T00:35:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-03T00:35:56.1Z,1,REGULAR,jumpball,recovered,[],1630183,,,1610612750,0,0,2025-01-03T00:35:56Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Horford: Tip to J. McDaniels,"[1630183, 203497, 201143]",1610612750.0,MIN,startperiod,J. McDaniels,1630183.0,McDaniels,J. McDaniels,Gobert,203497.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-01-03T00:36:05.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.882391590013142,46.81372549019608,1610612750,0,0,2025-01-03T00:36:11Z,70000,False,16.0,247.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-01-03T00:36:08.6Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,0,0,2025-01-03T00:36:11Z,80000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M40.00S,2025-01-03T00:36:13.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,31.488173455978973,59.068627450980394,1610612750,0,0,2025-01-03T00:36:18Z,90000,False,-45.0,243.0,1,left,MISS J. Randle 24' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,24.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2025-01-03T00:36:18.6Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,0,0,2025-01-03T00:36:18Z,100000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M28.00S,2025-01-03T00:36:23.7Z,1,REGULAR,3pt,Jump Shot,[],201950,67.88764783180025,54.65686274509803,1610612738,0,0,2025-01-03T00:36:28Z,110000,False,23.0,249.0,1,right,MISS J. Holiday 25' pullup 3PT,[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,25.05,Missed,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2025-01-03T00:36:25.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,0,2025-01-03T00:36:28Z,120000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M16.00S,2025-01-03T00:36:39.0Z,1,REGULAR,foul,personal,['2freethrow'],1630573,,,1610612750,0,0,2025-01-03T00:36:49Z,130000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (McDaniels 2 FT),"[1630573, 1630183]",1610612738.0,BOS,shooting,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202056.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,
15,PT11M16.00S,2025-01-03T00:36:59.5Z,1,REGULAR,freethrow,1 of 2,[],1630183,,,1610612750,1,0,2025-01-03T00:36:59Z,150000,False,,,0,,J. McDaniels Free Throw 1 of 2 (1 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
