actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-16T23:10:38.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T23:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-16T23:10:41.3Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2025-03-16T23:10:41Z,40000,False,,,0,,Jump Ball R. Gobert vs. W. Kessler: Tip to A. Edwards,"[1630162, 203497, 1631117]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-16T23:10:54.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,88.17345597897503,60.31709558823529,1610612750,0,0,2025-03-16T23:11:24Z,70000,False,52.0,59.0,1,right,MISS J. McDaniels 7' driving floating Shot,[1630183],1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,7.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-03-16T23:10:57.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,0,2025-03-16T23:11:04Z,80000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-03-16T23:11:15.7Z,1,REGULAR,turnover,bad pass,[],1642268,,,1610612762,0,0,2025-03-16T23:11:19Z,90000,False,,,0,,I. Collier bad pass TURNOVER (1 TO),"[1642268, 1628978]",1610612762.0,UTA,,,,Collier,I. Collier,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,DiVincenzo,1628978.0,,,,,,,,,,,
10,PT11M22.00S,2025-03-16T23:11:15.7Z,1,REGULAR,steal,,[],1628978,,,1610612750,0,0,2025-03-16T23:11:17Z,100000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2025-03-16T23:11:21.8Z,1,REGULAR,turnover,out-of-bounds,[],203497,,,1610612750,0,0,2025-03-16T23:11:31Z,110000,False,,,0,,R. Gobert lost ball out-of-bounds TURNOVER (1 TO),[203497],1610612750.0,MIN,lost ball,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,1627534.0,,,,,,,,,,
12,PT11M03.00S,2025-03-16T23:11:46.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642268,12.614980289093298,62.52297794117647,1610612762,0,0,2025-03-16T23:15:44Z,120000,False,-63.0,66.0,1,left,MISS I. Collier 9' driving floating Shot,[1642268],1610612762.0,UTA,driving floating,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Left,9.1,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2025-03-16T23:11:49.6Z,1,REGULAR,rebound,offensive,[],1642268,,,1610612762,0,0,2025-03-16T23:15:49Z,130000,False,,,0,,I. Collier REBOUND (Off:1 Def:0),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Left,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
45,PT11M00.00S,2025-03-16T23:11:51.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642268,8.229303547963205,51.71568627450981,1610612762,0,0,2025-03-16T23:16:09Z,135000,False,-9.0,25.0,1,left,MISS I. Collier tip Layup,[1642268],1610612762.0,UTA,tip,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,2.63,Missed,,,,,,,,,,,,,,,,,,
