actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-15T00:10:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-15T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-15T00:10:42.2Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2025-03-15T00:10:42Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. R. Gobert: Tip to F. Wagner,"[1630532, 1628976, 203497]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Carter Jr.,1628976.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-03-15T00:10:52.2Z,1,REGULAR,foul,personal,[],1630183,,,1610612753,0,0,2025-03-15T00:11:00Z,70000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 202709]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,2530.0,1.0,0.0,Joseph,202709.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-03-15T00:11:24.0Z,1,REGULAR,2pt,Jump Shot,[],1628976,90.88370565045992,21.323529411764707,1610612753,0,0,2025-03-15T00:11:30Z,90000,False,-143.0,33.0,1,right,MISS W. Carter Jr. 14' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,,,,14.72,Missed,,,,,,,,,,,,,
10,PT11M31.00S,2025-03-15T00:11:28.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,0,2025-03-15T00:11:30Z,100000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M23.00S,2025-03-15T00:11:38.1Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612750,0,0,2025-03-15T00:11:46Z,110000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Edwards 2 FT),"[1628976, 1630162]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,2530.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,,,,
13,PT11M23.00S,2025-03-15T00:12:00.7Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,0,0,2025-03-15T00:12:00Z,130000,False,,,0,,MISS A. Edwards Free Throw 1 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
14,PT11M23.00S,2025-03-15T00:12:00.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,0,0,2025-03-15T00:12:00Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,
15,PT11M23.00S,2025-03-15T00:12:14.7Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,1,0,2025-03-15T00:12:14Z,150000,False,,,0,,A. Edwards Free Throw 2 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,
16,PT11M11.00S,2025-03-15T00:12:28.3Z,1,REGULAR,3pt,Jump Shot,[],1631094,73.14388961892247,80.88235294117648,1610612753,1,0,2025-03-15T00:12:47Z,160000,False,154.0,200.0,1,right,MISS P. Banchero 25' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,25.26,Missed,,,,,,,,,,,,,
