actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-27T01:10:50.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-27T01:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-27T01:10:53.1Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612750,0,0,2024-11-27T01:10:53Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Sengun: Tip to J. Randle,"[203944, 203497, 1630578]",1610612750.0,MIN,startperiod,J. Randle,203944.0,Randle,J. Randle,Gobert,203497.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-27T01:11:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,94.43166885676742,51.9607843137255,1610612750,0,0,2024-11-27T01:11:11Z,70000,False,10.0,0.0,1,right,MISS J. Randle driving Layup,[203944],1610612750.0,MIN,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-11-27T01:11:07.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,0,0,2024-11-27T01:11:11Z,80000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M39.00S,2024-11-27T01:11:10.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,27.677398160315374,19.362745098039216,1610612745,0,3,2024-11-27T01:11:48Z,90000,False,153.0,208.0,1,left,J. Smith Jr. 25' 3PT running (3 PTS) (F. VanVleet 1 AST),"[1631095, 1627832]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.81,Made,,,,,3.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
11,PT11M21.00S,2024-11-27T01:11:28.1Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612750,0,3,2024-11-27T01:11:37Z,110000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1630578]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Sengun,1630578.0,,,,,,,
12,PT11M21.00S,2024-11-27T01:11:28.1Z,1,REGULAR,steal,,[],1630578,,,1610612745,0,3,2024-11-27T01:11:37Z,120000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2024-11-27T01:11:34.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628415,23.078186596583443,87.5,1610612745,0,6,2024-11-27T01:13:22Z,130000,False,-188.0,164.0,1,left,D. Brooks 24' 3PT running (3 PTS) (F. VanVleet 2 AST),"[1628415, 1627832]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,24.94,Made,,,,,3.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,
15,PT11M02.00S,2024-11-27T01:11:46.8Z,1,REGULAR,3pt,Jump Shot,[],1630162,67.36202365308804,41.42156862745098,1610612750,3,6,2024-11-27T01:11:52Z,150000,False,-43.0,254.0,1,right,A. Edwards 25' 3PT pullup (3 PTS),[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.79,Made,,,,,3.0,,,,,,,,,,,,,
16,PT10M37.00S,2024-11-27T01:12:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,7.966491458607096,45.588235294117645,1610612745,3,6,2024-11-27T01:12:17Z,160000,False,22.0,22.0,1,left,MISS A. Sengun driving Layup,[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,3.15,Missed,,,,,,,,,,,,,,,,,,
