actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-01-28T01:10:46.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-28T01:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-28T01:10:48.9Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2025-01-28T01:10:48Z,40000,False,,,0,,Jump Ball R. Gobert vs. O. Okongwu: Tip to M. Conley,"[201144, 203497, 1630168]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-28T01:11:01.0Z,1,REGULAR,3pt,Jump Shot,[],203944,28.991458607095925,74.75490196078431,1610612750,0,0,2025-01-28T01:11:16Z,70000,False,-124.0,220.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,25.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-01-28T01:11:04.0Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,0,0,2025-01-28T01:11:16Z,80000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-01-28T01:11:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,92.46057818659659,49.50980392156863,1610612737,0,0,2025-01-28T01:11:20Z,90000,False,-2.0,18.0,1,right,MISS Z. Risacher driving Layup - blocked,"[1642258, 1630183]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1.86,Missed,,,,,McDaniels,1630183.0,,,,,,,,,,,,
10,PT11M30.00S,2025-01-28T01:11:14.9Z,1,REGULAR,block,,[],1630183,,,1610612737,0,0,2025-01-28T01:11:18Z,100000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2025-01-28T01:11:14.9Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,0,0,2025-01-28T01:11:20Z,110000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12,PT11M25.00S,2025-01-28T01:11:19.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630168,91.5407358738502,49.754901960784316,1610612737,0,0,2025-01-28T01:12:11Z,120000,False,-1.0,27.0,1,right,MISS O. Okongwu Hook,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2025-01-28T01:11:21.9Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,0,2025-01-28T01:11:24Z,130000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M15.00S,2025-01-28T01:11:30.6Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.882391590013142,48.28431372549019,1610612750,0,0,2025-01-28T01:11:36Z,140000,False,9.0,247.0,1,left,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.73,Missed,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2025-01-28T01:11:34.6Z,1,REGULAR,rebound,defensive,[],1630811,,,1610612737,0,0,2025-01-28T01:11:36Z,150000,False,,,0,,K. Wallace REBOUND (Off:0 Def:1),[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M54.00S,2025-01-28T01:11:50.7Z,1,REGULAR,3pt,Jump Shot,[],1631223,94.95729303547962,95.83333333333334,1610612737,0,0,2025-01-28T01:12:57Z,160000,False,229.0,-5.0,1,right,MISS D. Roddy step back 3PT,[1631223],1610612737.0,ATL,step back,,,Roddy,D. Roddy,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
17,PT10M52.00S,2025-01-28T01:11:52.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,0,2025-01-28T01:11:55Z,170000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M44.00S,2025-01-28T01:12:01.6Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,0,0,2025-01-28T01:12:07Z,180000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1642258]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Risacher,1642258.0,,,,,,,,,
19,PT10M44.00S,2025-01-28T01:12:01.6Z,1,REGULAR,steal,,[],1642258,,,1610612737,0,0,2025-01-28T01:12:04Z,190000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
