actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-21T00:12:36.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-21T00:12:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-21T00:12:38.7Z,1,REGULAR,jumpball,recovered,[],1630573,,,1610612738,0,0,2025-12-21T00:12:38Z,40000,False,,,0,,Jump Ball N. Queta vs. S. Barnes: Tip to S. Hauser,"[1630573, 1629674, 1630567]",1610612738.0,BOS,startperiod,S. Hauser,1630573.0,Hauser,S. Hauser,Queta,1629674.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-21T00:12:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629674,12.959921156373195,49.01960784313725,1610612738,0,2,2025-12-21T00:12:57Z,70000,False,5.0,69.0,1,left,N. Queta 6' floating Jump Shot (2 PTS) (P. Pritchard 1 AST),"[1629674, 1630202]",1610612738.0,BOS,floating,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,6.95,Made,2.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-12-21T00:13:13.6Z,1,REGULAR,3pt,Jump Shot,[],1630572,92.72339027595268,3.9215686274509802,1610612761,3,2,2025-12-21T00:13:19Z,90000,False,-230.0,16.0,1,right,S. Mamukelashvili 3PT  (3 PTS) (O. Agbaji 1 AST),"[1630572, 1630534]",1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Left Corner 3,24+ Left,23.09,Made,3.0,O. Agbaji,1630534.0,1.0,,,,,,,,,,,,,,
11,PT10M59.00S,2025-12-21T00:13:36.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,34.90473061760841,47.30392156862745,1610612738,3,5,2025-12-21T00:13:41Z,110000,False,13.0,276.0,1,left,P. Pritchard 27' 3PT  (3 PTS) (S. Hauser 1 AST),"[1630202, 1630573]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,27.59,Made,3.0,S. Hauser,1630573.0,1.0,,,,,,,,,,,,,,
13,PT10M36.00S,2025-12-21T00:13:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,82.60512483574244,61.274509803921575,1610612761,5,5,2025-12-21T00:14:03Z,130000,False,56.0,111.0,1,right,B. Ingram 12' pullup Jump Shot (2 PTS) (S. Mamukelashvili 1 AST),"[1627742, 1630572]",1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.45,Made,2.0,S. Mamukelashvili,1630572.0,1.0,,,,,,,,,,,,,,
15,PT10M20.00S,2025-12-21T00:14:14.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,33.459264126149804,47.549019607843135,1610612738,5,5,2025-12-21T00:14:19Z,150000,False,12.0,262.0,1,left,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,26.23,Missed,,,,,,,,,,,,,,,,,,
16,PT10M16.00S,2025-12-21T00:14:18.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,5,5,2025-12-21T00:14:19Z,160000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M12.00S,2025-12-21T00:14:23.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,64.20827858081472,46.07843137254902,1610612761,5,5,2025-12-21T00:15:04Z,170000,False,-20.0,284.0,1,right,MISS I. Quickley 28' running 3PT,[1630193],1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,28.46,Missed,,,,,,,,,,,,,,,,,,
18,PT10M08.00S,2025-12-21T00:14:27.1Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,5,5,2025-12-21T00:14:27Z,180000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M02.00S,2025-12-21T00:14:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,6.389618922470433,47.549019607843135,1610612738,5,5,2025-12-21T00:14:36Z,190000,False,12.0,8.0,1,left,MISS D. White pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
20,PT10M01.00S,2025-12-21T00:14:34.3Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,5,5,2025-12-21T00:14:51Z,200000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,
21,PT09M57.00S,2025-12-21T00:14:38.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630534,92.85479632063075,1.9607843137254901,1610612761,5,5,2025-12-21T00:14:43Z,210000,False,-240.0,15.0,1,right,MISS O. Agbaji 24' running 3PT,[1630534],1610612761.0,TOR,running,,,Agbaji,O. Agbaji,,,,,Left Corner 3,24+ Left,24.06,Missed,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2025-12-21T00:14:42.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,5,5,2025-12-21T00:14:43Z,220000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M40.00S,2025-12-21T00:14:55.3Z,1,REGULAR,turnover,bad pass,[],1630573,,,1610612738,5,5,2025-12-21T00:14:59Z,230000,False,,,0,,S. Hauser bad pass TURNOVER (1 TO),"[1630573, 1630193]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Quickley,1630193.0,,,,,,,
24,PT09M40.00S,2025-12-21T00:14:55.3Z,1,REGULAR,steal,,[],1630193,,,1610612761,5,5,2025-12-21T00:14:57Z,240000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
25,PT09M38.00S,2025-12-21T00:14:59.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630193,93.51182654402102,50.0,1610612761,5,5,2025-12-21T00:15:17Z,250000,False,0.0,8.0,1,right,MISS I. Quickley running Layup - blocked,"[1630193, 1641775]",1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,0.85,Missed,,,,,,,,,,,,Walsh,1641775.0,,,,,
