actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
391,PT08M22.00S,2025-10-30T00:07:37.3Z,3,REGULAR,rebound,defensive,[],1641708,,,1610612745,67,81,2025-10-30T00:07:37Z,3900000,False,,,0,,A. Thompson REBOUND (Off:3 Def:2),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,390.0,5.0,2.0,3.0,,,,,,,,,,,,,,
392,PT08M12.00S,2025-10-30T00:07:47.7Z,3,REGULAR,3pt,Jump Shot,[],1631095,8.492115637319317,3.9215686274509802,1610612745,67,84,2025-10-30T00:07:52Z,3910000,False,230.0,27.0,1,left,J. Smith Jr. 3PT  (21 PTS) (A. Sengun 5 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Right Corner 3,24+ Right,23.2,Made,,,,,,,,,,21.0,A. Sengun,1630578.0,5.0,,,,,
394,PT08M00.00S,2025-10-30T00:07:59.6Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,84.97043363994744,47.549019607843135,1610612761,69,84,2025-10-30T00:10:17Z,3930000,False,-12.0,89.0,1,right,S. Barnes 8' turnaround Hook (20 PTS),[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,8.96,Made,,,,,,,,,,20.0,,,,,,,,
395,PT07M44.00S,2025-10-30T00:08:16.5Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201142,8.360709592641262,42.64705882352941,1610612745,69,86,2025-10-30T00:11:13Z,3940000,False,37.0,26.0,1,left,K. Durant driving Layup (18 PTS),[201142],1610612745.0,HOU,driving,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,4.51,Made,,,,,,,,,,18.0,,,,,,,,
398,PT07M35.00S,2025-10-30T00:08:45.2Z,3,REGULAR,foul,personal,['2freethrow'],1641708,,,1610612761,69,86,2025-10-30T00:08:51Z,3970000,False,,,0,,A. Thompson shooting personal FOUL (2 PF) (Barnes 2 FT),"[1641708, 1630567]",1610612745.0,HOU,shooting,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,1830.0,2.0,0.0,Barnes,1630567.0,,,,,,,,,
400,PT07M35.00S,2025-10-30T00:08:53.0Z,3,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,70,86,2025-10-30T00:08:53Z,3990000,False,,,0,,S. Barnes Free Throw 1 of 2 (21 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Made,,,,,,,,,,21.0,,,,,,,,
401,PT07M35.00S,2025-10-30T00:08:53.8Z,3,REGULAR,substitution,out,[],1629628,,,1610612761,70,86,2025-10-30T00:08:57Z,4000000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,
402,PT07M35.00S,2025-10-30T00:08:53.8Z,3,REGULAR,substitution,in,[],1642266,,,1610612761,70,86,2025-10-30T00:08:57Z,4010000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
403,PT07M35.00S,2025-10-30T00:09:10.3Z,3,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,70,86,2025-10-30T00:09:10Z,4020000,False,,,0,,MISS S. Barnes Free Throw 2 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
404,PT07M33.00S,2025-10-30T00:09:11.3Z,3,REGULAR,rebound,defensive,[],1630578,,,1610612745,70,86,2025-10-30T00:09:11Z,4030000,False,,,0,,A. Sengun REBOUND (Off:0 Def:6),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,403.0,6.0,6.0,0.0,,,,,,,,,,,,,,
