actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-11T23:11:55.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-11T23:11:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-01-11T23:11:59.8Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2026-01-11T23:11:59Z,40000,False,,,0,,Jump Ball A. Drummond vs. S. Barnes: Tip to K. Oubre Jr.,"[1626162, 203083, 1630567]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Drummond,203083.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
389,PT11M51.00S,2026-01-11T23:12:06.9Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612755,0,0,2026-01-12T00:18:03Z,65000,False,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 1630193]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,1.0,Quickley,1630193.0,,,,,,,,,,,,,,,,,
390,PT11M51.00S,2026-01-11T23:12:06.9Z,1,REGULAR,steal,,[],1630193,,,1610612761,0,0,2026-01-12T00:17:42Z,67500,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-11T23:12:14.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642347,85.3646517739816,46.07843137254902,1610612761,2,0,2026-01-12T00:17:42Z,70000,False,-20.0,85.0,1,right,J. Shead 8' driving floating Jump Shot (2 PTS),[1642347],1610612761.0,TOR,driving floating,,,Shead,J. Shead,,,,,In The Paint (Non-RA),8-16 Center,,,,8.73,Made,2.0,,,,,,,,,,,,,,
8,PT11M17.00S,2026-01-11T23:12:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,7.046649145860711,49.50980392156863,1610612755,2,0,2026-01-11T23:12:42Z,80000,False,2.0,14.0,1,left,MISS K. Oubre Jr. driving finger roll Layup,[1626162],1610612755.0,PHI,driving finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,1.39,Missed,,,,,,,,,,,,,,,
9,PT11M16.00S,2026-01-11T23:12:38.3Z,1,REGULAR,rebound,defensive,[],1642867,,,1610612761,2,0,2026-01-11T23:12:42Z,90000,False,,,0,,C. Murray-Boyles REBOUND (Off:0 Def:1),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,
10,PT11M10.00S,2026-01-11T23:12:44.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642867,93.77463863337714,49.754901960784316,1610612761,4,0,2026-01-11T23:12:49Z,100000,False,-1.0,6.0,1,right,C. Murray-Boyles running Layup (2 PTS) (I. Quickley 1 AST),"[1642867, 1630193]",1610612761.0,TOR,running,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,,,,0.61,Made,2.0,,,,,I. Quickley,1630193.0,1.0,,,,,,,
12,PT11M00.00S,2026-01-11T23:12:53.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.802233902759525,57.107843137254896,1610612755,4,0,2026-01-11T23:13:01Z,120000,False,-36.0,256.0,1,left,MISS T. Maxey 25' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,25.83,Missed,,,,,,,,,,,,,,,
13,PT10M58.00S,2026-01-11T23:12:55.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,0,2026-01-11T23:13:01Z,130000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
