actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-13T00:42:12.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-13T00:42:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-13T00:42:14.5Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2026-01-13T00:42:14Z,40000,False,,,0,,Jump Ball S. Barnes vs. J. Embiid: Tip to I. Quickley,"[1630193, 1630567, 203954]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Barnes,1630567.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-01-13T00:42:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.02825229960578,37.745098039215684,1610612761,2,0,2026-01-13T00:42:37Z,70000,False,-61.0,126.0,1,right,B. Ingram 13' pullup Jump Shot (2 PTS),[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,13.99,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2026-01-13T00:42:51.6Z,1,REGULAR,foul,personal,['2freethrow'],1642867,,,1610612755,2,0,2026-01-13T00:42:58Z,80000,False,,,0,,C. Murray-Boyles shooting personal FOUL (1 PF) (George 2 FT),"[1642867, 202331]",1610612761.0,TOR,shooting,,,Murray-Boyles,C. Murray-Boyles,,,,,Mid-Range,8-16 Left,,,,1627962.0,1.0,0.0,George,202331.0,,,,,,,,,,,,
10,PT11M22.00S,2026-01-13T00:43:22.4Z,1,REGULAR,freethrow,1 of 2,[],202331,,,1610612755,2,1,2026-01-13T00:43:22Z,100000,False,,,0,,P. George Free Throw 1 of 2 (1 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2026-01-13T00:43:40.8Z,1,REGULAR,freethrow,2 of 2,[],202331,,,1610612755,2,2,2026-01-13T00:43:40Z,110000,False,,,0,,P. George Free Throw 2 of 2 (2 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2026-01-13T00:44:00.5Z,1,REGULAR,3pt,Jump Shot,[],1630567,93.24901445466492,98.2843137254902,1610612761,2,2,2026-01-13T00:44:05Z,120000,False,241.0,11.0,1,right,MISS S. Barnes 24' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,24.17,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2026-01-13T00:44:02.5Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612761,2,2,2026-01-13T00:44:05Z,130000,False,,,0,,B. Ingram REBOUND (Off:1 Def:0),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT10M58.00S,2026-01-13T00:44:07.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630193,82.9993429697766,49.26470588235294,1610612761,4,2,2026-01-13T00:44:11Z,140000,False,-4.0,107.0,1,right,I. Quickley 10' driving floating Jump Shot (2 PTS),[1630193],1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,10.74,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2026-01-13T00:44:29.3Z,1,REGULAR,3pt,Jump Shot,[],202331,28.07161629434954,81.61764705882352,1610612755,4,5,2026-01-13T00:44:33Z,150000,False,-158.0,211.0,1,left,P. George 26' 3PT pullup (5 PTS) (V. Edgecombe 1 AST),"[202331, 1642845]",1610612755.0,PHI,pullup,,,George,P. George,,,,,Above the Break 3,24+ Left Center,26.4,Made,5.0,,,,,,,,,,V. Edgecombe,1642845.0,1.0,,,,,
18,PT10M11.00S,2026-01-13T00:45:10.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,92.59198423127464,92.64705882352942,1610612761,6,5,2026-01-13T00:45:15Z,180000,False,213.0,17.0,1,right,B. Ingram 21' turnaround fadeaway Jump Shot (4 PTS) (J. Shead 1 AST),"[1627742, 1642347]",1610612761.0,TOR,turnaround fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right,21.39,Made,4.0,,,,,,,,,,J. Shead,1642347.0,1.0,,,,,
20,PT09M53.00S,2026-01-13T00:45:27.7Z,1,REGULAR,2pt,Jump Shot,[],1630178,11.383048620236531,29.166666666666668,1610612755,6,7,2026-01-13T00:45:31Z,200000,False,104.0,55.0,1,left,T. Maxey 11' pullup Jump Shot (2 PTS) (P. George 1 AST),"[1630178, 202331]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,11.76,Made,2.0,,,,,,,,,,P. George,202331.0,1.0,,,,,
22,PT09M33.00S,2026-01-13T00:45:48.7Z,1,REGULAR,2pt,Jump Shot,[],1630567,87.33574244415243,69.11764705882352,1610612761,6,7,2026-01-13T00:45:52Z,220000,False,96.0,67.0,1,right,MISS S. Barnes 11' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,11.65,Missed,,,,,,,,,,,,,,,,,,
23,PT09M31.00S,2026-01-13T00:45:50.9Z,1,REGULAR,rebound,offensive,[],1642867,,,1610612761,6,7,2026-01-13T00:45:50Z,230000,False,,,0,,C. Murray-Boyles REBOUND (Off:1 Def:0),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Mid-Range,8-16 Right,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,
24,PT09M29.00S,2026-01-13T00:45:52.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630193,82.86793692509855,47.30392156862745,1610612761,8,7,2026-01-13T00:45:59Z,240000,False,-13.0,109.0,1,right,I. Quickley 10' driving floating Jump Shot (4 PTS) (C. Murray-Boyles 1 AST),"[1630193, 1642867]",1610612761.0,TOR,driving floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,10.93,Made,4.0,,,,,,,,,,C. Murray-Boyles,1642867.0,1.0,,,,,
26,PT09M10.00S,2026-01-13T00:46:11.5Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,8,7,2026-01-13T00:46:16Z,260000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1630193]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Quickley,1630193.0,,
27,PT09M10.00S,2026-01-13T00:46:11.5Z,1,REGULAR,steal,,[],1630193,,,1610612761,8,7,2026-01-13T00:52:40Z,270000,False,,,0,,I. Quickley STEAL (1 STL),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M06.00S,2026-01-13T00:46:16.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630193,76.03482260183968,86.51960784313727,1610612761,11,7,2026-01-13T00:46:21Z,280000,False,183.0,173.0,1,right,I. Quickley 25' 3PT running (7 PTS) (B. Ingram 1 AST),"[1630193, 1627742]",1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,25.14,Made,7.0,,,,,,,,,,B. Ingram,1627742.0,1.0,,,,,
30,PT08M52.00S,2026-01-13T00:46:29.0Z,1,REGULAR,3pt,Jump Shot,[],1642845,12.697109067017081,4.411764705882353,1610612755,11,10,2026-01-13T00:46:33Z,300000,False,228.0,67.0,1,left,V. Edgecombe 3PT  (3 PTS) (J. Embiid 1 AST),"[1642845, 203954]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Right Corner 3,24+ Right,23.75,Made,3.0,,,,,,,,,,J. Embiid,203954.0,1.0,,,,,
32,PT08M40.00S,2026-01-13T00:46:43.3Z,1,REGULAR,foul,personal,[],202331,,,1610612761,11,10,2026-01-13T00:46:51Z,320000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 1627742]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,1628485.0,1.0,0.0,Ingram,1627742.0,,,,,,,,,,,,
