actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-13T23:42:09.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-13T23:42:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-13T23:42:11.4Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612761,0,0,2026-03-13T23:42:11Z,40000,False,,,0,,Jump Ball J. Poeltl vs. O. Ighodaro: Tip to B. Ingram,"[1627742, 1627751, 1642345]",1610612761.0,TOR,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Poeltl,1627751.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2026-03-13T23:42:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,93.64323258869908,49.26470588235294,1610612761,2,0,2026-03-13T23:42:24Z,70000,False,-4.0,7.0,1,right,B. Ingram driving Layup (2 PTS),[1627742],1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,0.82,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-03-13T23:42:26.4Z,1,REGULAR,turnover,backcourt,[],1631221,,,1610612756,2,0,2026-03-13T23:42:45Z,80000,False,,,0,,C. Gillespie backcourt TURNOVER (1 TO),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Center,,,,1626300.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2026-03-13T23:43:05.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627751,86.41590013140605,54.166666666666664,1610612761,4,0,2026-03-13T23:43:11Z,90000,False,21.0,75.0,1,right,J. Poeltl 7' turnaround Hook (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,7.8,Made,2.0,,,S. Barnes,1630567.0,1.0,,,,,,,,,,,,
11,PT11M13.00S,2026-03-13T23:43:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642345,5.075558475689881,52.69607843137255,1610612756,4,0,2026-03-13T23:43:25Z,110000,False,-13.0,-5.0,1,left,MISS O. Ighodaro cutting finger roll Layup,[1642345],1610612756.0,PHX,cutting finger roll,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,1.43,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2026-03-13T23:43:19.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,4,0,2026-03-13T23:43:25Z,120000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M04.00S,2026-03-13T23:43:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.03745072273325,44.6078431372549,1610612761,6,0,2026-03-13T23:54:20Z,130000,False,-27.0,4.0,1,right,R. Barrett driving Layup (2 PTS) (S. Barnes 2 AST),"[1629628, 1630567]",1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,2.72,Made,2.0,,,S. Barnes,1630567.0,2.0,,,,,,,,,,,,
15,PT10M48.00S,2026-03-13T23:43:43.4Z,1,REGULAR,3pt,Jump Shot,[],1626220,32.802233902759525,37.5,1610612756,6,0,2026-03-13T23:43:48Z,150000,False,62.0,256.0,1,left,MISS R. O'Neale 26' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,26.33,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2026-03-13T23:43:46.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,6,0,2026-03-13T23:43:48Z,160000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
