actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-04T00:42:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-04T00:42:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-03-04T00:42:15.2Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-03-04T00:42:15Z,40000,False,,,0,,Jump Ball K. Towns vs. J. Poeltl: Tip to J. Hart,"[1628404, 1626157, 1627751]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2026-03-04T00:42:23.8Z,1,REGULAR,foul,personal,[],1630567,,,1610612752,0,0,2026-03-04T00:43:02Z,70000,False,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 1628973]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,1628951.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2026-03-04T00:43:00.1Z,1,REGULAR,2pt,Jump Shot,[],1628384,6.652431011826544,27.696078431372552,1610612752,0,2,2026-03-04T00:43:05Z,90000,False,112.0,10.0,1,left,O. Anunoby 11' pullup Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628384, 1628973]",1610612752.0,NYK,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,,,,,,11.19,Made,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,
10,PT11M16.00S,2026-03-04T00:43:19.9Z,1,REGULAR,3pt,Jump Shot,[],1630193,67.23061760840999,53.67647058823529,1610612761,3,2,2026-03-04T00:43:24Z,100000,False,18.0,256.0,1,right,I. Quickley 25' 3PT pullup (3 PTS),[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,,,25.62,Made,3.0,,,,,,,,,,,,
11,PT10M59.00S,2026-03-04T00:43:38.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,11.383048620236531,58.333333333333336,1610612752,3,4,2026-03-04T00:43:42Z,110000,False,-42.0,55.0,1,left,K. Towns 6' turnaround Hook (2 PTS),[1626157],1610612752.0,NYK,turnaround,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.86,Made,2.0,,,,,,,,,,,,
12,PT10M47.00S,2026-03-04T00:43:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,89.96386333771353,57.107843137254896,1610612761,3,4,2026-03-04T00:43:56Z,120000,False,36.0,42.0,1,right,MISS B. Ingram driving Layup - blocked,"[1627742, 1626157]",1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.48,Missed,,,,,Towns,1626157.0,,,,,,,
13,PT10M47.00S,2026-03-04T00:43:49.0Z,1,REGULAR,block,,[],1626157,,,1610612761,3,4,2026-03-04T00:46:12Z,130000,False,,,0,,K. Towns BLOCK (1 BLK),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2026-03-04T00:43:52.0Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,3,4,2026-03-04T00:43:56Z,140000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,
84,PT10M39.00S,2026-03-04T00:43:57.0Z,1,REGULAR,turnover,lost ball,[],1628384,,,1610612752,3,4,2026-03-04T00:56:37Z,160000,False,,,0,,O. Anunoby lost ball TURNOVER (1 TO),"[1628384, 1630193]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Quickley,1630193.0
