actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2026-02-06T00:42:25.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-06T00:42:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-06T00:42:27.7Z,1,REGULAR,jumpball,recovered,[],1642867,,,1610612761,0,0,2026-02-06T00:42:27Z,40000,False,,,0,,Jump Ball S. Barnes vs. J. Smith: Tip to C. Murray-Boyles,"[1642867, 1630567, 1630188]",1610612761.0,TOR,startperiod,C. Murray-Boyles,1642867.0,Murray-Boyles,C. Murray-Boyles,Barnes,1630567.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-06T00:42:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,6.1268068331143235,52.20588235294118,1610612761,2,0,2026-02-06T00:42:54Z,70000,False,-11.0,5.0,1,left,B. Ingram driving reverse Layup (2 PTS) (C. Murray-Boyles 1 AST),"[1627742, 1642867]",1610612761.0,TOR,driving reverse,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.21,Made,2.0,C. Murray-Boyles,1642867.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-02-06T00:43:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,94.30026281208936,51.225490196078425,1610612741,2,2,2026-02-06T00:43:08Z,90000,False,6.0,1.0,1,right,I. Okoro driving Layup (2 PTS) (J. Ivey 1 AST),"[1630171, 1631093]",1610612741.0,CHI,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,0.62,Made,2.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
11,PT11M01.00S,2026-02-06T00:43:23.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642867,9.149145860709593,41.911764705882355,1610612761,4,2,2026-02-06T00:43:41Z,110000,False,40.0,34.0,1,left,C. Murray-Boyles Hook (2 PTS) (S. Barnes 1 AST),"[1642867, 1630567]",1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,In The Paint (Non-RA),0-8 Center,5.25,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
13,PT10M39.00S,2026-02-06T00:43:46.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,63.9454664914586,32.35294117647059,1610612741,4,5,2026-02-06T00:43:50Z,130000,False,-88.0,286.0,1,right,A. Simons 29' 3PT pullup (3 PTS),[1629014],1610612741.0,CHI,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,29.97,Made,3.0,,,,,,,,,,,,,,,,,
14,PT10M27.00S,2026-02-06T00:43:57.3Z,1,REGULAR,2pt,Jump Shot,[],1630193,4.28712220762155,8.333333333333332,1610612761,6,5,2026-02-06T00:44:05Z,140000,False,208.0,-12.0,1,left,I. Quickley 20' Jump Shot (2 PTS) (B. Ingram 1 AST),"[1630193, 1627742]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Right,20.87,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
16,PT10M02.00S,2026-02-06T00:44:21.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630188,92.85479632063075,50.0,1610612741,6,7,2026-02-06T00:44:40Z,160000,False,0.0,15.0,1,right,J. Smith driving Hook (2 PTS) (J. Ivey 2 AST),"[1630188, 1631093]",1610612741.0,CHI,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1.47,Made,2.0,J. Ivey,1631093.0,2.0,,,,,,,,,,,,,,
18,PT09M45.00S,2026-02-06T00:44:40.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642867,8.360709592641262,54.166666666666664,1610612761,8,7,2026-02-06T00:44:47Z,180000,False,-21.0,26.0,1,left,C. Murray-Boyles driving bank Hook (4 PTS),[1642867],1610612761.0,TOR,driving bank,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,3.34,Made,4.0,,,,,,,,,,,,,,,,,
19,PT09M28.00S,2026-02-06T00:44:56.0Z,1,REGULAR,3pt,Jump Shot,[],1641824,70.90998685939553,78.43137254901961,1610612741,8,7,2026-02-06T00:45:02Z,190000,False,142.0,221.0,1,right,MISS M. Buzelis 26' pullup 3PT,[1641824],1610612741.0,CHI,pullup,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,26.27,Missed,,,,,,,,,,,,,,,,,,
