actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-28T00:42:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-28T00:42:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-28T00:42:37.1Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2026-03-28T00:42:37Z,40000,False,,,0,,Jump Ball J. Poeltl vs. Y. Missi: Tip to S. Barnes,"[1630567, 1627751, 1642274]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-28T00:42:48.0Z,1,REGULAR,turnover,lost ball,[],1629628,,,1610612761,0,0,2026-03-28T00:42:59Z,70000,False,,,0,,R. Barrett lost ball TURNOVER (1 TO),"[1629628, 1630529]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Left,1.0,Jones,1630529.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2026-03-28T00:42:48.0Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2026-03-28T00:42:50Z,80000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2026-03-28T00:43:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,5.469776609724048,47.05882352941176,1610612740,0,2,2026-03-28T00:43:04Z,90000,False,15.0,-1.0,1,left,Z. Williamson driving Layup (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,1.47,Made,2.0,,,,,,,,,,,,,,
10,PT11M25.00S,2026-03-28T00:43:08.5Z,1,REGULAR,2pt,Jump Shot,[],1627742,80.23981603153744,32.84313725490196,1610612761,2,2,2026-03-28T00:43:12Z,100000,False,-86.0,133.0,1,right,B. Ingram 15' pullup Jump Shot (2 PTS),[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,,,,15.84,Made,2.0,,,,,,,,,,,,,,
11,PT11M05.00S,2026-03-28T00:43:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,11.251642575558476,52.20588235294118,1610612740,2,2,2026-03-28T00:43:38Z,110000,False,-11.0,53.0,1,left,MISS Z. Williamson driving floating Shot - blocked,"[1629627, 1630567]",1610612740.0,NOP,driving floating,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.44,Missed,,Barnes,1630567.0,,,,,,,,,,,,
78,PT11M05.00S,2026-03-28T00:43:28.3Z,1,REGULAR,block,,[],1630567,,,1610612740,2,2,2026-03-28T00:55:12Z,120000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2026-03-28T00:43:34.3Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,2,2,2026-03-28T00:43:38Z,130000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
14,PT10M58.00S,2026-03-28T00:43:36.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642847,24.917871222076215,84.31372549019608,1610612740,2,2,2026-03-28T00:45:43Z,140000,False,-172.0,182.0,1,left,MISS J. Fears 24' pullup 3PT,[1642847],1610612740.0,NOP,pullup,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,,,,24.99,Missed,,,,,,,,,,,,,,,
