actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-22T00:42:38.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-22T00:42:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-22T00:42:40.9Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2025-11-22T00:42:40Z,40000,False,,,0,,Jump Ball J. Poeltl vs. T. Vukcevic: Tip to S. Barnes,"[1630567, 1627751, 1641774]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-22T00:42:52.6Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612761,0,0,2025-11-22T00:42:59Z,70000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1641774]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,1.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-11-22T00:42:52.6Z,1,REGULAR,steal,,[],1641774,,,1610612764,0,0,2025-11-22T00:42:54Z,80000,False,,,0,,T. Vukcevic STEAL (1 STL),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-11-22T00:43:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641731,19.136005256241788,6.372549019607843,1610612764,0,0,2025-11-22T00:43:10Z,90000,False,218.0,127.0,1,left,MISS B. Coulibaly 25' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Right Center,,,,25.26,Missed,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-11-22T00:43:07.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,0,2025-11-22T00:43:10Z,100000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M15.00S,2025-11-22T00:43:22.6Z,1,REGULAR,3pt,Jump Shot,[],1630567,90.75229960578186,97.05882352941177,1610612761,0,0,2025-11-22T00:43:27Z,110000,False,235.0,34.0,1,right,MISS S. Barnes 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,,,,23.78,Missed,,,,,,,,,,,,,,,
12,PT11M12.00S,2025-11-22T00:43:25.6Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,0,0,2025-11-22T00:43:27Z,120000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Right Corner 3,24+ Right,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M08.00S,2025-11-22T00:43:30.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641731,6.1268068331143235,52.20588235294118,1610612764,0,2,2025-11-22T00:43:37Z,130000,False,-11.0,5.0,1,left,B. Coulibaly running DUNK (2 PTS),[1641731],1610612764.0,WAS,running,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,1.21,Made,,,,,2.0,,,,,,,,,,
15,PT10M54.00S,2025-11-22T00:44:05.2Z,1,REGULAR,foul,personal,[],1641774,,,1610612761,0,2,2025-11-22T00:44:12Z,150000,False,,,0,,T. Vukcevic personal FOUL (1 PF),"[1641774, 1627751]",1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1830.0,1.0,0.0,Poeltl,1627751.0,,,,,
17,PT10M51.00S,2025-11-22T00:44:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,89.96386333771353,56.127450980392155,1610612761,2,2,2025-11-22T00:44:26Z,170000,False,31.0,42.0,1,right,I. Quickley bank Jump Shot (2 PTS) (S. Barnes 1 AST),"[1630193, 1630567]",1610612761.0,TOR,bank,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,5.18,Made,,,,,2.0,,,,,,S. Barnes,1630567.0,1.0,,
