actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-10T01:47:41.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-10T01:47:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-10T01:47:45.1Z,1,REGULAR,jumpball,recovered,[],1642347,,,1610612761,0,0,2025-12-10T01:47:45Z,40000,False,,,0,,Jump Ball J. Poeltl vs. K. Towns: Tip to J. Shead,"[1642347, 1627751, 1626157]",1610612761.0,TOR,startperiod,J. Shead,1642347.0,Shead,J. Shead,Poeltl,1627751.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-10T01:47:58.7Z,1,REGULAR,turnover,backcourt,[],1627742,,,1610612761,0,0,2025-12-10T01:48:05Z,70000,False,,,0,,B. Ingram backcourt TURNOVER (1 TO),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,201639.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2025-12-10T01:48:30.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,21.50131406044678,22.54901960784314,1610612752,0,2,2025-12-10T01:48:34Z,80000,False,137.0,150.0,1,left,J. Brunson 20' step back Jump Shot (2 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,,,20.31,Made,2.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2025-12-10T01:48:39.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,67.09921156373193,52.450980392156865,1610612761,0,2,2025-12-10T01:48:44Z,90000,False,12.0,257.0,1,right,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,25.71,Missed,,,,,,,,,,,,,,,,
10,PT11M19.00S,2025-12-10T01:48:42.4Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612761,0,2,2025-12-10T01:48:42Z,100000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2025-12-10T01:48:44.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642347,73.53810775295663,87.5,1610612761,0,2,2025-12-10T01:48:49Z,110000,False,188.0,196.0,1,right,MISS J. Shead 27' 3PT,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Right Center,,,27.14,Missed,,,,,,,,,,,,,,,,
12,PT11M13.00S,2025-12-10T01:48:48.2Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,2,2025-12-10T01:48:49Z,120000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M59.00S,2025-12-10T01:49:02.0Z,1,REGULAR,3pt,Jump Shot,[],1628969,10.463206307490145,5.147058823529411,1610612752,0,5,2025-12-10T01:49:37Z,130000,False,224.0,46.0,1,left,M. Bridges 3PT  (3 PTS) (J. Brunson 1 AST),"[1628969, 1628973]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,22.89,Made,3.0,,,,,J. Brunson,1628973.0,1.0,,,,,,,,
15,PT10M48.00S,2025-12-10T01:49:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,94.56307490144546,50.0,1610612761,2,5,2025-12-10T01:50:10Z,150000,False,0.0,-1.0,1,right,S. Barnes driving Layup (2 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,0.14,Made,2.0,,,,,,,,,,,,,,,
