actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotResult,pointsTotal,stealPlayerName,stealPersonId,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
21,PT10M47.00S,2025-11-23T23:15:28.0Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,5,0,2025-11-23T23:17:17Z,210000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M37.00S,2025-11-23T23:15:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.1688567674113,50.98039215686274,1610612761,7,0,2025-11-23T23:15:41Z,220000,False,5.0,2.0,1,right,R. Barrett alley-oop Layup (4 PTS) (S. Mamukelashvili 1 AST),"[1629628, 1630572]",1610612761.0,TOR,alley-oop,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,Made,4.0,,,0.54,S. Mamukelashvili,1630572.0,1.0,,,,,,
24,PT10M37.00S,2025-11-23T23:15:42.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,7,0,2025-11-23T23:15:42Z,240000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M19.00S,2025-11-23T23:18:56.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,7.835085413929041,2.941176470588235,1610612751,7,0,2025-11-23T23:19:02Z,250000,False,235.0,21.0,1,left,MISS N. Clowney 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,,,23.62,,,,,,,,,
26,PT10M17.00S,2025-11-23T23:18:58.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,7,0,2025-11-23T23:19:13Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,25.0,,,,,
29,PT10M04.00S,2025-11-23T23:20:06.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629651,8.754927726675426,75.49019607843137,1610612751,7,0,2025-11-23T23:20:12Z,290000,False,-127.0,30.0,1,left,MISS N. Claxton 13' turnaround Shot,[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Left,,,,,,,Missed,,,,13.09,,,,,,,,,
30,PT10M01.00S,2025-11-23T23:20:09.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,7,0,2025-11-23T23:20:12Z,300000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,
31,PT09M53.00S,2025-11-23T23:20:16.2Z,1,REGULAR,3pt,Jump Shot,[],1630193,72.48685939553219,86.27450980392157,1610612761,10,0,2025-11-23T23:20:21Z,310000,False,181.0,206.0,1,right,I. Quickley 27' 3PT  (3 PTS) (S. Barnes 2 AST),"[1630193, 1630567]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,,,,Made,3.0,,,27.46,S. Barnes,1630567.0,2.0,,,,,,
33,PT09M28.00S,2025-11-23T23:20:41.1Z,1,REGULAR,3pt,Jump Shot,[],1629611,9.937582128777924,97.30392156862744,1610612751,10,0,2025-11-23T23:20:46Z,330000,False,-237.0,41.0,1,left,MISS T. Mann 24' 3PT,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,,,,,,,Missed,,,,24.0,,,,,,,,,
34,PT09M25.00S,2025-11-23T23:20:44.1Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612761,10,0,2025-11-23T23:20:46Z,340000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,
