actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-12T22:12:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-12T22:12:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-12T22:12:35.6Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2026-04-12T22:12:35Z,40000,False,,,0,,Jump Ball J. Poeltl vs. T. Scott: Tip to S. Barnes,"[1630567, 1627751, 1630286]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Scott,1630286.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-04-12T22:12:52.5Z,1,REGULAR,turnover,lost ball,[],1627751,,,1610612761,0,0,2026-04-12T22:13:03Z,70000,False,,,0,,J. Poeltl lost ball TURNOVER (1 TO),"[1627751, 1630604]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,1.0,Liddell,1630604.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-04-12T22:12:52.5Z,1,REGULAR,steal,,[],1630604,,,1610612751,0,0,2026-04-12T22:13:35Z,80000,False,,,0,,E. Liddell STEAL (1 STL),[1630604],1610612751.0,BKN,,,,Liddell,E. Liddell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2026-04-12T22:12:59.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630604,29.122864651773984,81.61764705882352,1610612751,0,3,2026-04-12T22:13:06Z,90000,False,-158.0,221.0,1,left,E. Liddell 27' 3PT  (3 PTS) (M. Smith 1 AST),"[1630604, 1641869]",1610612751.0,BKN,,,,Liddell,E. Liddell,,,,,Above the Break 3,24+ Left Center,,,,27.2,Made,3.0,M. Smith,1641869.0,1.0,,,,,,,,,,,
11,PT11M20.00S,2026-04-12T22:13:13.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,69.20170827858082,29.901960784313726,1610612761,0,3,2026-04-12T22:13:18Z,110000,False,-100.0,237.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,25.74,Missed,,,,,,,,,,,,,,,
12,PT11M19.00S,2026-04-12T22:13:14.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,3,2026-04-12T22:13:18Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,11.0,,,,,,,,,,
14,PT10M59.00S,2026-04-12T22:13:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642879,6.521024967148489,52.94117647058824,1610612751,0,3,2026-04-12T22:13:44Z,140000,False,-15.0,9.0,1,left,MISS B. Saraf driving Layup,[1642879],1610612751.0,BKN,driving,,,Saraf,B. Saraf,,,,,Restricted Area,0-8 Center,,,,1.71,Missed,,,,,,,,,,,,,,,
15,PT10M56.00S,2026-04-12T22:13:42.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,3,2026-04-12T22:13:42Z,150000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M49.00S,2026-04-12T22:13:49.1Z,1,REGULAR,3pt,Jump Shot,[],1630193,77.21747700394218,89.95098039215686,1610612761,0,3,2026-04-12T22:13:52Z,160000,False,200.0,162.0,1,right,MISS I. Quickley 25' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,25.7,Missed,,,,,,,,,,,,,,,
