actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2026-04-02T00:12:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-02T00:12:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-02T00:12:16.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612761,0,0,2026-04-02T00:12:16Z,40000,False,,,0,,Jump Ball J. Poeltl vs. M. Raynaud: Tip to Team (TOR),"[1627751, 1642875]",1610612761.0,TOR,startperiod,Team (TOR),Poeltl,1627751.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-04-02T00:12:40.2Z,1,REGULAR,violation,kicked ball,[],1630173,,,1610612761,0,0,2026-04-02T00:12:47Z,70000,False,,,0,,P. Achiuwa kicked ball VIOLATION,[1630173],1610612758.0,SAC,,,,,,,200833.0,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2026-04-02T00:13:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.72339027595268,44.85294117647059,1610612761,0,0,2026-04-02T00:13:06Z,80000,False,-26.0,16.0,1,right,MISS J. Poeltl cutting Layup,[1627751],1610612761.0,TOR,cutting,,,,,,,Poeltl,J. Poeltl,Restricted Area,0-8 Center,3.02,Missed,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2026-04-02T00:13:04.1Z,1,REGULAR,rebound,defensive,[],1642269,,,1610612758,0,0,2026-04-02T00:13:06Z,90000,False,,,0,,D. Carter REBOUND (Off:0 Def:1),[1642269],1610612758.0,SAC,,,,,,,,Carter,D. Carter,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2026-04-02T00:13:16.8Z,1,REGULAR,2pt,Jump Shot,[],201942,9.017739816031538,79.16666666666666,1610612758,0,0,2026-04-02T00:13:23Z,100000,False,-146.0,32.0,1,left,MISS D. DeRozan 14' turnaround Shot,[201942],1610612758.0,SAC,turnaround,,,,,,,DeRozan,D. DeRozan,Mid-Range,8-16 Left,14.93,Missed,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2026-04-02T00:13:20.8Z,1,REGULAR,rebound,defensive,[],1642266,,,1610612761,0,0,2026-04-02T00:13:23Z,120000,False,,,0,,J. Walter REBOUND (Off:0 Def:1),[1642266],1610612761.0,TOR,,,,,,,,Walter,J. Walter,Mid-Range,8-16 Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M16.00S,2026-04-02T00:13:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627751,92.72339027595268,49.754901960784316,1610612761,2,0,2026-04-02T00:13:27Z,130000,False,-1.0,16.0,1,right,J. Poeltl running Layup (2 PTS) (J. Walter 1 AST),"[1627751, 1642266]",1610612761.0,TOR,running,,,,,,,Poeltl,J. Poeltl,Restricted Area,0-8 Center,1.59,Made,,,,,2.0,J. Walter,1642266.0,1.0,,,,,,,,,,
16,PT11M07.00S,2026-04-02T00:13:33.0Z,1,REGULAR,turnover,bad pass,[],1642363,,,1610612758,2,0,2026-04-02T00:20:46Z,150000,False,,,0,,N. Clifford bad pass TURNOVER (1 TO),"[1642363, 1630567]",1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,Barnes,1630567.0,,,,,,,
17,PT11M07.00S,2026-04-02T00:13:33.0Z,1,REGULAR,steal,,[],1630567,,,1610612761,2,0,2026-04-02T00:13:35Z,160000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,,,,,Barnes,S. Barnes,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
18,PT11M06.00S,2026-04-02T00:13:37.1Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612761,2,0,2026-04-02T00:13:44Z,170000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Barnes 2 FT),"[201942, 1630567]",1610612758.0,SAC,shooting,,,,,,2882.0,DeRozan,D. DeRozan,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Barnes,1630567.0,,,
20,PT11M06.00S,2026-04-02T00:14:04.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630567,,,1610612761,2,0,2026-04-02T00:14:04Z,190000,False,,,0,,MISS S. Barnes Free Throw 1 of 2,[1630567],1610612761.0,TOR,,,,,,,,Barnes,S. Barnes,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT11M06.00S,2026-04-02T00:14:04.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,2,0,2026-04-02T00:14:04Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
22,PT11M06.00S,2026-04-02T00:14:04.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630567,,,1610612761,2,0,2026-04-02T00:14:25Z,210000,False,,,0,,MISS S. Barnes Free Throw 2 of 2,[1630567],1610612761.0,TOR,,,,,,,,Barnes,S. Barnes,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT11M04.00S,2026-04-02T00:14:06.9Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,2,0,2026-04-02T00:14:25Z,220000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:1),[1642875],1610612758.0,SAC,,,,,,,,Raynaud,M. Raynaud,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M48.00S,2026-04-02T00:14:37.6Z,1,REGULAR,2pt,Jump Shot,[],1642875,6.1268068331143235,70.83333333333334,1610612758,2,2,2026-04-02T00:21:35Z,230000,False,-104.0,5.0,1,left,M. Raynaud 10' floating Jump Shot (2 PTS) (D. DeRozan 1 AST),"[1642875, 201942]",1610612758.0,SAC,floating,,,,,,,Raynaud,M. Raynaud,Mid-Range,8-16 Left,10.43,Made,,,,,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,
