actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
26,PT10M38.00S,2026-04-02T00:14:48.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642266,95.22010512483574,50.245098039215684,1610612761,4,2,2026-04-02T00:14:51Z,250000,False,1.0,-8.0,1,right,J. Walter reverse Layup (2 PTS) (S. Barnes 1 AST),"[1642266, 1630567]",1610612761.0,TOR,reverse,,,,,,,Walter,J. Walter,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
28,PT10M25.00S,2026-04-02T00:15:01.0Z,1,REGULAR,3pt,Jump Shot,[],201942,32.276609724047304,65.68627450980392,1610612758,4,2,2026-04-02T00:15:06Z,270000,False,-78.0,251.0,1,left,MISS D. DeRozan 26' 3PT,[201942],1610612758.0,SAC,,,,,,,,DeRozan,D. DeRozan,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
29,PT10M22.00S,2026-04-02T00:15:04.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,4,2,2026-04-02T00:15:06Z,280000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,,,,,Poeltl,J. Poeltl,Above the Break 3,24+ Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT10M17.00S,2026-04-02T00:15:08.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630567,87.72996057818659,50.98039215686274,1610612761,6,2,2026-04-02T00:22:40Z,290000,False,5.0,63.0,1,right,S. Barnes 6' running pullup Jump Shot (2 PTS) (J. Shead 1 AST),"[1630567, 1642347]",1610612761.0,TOR,running pullup,,,,,,,Barnes,S. Barnes,In The Paint (Non-RA),0-8 Center,6.3,Made,,,,,2.0,J. Shead,1642347.0,1.0,,,,,,,,,,
32,PT10M07.00S,2026-04-02T00:15:21.9Z,1,REGULAR,violation,kicked ball,[],1642266,,,1610612758,6,2,2026-04-02T00:15:26Z,310000,False,,,0,,J. Walter kicked ball VIOLATION,[1642266],1610612761.0,TOR,,,,,,,1627964.0,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,
33,PT09M56.00S,2026-04-02T00:15:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630173,12.565703022339028,40.44117647058824,1610612758,6,2,2026-04-02T00:23:18Z,320000,False,48.0,66.0,1,left,MISS P. Achiuwa 8' driving floating Shot,[1630173],1610612758.0,SAC,driving floating,,,,,,,Achiuwa,P. Achiuwa,In The Paint (Non-RA),8-16 Right,8.12,Missed,,,,,,,,,,,,,,,,,,
34,PT09M56.00S,2026-04-02T00:15:48.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,6,2,2026-04-02T00:15:59Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,33.0,,,,,,,,,,,,,,,,,
35,PT09M56.00S,2026-04-02T00:15:53.1Z,1,REGULAR,turnover,traveling,[],1630173,,,1610612758,6,2,2026-04-02T00:16:02Z,340000,False,,,0,,P. Achiuwa traveling TURNOVER (1 TO),[1630173],1610612758.0,SAC,,,,,,,2882.0,Achiuwa,P. Achiuwa,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,,
36,PT09M51.00S,2026-04-02T00:16:03.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642347,81.15965834428384,48.28431372549019,1610612761,6,2,2026-04-02T00:24:45Z,350000,False,-9.0,125.0,1,right,MISS J. Shead 12' driving floating Shot,[1642347],1610612761.0,TOR,driving floating,,,,,,,Shead,J. Shead,In The Paint (Non-RA),8-16 Center,12.49,Missed,,,,,,,,,,,,,,,,,,
37,PT09M49.00S,2026-04-02T00:16:05.2Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,6,2,2026-04-02T00:16:10Z,360000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:2),[1642875],1610612758.0,SAC,,,,,,,,Raynaud,M. Raynaud,In The Paint (Non-RA),8-16 Center,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT09M38.00S,2026-04-02T00:16:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642363,9.017739816031538,39.21568627450981,1610612758,6,2,2026-04-02T00:16:31Z,370000,False,54.0,32.0,1,left,MISS N. Clifford 6' driving floating Shot - blocked,"[1642363, 1630567]",1610612758.0,SAC,driving floating,,,,,,,Clifford,N. Clifford,In The Paint (Non-RA),0-8 Center,6.28,Missed,,,,,,,,,,,,,,,,Barnes,1630567.0,
39,PT09M38.00S,2026-04-02T00:16:18.5Z,1,REGULAR,block,,[],1630567,,,1610612758,6,2,2026-04-02T00:16:21Z,380000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,,,,,Barnes,S. Barnes,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M37.00S,2026-04-02T00:16:19.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,6,2,2026-04-02T00:16:31Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,38.0,,,,,,,,,,,,,,,,,
42,PT09M30.00S,2026-04-02T00:16:43.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630173,5.601182654402102,52.450980392156865,1610612758,6,4,2026-04-02T00:16:47Z,410000,False,-12.0,0.0,1,left,P. Achiuwa cutting DUNK (2 PTS) (N. Clifford 1 AST),"[1630173, 1642363]",1610612758.0,SAC,cutting,,,,,,,Achiuwa,P. Achiuwa,Restricted Area,0-8 Center,1.23,Made,,,,,2.0,N. Clifford,1642363.0,1.0,,,,,,,,,,
44,PT09M19.00S,2026-04-02T00:16:53.9Z,1,REGULAR,2pt,Jump Shot,[],1630567,92.59198423127464,75.24509803921569,1610612761,8,4,2026-04-02T00:17:01Z,430000,False,126.0,17.0,1,right,S. Barnes 12' turnaround fadeaway Jump Shot (4 PTS),[1630567],1610612761.0,TOR,turnaround fadeaway,,,,,,,Barnes,S. Barnes,Mid-Range,8-16 Right,12.74,Made,,,,,4.0,,,,,,,,,,,,,
46,PT08M56.00S,2026-04-02T00:17:16.3Z,1,REGULAR,3pt,Jump Shot,[],1630173,30.962549277266753,69.11764705882352,1610612758,8,4,2026-04-02T00:17:23Z,450000,False,-96.0,239.0,1,left,MISS P. Achiuwa 25' 3PT,[1630173],1610612758.0,SAC,,,,,,,,Achiuwa,P. Achiuwa,Above the Break 3,24+ Left Center,25.69,Missed,,,,,,,,,,,,,,,,,,
47,PT08M55.00S,2026-04-02T00:17:17.3Z,1,REGULAR,rebound,offensive,[],1642269,,,1610612758,8,4,2026-04-02T00:27:09Z,460000,False,,,0,,D. Carter REBOUND (Off:1 Def:1),[1642269],1610612758.0,SAC,,,,,,,,Carter,D. Carter,Above the Break 3,24+ Left Center,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,,
48,PT08M55.00S,2026-04-02T00:17:21.8Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1642269,5.590000152587891,50.0,1610612758,8,6,2026-04-02T00:27:14Z,470000,False,0.0,0.0,1,left,D. Carter tip DUNK (2 PTS),[1642269],1610612758.0,SAC,tip,,,,,,,Carter,D. Carter,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
49,PT08M34.00S,2026-04-02T00:17:39.5Z,1,REGULAR,2pt,Jump Shot,[],1630567,80.50262812089356,73.0392156862745,1610612761,8,6,2026-04-02T00:17:43Z,480000,False,115.0,131.0,1,right,MISS S. Barnes 17' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,,,,,Barnes,S. Barnes,Mid-Range,16-24 Right Center,17.43,Missed,,,,,,,,,,,,,,,,,,
50,PT08M31.00S,2026-04-02T00:17:41.5Z,1,REGULAR,rebound,defensive,[],1642269,,,1610612758,8,6,2026-04-02T00:17:41Z,490000,False,,,0,,D. Carter REBOUND (Off:1 Def:2),[1642269],1610612758.0,SAC,,,,,,,,Carter,D. Carter,Mid-Range,16-24 Right Center,,,49.0,3.0,2.0,1.0,,,,,,,,,,,,,,
51,PT08M23.00S,2026-04-02T00:17:49.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642875,8.886333771353483,57.59803921568627,1610612758,8,8,2026-04-02T00:17:54Z,500000,False,-38.0,31.0,1,left,M. Raynaud turnaround bank Hook (4 PTS) (D. Carter 1 AST),"[1642875, 1642269]",1610612758.0,SAC,turnaround bank,,,,,,,Raynaud,M. Raynaud,In The Paint (Non-RA),0-8 Center,4.9,Made,,,,,4.0,D. Carter,1642269.0,1.0,,,,,,,,,,
53,PT08M11.00S,2026-04-02T00:18:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,85.23324572930355,48.529411764705884,1610612761,8,8,2026-04-02T00:29:00Z,520000,False,-7.0,86.0,1,right,MISS R. Barrett 8' driving floating Shot,[1629628],1610612761.0,TOR,driving floating,,,,,,,Barrett,R. Barrett,In The Paint (Non-RA),8-16 Center,8.66,Missed,,,,,,,,,,,,,,,,,,
54,PT08M10.00S,2026-04-02T00:18:04.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,8,8,2026-04-02T00:29:00Z,530000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,53.0,,,,,,,,,,,,,,,,,
55,PT08M10.00S,2026-04-02T00:18:09.6Z,1,REGULAR,foul,personal,[],1629628,,,1610612758,8,8,2026-04-02T00:18:22Z,540000,False,,,0,,R. Barrett loose ball personal FOUL (1 PF),"[1629628, 1642875]",1610612761.0,TOR,loose ball,,,,,,1627964.0,Barrett,R. Barrett,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,0.0,Raynaud,1642875.0,,,
57,PT08M10.00S,2026-04-02T00:18:21.8Z,1,REGULAR,substitution,out,[],1642347,,,1610612758,8,8,2026-04-02T00:18:26Z,560000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,
58,PT08M10.00S,2026-04-02T00:18:21.8Z,1,REGULAR,substitution,in,[],1630639,,,1610612758,8,8,2026-04-02T00:18:26Z,570000,False,,,0,,SUB in: A. Lawson,[1630639],1610612761.0,TOR,,,,,,,,Lawson,A. Lawson,,,,,,,,,,,,,,,,,,,,,,
59,PT07M50.00S,2026-04-02T00:18:43.4Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612758,8,8,2026-04-02T00:18:58Z,580000,False,,,0,,R. Barrett shooting personal FOUL (2 PF) (Carter 2 FT),"[1629628, 1642269]",1610612761.0,TOR,shooting,,,,,,200833.0,Barrett,R. Barrett,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,2.0,0.0,Carter,1642269.0,,,
61,PT07M50.00S,2026-04-02T00:19:19.4Z,1,REGULAR,freethrow,1 of 2,[],1642269,,,1610612758,8,9,2026-04-02T00:19:19Z,600000,False,,,0,,D. Carter Free Throw 1 of 2 (3 PTS),[1642269],1610612758.0,SAC,,,,,,,,Carter,D. Carter,,,,Made,,,,,3.0,,,,,,,,,,,,,
62,PT07M50.00S,2026-04-02T00:19:35.9Z,1,REGULAR,freethrow,2 of 2,[],1642269,,,1610612758,8,10,2026-04-02T00:19:35Z,610000,False,,,0,,D. Carter Free Throw 2 of 2 (4 PTS),[1642269],1610612758.0,SAC,,,,,,,,Carter,D. Carter,,,,Made,,,,,4.0,,,,,,,,,,,,,
63,PT07M28.00S,2026-04-02T00:20:00.3Z,1,REGULAR,3pt,Jump Shot,[],1630639,95.6143232588699,2.696078431372549,1610612761,8,10,2026-04-02T00:20:04Z,620000,False,-237.0,-11.0,1,right,MISS A. Lawson 3PT,[1630639],1610612761.0,TOR,,,,,,,,Lawson,A. Lawson,Left Corner 3,24+ Left,23.68,Missed,,,,,,,,,,,,,,,,,,
64,PT07M26.00S,2026-04-02T00:20:02.3Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,8,10,2026-04-02T00:20:04Z,630000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:3),[1642875],1610612758.0,SAC,,,,,,,,Raynaud,M. Raynaud,Left Corner 3,24+ Left,,,63.0,3.0,3.0,0.0,,,,,,,,,,,,,,
65,PT07M20.00S,2026-04-02T00:20:07.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642269,10.068988173455978,96.56862745098039,1610612758,8,10,2026-04-02T00:30:33Z,640000,False,-233.0,42.0,1,left,MISS D. Carter running 3PT,[1642269],1610612758.0,SAC,running,,,,,,,Carter,D. Carter,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,,
66,PT07M19.00S,2026-04-02T00:20:08.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,8,10,2026-04-02T00:20:13Z,650000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Left Corner 3,24+ Left,,,65.0,,,,,,,,,,,,,,,,,
68,PT07M19.00S,2026-04-02T00:20:17.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,8,10,2026-04-02T00:20:17Z,670000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M19.00S,2026-04-02T00:20:20.4Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,8,10,2026-04-02T00:23:10Z,680000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,
70,PT07M19.00S,2026-04-02T00:20:20.4Z,1,REGULAR,substitution,out,[],1629628,,,1610612761,8,10,2026-04-02T00:23:10Z,690000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,
71,PT07M19.00S,2026-04-02T00:20:20.4Z,1,REGULAR,substitution,in,[],1642347,,,1610612761,8,10,2026-04-02T00:23:10Z,700000,False,,,0,,SUB in: J. Shead,[1642347],1610612761.0,TOR,,,,,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,
72,PT07M19.00S,2026-04-02T00:20:20.4Z,1,REGULAR,substitution,in,[],1630572,,,1610612761,8,10,2026-04-02T00:23:10Z,710000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612761.0,TOR,,,,,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,
73,PT06M56.00S,2026-04-02T00:23:40.0Z,1,REGULAR,2pt,Jump Shot,[],1642347,76.2976346911958,71.81372549019608,1610612761,8,10,2026-04-02T00:23:46Z,720000,False,109.0,170.0,1,right,MISS J. Shead 20' pullup Shot,[1642347],1610612761.0,TOR,pullup,,,,,,,Shead,J. Shead,Mid-Range,16-24 Right Center,20.22,Missed,,,,,,,,,,,,,,,,,,
74,PT06M53.00S,2026-04-02T00:23:43.0Z,1,REGULAR,rebound,offensive,[],1630572,,,1610612761,8,10,2026-04-02T00:23:46Z,730000,False,,,0,,S. Mamukelashvili REBOUND (Off:1 Def:0),[1630572],1610612761.0,TOR,,,,,,,,Mamukelashvili,S. Mamukelashvili,Mid-Range,16-24 Right Center,,,73.0,1.0,0.0,1.0,,,,,,,,,,,,,,
75,PT06M44.00S,2026-04-02T00:23:53.2Z,1,REGULAR,foul,personal,['2freethrow'],1642875,,,1610612761,8,10,2026-04-02T00:24:06Z,740000,False,,,0,,M. Raynaud shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1642875, 1627751]",1610612758.0,SAC,shooting,,,,,,2882.0,Raynaud,M. Raynaud,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Poeltl,1627751.0,,,
77,PT06M44.00S,2026-04-02T00:24:18.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612761,9,10,2026-04-02T00:24:35Z,760000,False,,,0,,J. Poeltl Free Throw 1 of 2 (3 PTS),[1627751],1610612761.0,TOR,,,,,,,,Poeltl,J. Poeltl,,,,Made,,,,,3.0,,,,,,,,,,,,,
78,PT06M44.00S,2026-04-02T00:24:18.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612761,9,10,2026-04-02T00:24:35Z,770000,False,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612761.0,TOR,,,,,,,,Poeltl,J. Poeltl,,,,Missed,,,,,,,,,,,,,,,,,,
79,PT06M42.00S,2026-04-02T00:24:20.2Z,1,REGULAR,rebound,defensive,[],1642875,,,1610612758,9,10,2026-04-02T00:24:35Z,780000,False,,,0,,M. Raynaud REBOUND (Off:0 Def:4),[1642875],1610612758.0,SAC,,,,,,,,Raynaud,M. Raynaud,,,,,78.0,4.0,4.0,0.0,,,,,,,,,,,,,,
80,PT06M23.00S,2026-04-02T00:24:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,6.915243101182654,60.78431372549019,1610612758,9,10,2026-04-02T00:24:57Z,790000,False,-54.0,13.0,1,left,MISS M. Raynaud turnaround Shot,[1642875],1610612758.0,SAC,turnaround,,,,,,,Raynaud,M. Raynaud,In The Paint (Non-RA),0-8 Center,5.53,Missed,,,,,,,,,,,,,,,,,,
81,PT06M22.00S,2026-04-02T00:24:52.9Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612758,9,10,2026-04-02T00:32:06Z,800000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612758.0,SAC,,,,,,,,Achiuwa,P. Achiuwa,In The Paint (Non-RA),0-8 Center,,,80.0,1.0,0.0,1.0,,,,,,,,,,,,,,
82,PT06M22.00S,2026-04-02T00:24:56.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630173,5.590000152587891,50.0,1610612758,9,12,2026-04-02T00:32:16Z,810000,False,0.0,0.0,1,left,P. Achiuwa tip DUNK (4 PTS),[1630173],1610612758.0,SAC,tip,,,,,,,Achiuwa,P. Achiuwa,Restricted Area,0-8 Center,0.0,Made,,,,,4.0,,,,,,,,,,,,,
83,PT06M08.00S,2026-04-02T00:25:08.3Z,1,REGULAR,foul,personal,['2freethrow'],1642875,,,1610612761,9,12,2026-04-02T00:25:15Z,820000,False,,,0,,M. Raynaud shooting personal FOUL (2 PF) (Poeltl 2 FT),"[1642875, 1627751]",1610612758.0,SAC,shooting,,,,,,2882.0,Raynaud,M. Raynaud,Restricted Area,0-8 Center,,,,,,,,,,,,,,2.0,0.0,Poeltl,1627751.0,,,
85,PT06M08.00S,2026-04-02T00:25:35.5Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612761,10,12,2026-04-02T00:25:35Z,840000,False,,,0,,J. Poeltl Free Throw 1 of 2 (4 PTS),[1627751],1610612761.0,TOR,,,,,,,,Poeltl,J. Poeltl,,,,Made,,,,,4.0,,,,,,,,,,,,,
86,PT06M08.00S,2026-04-02T00:25:36.3Z,1,REGULAR,substitution,out,[],1642363,,,1610612761,10,12,2026-04-02T00:25:46Z,850000,False,,,0,,SUB out: N. Clifford,[1642363],1610612758.0,SAC,,,,,,,,Clifford,N. Clifford,,,,,,,,,,,,,,,,,,,,,,
87,PT06M08.00S,2026-04-02T00:25:36.3Z,1,REGULAR,substitution,out,[],1642269,,,1610612761,10,12,2026-04-02T00:25:46Z,860000,False,,,0,,SUB out: D. Carter,[1642269],1610612758.0,SAC,,,,,,,,Carter,D. Carter,,,,,,,,,,,,,,,,,,,,,,
88,PT06M08.00S,2026-04-02T00:25:36.3Z,1,REGULAR,substitution,out,[],1642875,,,1610612761,10,12,2026-04-02T00:25:46Z,870000,False,,,0,,SUB out: M. Raynaud,[1642875],1610612758.0,SAC,,,,,,,,Raynaud,M. Raynaud,,,,,,,,,,,,,,,,,,,,,,
