actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-29T00:42:18.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-29T00:42:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-29T00:42:20.5Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2026-01-29T00:42:20Z,40000,False,,,0,,Jump Ball K. Towns vs. S. Barnes: Tip to J. Hart,"[1628404, 1626157, 1630567]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-29T00:42:37.6Z,1,REGULAR,3pt,Jump Shot,[],1626157,29.6484888304862,75.24509803921569,1610612752,0,0,2026-01-29T00:42:42Z,70000,False,-126.0,226.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,25.9,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-01-29T00:42:39.6Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2026-01-29T00:42:42Z,80000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2026-01-29T00:42:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642867,93.64323258869908,49.26470588235294,1610612761,2,0,2026-01-29T00:42:49Z,90000,False,-4.0,7.0,1,right,C. Murray-Boyles running Layup (2 PTS) (S. Barnes 1 AST),"[1642867, 1630567]",1610612761.0,TOR,running,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
11,PT11M10.00S,2026-01-29T00:43:09.7Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612752,2,0,2026-01-29T00:43:18Z,110000,False,,,0,,J. Hart lost ball TURNOVER (1 TO),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,,,,
12,PT11M10.00S,2026-01-29T00:43:13.4Z,1,REGULAR,foul,personal,[],1628404,,,1610612761,2,0,2026-01-29T00:43:21Z,120000,False,,,0,,J. Hart loose ball personal FOUL (1 PF),"[1628404, 1630567]",1610612752.0,NYK,loose ball,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,200833.0,1.0,0.0,Barnes,1630567.0,,,,
14,PT10M59.00S,2026-01-29T00:43:39.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627742,83.39356110381078,45.34313725490196,1610612761,2,0,2026-01-29T00:43:45Z,140000,False,-23.0,104.0,1,right,MISS B. Ingram 10' pullup Shot,[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,10.62,Missed,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2026-01-29T00:43:42.6Z,1,REGULAR,rebound,offensive,[],1642867,,,1610612761,2,0,2026-01-29T00:43:42Z,150000,False,,,0,,C. Murray-Boyles REBOUND (Off:1 Def:0),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,In The Paint (Non-RA),8-16 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M53.00S,2026-01-29T00:43:45.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630193,82.86793692509855,95.83333333333334,1610612761,5,0,2026-01-29T00:43:49Z,160000,False,229.0,109.0,1,right,I. Quickley 25' 3PT  (3 PTS) (R. Barrett 1 AST),"[1630193, 1629628]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,25.36,Made,,,,,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,,
