actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-25T00:13:04.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-25T00:13:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-25T00:13:07.4Z,1,REGULAR,jumpball,recovered,[],1642281,,,1610612739,0,0,2025-11-25T00:13:07Z,40000,False,,,0,,Jump Ball E. Mobley vs. J. Poeltl: Tip to J. Tyson,"[1642281, 1630596, 1627751]",1610612739.0,CLE,startperiod,J. Tyson,1642281.0,Tyson,J. Tyson,Mobley,1630596.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-11-25T00:13:28.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,69.99014454664915,12.254901960784313,1610612739,0,3,2025-11-25T00:13:36Z,70000,False,-189.0,230.0,1,right,D. Mitchell 29' 3PT step back (3 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,29.72,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2025-11-25T00:13:44.3Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612761,0,3,2025-11-25T00:13:51Z,80000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1628378]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Right,,,,1.0,Mitchell,1628378.0,,,,,,,,,,,,,,
9,PT11M20.00S,2025-11-25T00:13:44.3Z,1,REGULAR,steal,,[],1628378,,,1610612739,0,3,2025-11-25T00:14:59Z,90000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2025-11-25T00:14:17.6Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,3,2025-11-25T00:15:48Z,100000,False,,,0,,Jump Ball E. Mobley vs. S. Barnes: Tip to E. Mobley,"[1630596, 1630596, 1630567]",1610612739.0,CLE,heldball,E. Mobley,1630596.0,Mobley,E. Mobley,Mobley,1630596.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2025-11-25T00:14:24.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,88.51839684625493,98.0392156862745,1610612739,0,3,2025-11-25T00:14:31Z,130000,False,240.0,55.0,1,right,MISS D. Mitchell 24' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Right Corner 3,24+ Right,24.65,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2025-11-25T00:14:27.9Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,0,3,2025-11-25T00:14:31Z,140000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M57.00S,2025-11-25T00:14:31.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630193,35.29894875164258,37.254901960784316,1610612761,3,3,2025-11-25T00:14:37Z,150000,False,64.0,279.0,1,left,I. Quickley 28' 3PT running pullup (3 PTS),[1630193],1610612761.0,TOR,running pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,28.65,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2025-11-25T00:14:50.9Z,1,REGULAR,3pt,Jump Shot,[],1626204,92.72339027595268,2.941176470588235,1610612739,3,3,2025-11-25T00:14:56Z,160000,False,-235.0,16.0,1,right,MISS L. Nance Jr. 3PT,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,Left Corner 3,24+ Left,23.58,Missed,,,,,,,,,,,,,,,,,,
