actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-06T00:41:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-06T00:41:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-06T00:41:54.6Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2026-01-06T00:41:54Z,40000,False,,,0,,Jump Ball O. Okongwu vs. S. Barnes: Tip to J. Johnson,"[1630552, 1630168, 1630567]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Okongwu,1630168.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-01-06T00:42:09.5Z,1,REGULAR,turnover,out-of-bounds,[],1629638,,,1610612737,0,0,2026-01-06T00:42:17Z,70000,False,,,0,,N. Alexander-Walker bad pass out-of-bounds TURNOVER (1 TO),[1629638],1610612737.0,ATL,bad pass,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,8-16 Left,1627519.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2026-01-06T00:42:24.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629628,92.85479632063075,51.225490196078425,1610612761,2,0,2026-01-06T00:42:32Z,80000,False,6.0,15.0,1,right,R. Barrett driving floating Jump Shot (2 PTS) (S. Barnes 1 AST),"[1629628, 1630567]",1610612761.0,TOR,driving floating,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,1.59,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,
10,PT11M34.00S,2026-01-06T00:42:26.7Z,1,REGULAR,foul,personal,['1freethrow'],1642258,,,1610612761,2,0,2026-01-06T00:42:41Z,100000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Barrett 1 FT),"[1642258, 1629628]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,1627534.0,,,,,,,,1.0,0.0,Barrett,1629628.0,,,,,,,,
12,PT11M34.00S,2026-01-06T00:42:50.7Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629628,,,1610612761,2,0,2026-01-06T00:42:53Z,120000,False,,,0,,MISS R. Barrett Free Throw 1 of 1,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
13,PT11M32.00S,2026-01-06T00:42:52.7Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,2,0,2026-01-06T00:42:53Z,130000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,
14,PT11M24.00S,2026-01-06T00:42:58.9Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,2,0,2026-01-06T00:43:04Z,140000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1627742]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,Ingram,1627742.0,,
15,PT11M24.00S,2026-01-06T00:42:58.9Z,1,REGULAR,steal,,[],1627742,,,1610612761,2,0,2026-01-06T00:47:29Z,150000,False,,,0,,B. Ingram STEAL (1 STL),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M13.00S,2026-01-06T00:43:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642867,93.38042049934296,42.40196078431372,1610612761,4,0,2026-01-06T00:47:58Z,160000,False,-38.0,10.0,1,right,C. Murray-Boyles Layup (2 PTS) (B. Ingram 1 AST),"[1642867, 1627742]",1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,,,3.92,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,
