actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-05T00:42:16.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-05T00:42:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-05T00:42:18.0Z,1,REGULAR,jumpball,recovered,[],1629216,,,1610612747,0,0,2025-12-05T00:42:18Z,40000,False,,,0,,Jump Ball D. Ayton vs. S. Barnes: Tip to G. Vincent,"[1629216, 1629028, 1630567]",1610612747.0,LAL,startperiod,G. Vincent,1629216.0,Vincent,G. Vincent,Ayton,1629028.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-12-05T00:42:31.6Z,1,REGULAR,3pt,Jump Shot,[],1630559,29.911300919842315,78.18627450980392,1610612747,0,3,2025-12-05T00:42:38Z,70000,False,-141.0,229.0,1,left,A. Reaves 26' 3PT  (3 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,26.86,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-12-05T00:42:56.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,93.24901445466492,43.627450980392155,1610612761,0,3,2025-12-05T00:45:08Z,90000,False,-32.0,11.0,1,right,MISS S. Barnes driving bank Hook,[1630567],1610612761.0,TOR,driving bank,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.37,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2025-12-05T00:42:58.7Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,3,2025-12-05T00:45:08Z,100000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2025-12-05T00:43:04.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630559,11.514454664914586,49.50980392156863,1610612747,0,3,2025-12-05T00:45:32Z,110000,False,2.0,56.0,1,left,MISS A. Reaves driving floating Shot - blocked,"[1630559, 1630567]",1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,5.58,Missed,,,,,,,,,Barnes,1630567.0,,,,,,,,
12,PT11M13.00S,2025-12-05T00:43:04.4Z,1,REGULAR,block,,[],1630567,,,1610612747,0,3,2025-12-05T00:43:07Z,120000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2025-12-05T00:43:06.4Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612747,0,3,2025-12-05T00:45:32Z,130000,False,,,0,,R. Hachimura REBOUND (Off:1 Def:0),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
14,PT11M10.00S,2025-12-05T00:43:09.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629060,20.318659658344284,76.47058823529412,1610612747,0,3,2025-12-05T00:45:58Z,140000,False,-132.0,138.0,1,left,MISS R. Hachimura 19' Jump Shot,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,16-24 Left Center,19.16,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2025-12-05T00:43:11.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,3,2025-12-05T00:45:58Z,150000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M57.00S,2025-12-05T00:43:21.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642266,92.59198423127464,38.23529411764706,1610612761,0,3,2025-12-05T00:47:03Z,160000,False,-59.0,17.0,1,right,MISS J. Walter 6' pullup Shot - blocked,"[1642266, 1629216]",1610612761.0,TOR,pullup,,,Walter,J. Walter,,,,,In The Paint (Non-RA),0-8 Center,6.12,Missed,,,,,,,,,Vincent,1629216.0,,,,,,,,
17,PT10M57.00S,2025-12-05T00:43:21.0Z,1,REGULAR,block,,[],1629216,,,1610612761,0,3,2025-12-05T00:43:24Z,170000,False,,,0,,G. Vincent BLOCK (1 BLK),[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M57.00S,2025-12-05T00:43:21.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,3,2025-12-05T00:43:41Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,16.0,,,,,,,,,,,,,
20,PT10M53.00S,2025-12-05T00:43:38.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630572,68.67608409986859,28.431372549019606,1610612761,0,3,2025-12-05T00:43:44Z,200000,False,-108.0,242.0,1,right,MISS S. Mamukelashvili 26' 3PT,[1630572],1610612761.0,TOR,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,26.48,Missed,,,,,,,,,,,,,,,,,,
21,PT10M53.00S,2025-12-05T00:43:38.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,3,2025-12-05T00:43:44Z,210000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M45.00S,2025-12-05T00:43:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629028,9.149145860709593,53.18627450980392,1610612747,0,5,2025-12-05T00:43:51Z,220000,False,-16.0,34.0,1,left,D. Ayton running Layup (2 PTS) (A. Reaves 1 AST),"[1629028, 1630559]",1610612747.0,LAL,running,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,3.71,Made,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
24,PT10M28.00S,2025-12-05T00:44:03.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,92.9862023653088,50.98039215686274,1610612761,2,5,2025-12-05T00:44:07Z,240000,False,5.0,13.0,1,right,S. Barnes cutting DUNK (2 PTS) (B. Ingram 1 AST),"[1630567, 1627742]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.43,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
26,PT10M07.00S,2025-12-05T00:44:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629216,32.14520367936925,20.588235294117645,1610612747,2,5,2025-12-05T00:44:28Z,260000,False,147.0,250.0,1,left,MISS G. Vincent 28' 3PT,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,28.98,Missed,,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2025-12-05T00:44:25.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,2,5,2025-12-05T00:44:28Z,270000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M55.00S,2025-12-05T00:44:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630567,71.30420499342969,18.137254901960784,1610612761,2,5,2025-12-05T00:44:40Z,280000,False,-159.0,217.0,1,right,MISS S. Barnes 26' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,26.94,Missed,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2025-12-05T00:44:40.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,2,5,2025-12-05T00:44:40Z,290000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M42.00S,2025-12-05T00:44:49.2Z,1,REGULAR,3pt,Jump Shot,[],1630559,35.167542706964525,47.05882352941176,1610612747,2,8,2025-12-05T00:44:57Z,300000,False,15.0,278.0,1,left,A. Reaves 27' 3PT pullup (6 PTS),[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,27.85,Made,6.0,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2025-12-05T00:44:59.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,74.98357424441524,60.78431372549019,1610612761,4,8,2025-12-05T00:45:04Z,310000,False,54.0,183.0,1,right,B. Ingram 19' step back Jump Shot (2 PTS) (S. Barnes 1 AST),"[1627742, 1630567]",1610612761.0,TOR,step back,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,19.05,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
32,PT09M07.00S,2025-12-05T00:45:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,6.521024967148489,52.94117647058824,1610612747,4,10,2025-12-05T00:45:29Z,320000,False,-15.0,9.0,1,left,G. Vincent driving reverse Layup (2 PTS),[1629216],1610612747.0,LAL,driving reverse,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,1.71,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M57.00S,2025-12-05T00:45:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.553876478318,45.83333333333333,1610612761,6,10,2025-12-05T00:45:39Z,330000,False,-21.0,121.0,1,right,B. Ingram 12' pullup Jump Shot (4 PTS) (I. Quickley 1 AST),"[1627742, 1630193]",1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.27,Made,4.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,,
35,PT08M38.00S,2025-12-05T00:45:53.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,5.206964520367937,50.245098039215684,1610612747,6,12,2025-12-05T00:45:56Z,350000,False,-1.0,-4.0,1,left,D. Ayton alley-oop DUNK (4 PTS) (A. Reaves 2 AST),"[1629028, 1630559]",1610612747.0,LAL,alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.38,Made,4.0,A. Reaves,1630559.0,2.0,,,,,,,,,,,,,,
37,PT08M25.00S,2025-12-05T00:46:06.3Z,1,REGULAR,3pt,Jump Shot,[],1627742,94.03745072273325,2.696078431372549,1610612761,6,12,2025-12-05T00:46:11Z,370000,False,-237.0,4.0,1,right,MISS B. Ingram 3PT,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Left Corner 3,24+ Left,23.65,Missed,,,,,,,,,,,,,,,,,,
