actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-27T00:42:18.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-27T00:42:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-27T00:42:21.5Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2025-11-27T00:42:21Z,40000,False,,,0,,Jump Ball J. Poeltl vs. I. Jackson: Tip to S. Barnes,"[1630567, 1627751, 1630543]",1610612761.0,TOR,startperiod,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-11-27T00:42:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,93.51182654402102,47.30392156862745,1610612761,2,0,2025-11-27T00:42:42Z,70000,False,-13.0,8.0,1,right,S. Barnes Layup (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,1.6,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2025-11-27T00:42:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,7.046649145860711,53.92156862745098,1610612754,2,0,2025-11-27T00:43:03Z,80000,False,-20.0,14.0,1,left,MISS B. Mathurin driving finger roll Layup,[1631097],1610612754.0,IND,driving finger roll,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,2.39,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2025-11-27T00:42:58.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,2,0,2025-11-27T00:43:03Z,90000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2025-11-27T00:43:06.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,85.49605781865965,49.01960784313725,1610612761,2,0,2025-11-27T00:43:10Z,100000,False,-5.0,84.0,1,right,MISS B. Ingram 8' turnaround fadeaway Shot,[1627742],1610612761.0,TOR,turnaround fadeaway,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,8.39,Missed,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2025-11-27T00:43:08.2Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,2,0,2025-11-27T00:43:10Z,110000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M05.00S,2025-11-27T00:43:14.8Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612754,2,0,2025-11-27T00:43:26Z,120000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Jackson 2 FT),"[1627751, 1630543]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,2004.0,1.0,0.0,Jackson,1630543.0,,,,,,,,
14,PT11M05.00S,2025-11-27T00:43:45.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630543,,,1610612754,2,1,2025-11-27T00:43:45Z,140000,False,,,0,,I. Jackson Free Throw 1 of 2 (1 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2025-11-27T00:44:05.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630543,,,1610612754,2,2,2025-11-27T00:44:05Z,150000,False,,,0,,I. Jackson Free Throw 2 of 2 (2 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
