actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-26T00:42:18.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-26T00:42:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-26T00:42:21.1Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2026-02-26T00:42:21Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. C. Murray-Boyles: Tip to D. Fox,"[1628368, 1641705, 1642867]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Wembanyama,1641705.0,Murray-Boyles,1642867.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-26T00:42:39.2Z,1,REGULAR,foul,personal,['2freethrow'],1642867,,,1610612759,0,0,2026-02-26T00:42:48Z,70000,False,,,0,,C. Murray-Boyles shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1642867, 1641705]",1610612761.0,TOR,shooting,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,1155.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2026-02-26T00:43:03.3Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,0,1,2026-02-26T00:43:03Z,90000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2026-02-26T00:43:23.9Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,0,2,2026-02-26T00:43:23Z,100000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M33.00S,2026-02-26T00:43:37.4Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612761,0,2,2026-02-26T00:43:41Z,110000,False,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1642264]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,Castle,1642264.0,,,,,,,,,,
12,PT11M33.00S,2026-02-26T00:43:37.4Z,1,REGULAR,steal,,[],1642264,,,1610612759,0,2,2026-02-26T00:43:39Z,120000,False,,,0,,S. Castle STEAL (1 STL),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2026-02-26T00:43:45.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628368,6.258212877792378,51.225490196078425,1610612759,0,4,2026-02-26T01:14:11Z,130000,False,-6.0,6.0,1,left,D. Fox driving finger roll Layup (2 PTS),[1628368],1610612759.0,SAS,driving finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,0.88,,,,,,,,,
14,PT11M13.00S,2026-02-26T00:43:56.8Z,1,REGULAR,3pt,Jump Shot,[],1627742,67.62483574244416,66.91176470588235,1610612761,0,4,2026-02-26T00:44:02Z,140000,False,85.0,252.0,1,right,MISS B. Ingram 26' 3PT,[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,26.56,,,,,,,,,
15,PT11M11.00S,2026-02-26T00:44:00.0Z,1,REGULAR,rebound,offensive,[],1642867,,,1610612761,0,4,2026-02-26T00:44:00Z,150000,False,,,0,,C. Murray-Boyles REBOUND (Off:1 Def:0),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
16,PT11M09.00S,2026-02-26T00:44:01.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,80.3712220762155,93.87254901960785,1610612761,0,4,2026-02-26T00:44:06Z,160000,False,219.0,132.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,25.6,,,,,,,,,
17,PT11M05.00S,2026-02-26T00:44:05.9Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,0,4,2026-02-26T00:44:06Z,170000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M47.00S,2026-02-26T00:44:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,15.325229960578188,57.84313725490197,1610612759,0,6,2026-02-26T00:44:28Z,180000,False,-39.0,92.0,1,left,D. Fox 9' turnaround fadeaway Jump Shot (4 PTS),[1628368],1610612759.0,SAS,turnaround fadeaway,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,4.0,,,,9.96,,,,,,,,,
19,PT10M33.00S,2026-02-26T00:44:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,84.97043363994744,56.61764705882353,1610612761,2,6,2026-02-26T00:44:42Z,190000,False,33.0,89.0,1,right,S. Barnes 9' pullup Jump Shot (2 PTS) (C. Murray-Boyles 1 AST),"[1630567, 1642867]",1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,,,,9.48,,,,,C. Murray-Boyles,1642867.0,1.0,,
21,PT10M13.00S,2026-02-26T00:44:57.0Z,1,REGULAR,3pt,Jump Shot,[],1630170,26.757555847568987,19.607843137254903,1610612759,2,9,2026-02-26T00:45:01Z,210000,False,152.0,199.0,1,left,D. Vassell 25' 3PT  (3 PTS) (J. Champagnie 1 AST),"[1630170, 1630577]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,25.04,,,,,J. Champagnie,1630577.0,1.0,,
23,PT09M52.00S,2026-02-26T00:45:18.8Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612761,2,9,2026-02-26T00:45:23Z,230000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1630170]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Vassell,1630170.0,,,,,,,,,,
