actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-12-07T20:43:33.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-07T20:43:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-07T20:43:35.2Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612761,0,0,2025-12-07T20:43:35Z,40000,False,,,0,,Jump Ball J. Poeltl vs. N. Queta: Tip to B. Ingram,"[1627742, 1627751, 1629674]",1610612761.0,TOR,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Poeltl,1627751.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-12-07T20:43:58.0Z,1,REGULAR,turnover,out-of-bounds,[],1642266,,,1610612761,0,0,2025-12-07T20:44:08Z,70000,False,,,0,,J. Walter step out-of-bounds TURNOVER (1 TO),[1642266],1610612761.0,TOR,step,,,Walter,J. Walter,,,,,Right Corner 3,24+ Right,101284.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2025-12-07T20:44:19.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,23.603810775295663,47.05882352941176,1610612738,0,0,2025-12-07T20:44:24Z,80000,False,15.0,169.0,1,left,MISS J. Brown 17' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,17.0,Missed,,,,,,,,,,,,,,,,
9,PT11M22.00S,2025-12-07T20:44:20.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612761,0,0,2025-12-07T20:45:12Z,90000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M15.00S,2025-12-07T20:44:27.2Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",1630567,89.96386333771353,38.48039215686275,1610612761,0,0,2025-12-07T20:45:19Z,100000,False,-58.0,42.0,1,right,MISS S. Barnes 7' turnaround bank Hook,[1630567],1610612761.0,TOR,turnaround bank,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,7.12,Missed,,,,,,,,,,,,,,,,
11,PT11M13.00S,2025-12-07T20:44:29.2Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,0,2025-12-07T20:44:29Z,110000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,
12,PT11M11.00S,2025-12-07T20:44:31.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,86.5473061760841,50.0,1610612761,0,0,2025-12-07T20:46:09Z,120000,False,0.0,74.0,1,right,MISS S. Barnes 7' driving Layup - blocked,"[1630567, 1627759]",1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,7.4,Missed,,,,,Brown,1627759.0,,,,,,,,,,
13,PT11M11.00S,2025-12-07T20:44:31.5Z,1,REGULAR,block,,[],1627759,,,1610612761,0,0,2025-12-07T20:46:12Z,130000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2025-12-07T20:44:31.5Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,0,0,2025-12-07T20:44:44Z,140000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
