actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-17T00:42:17.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-17T00:42:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-17T00:42:19.9Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2026-01-17T00:42:19Z,40000,False,,,0,,Jump Ball I. Zubac vs. S. Barnes: Tip to J. Harden,"[201935, 1627826, 1630567]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2026-01-17T00:42:42.2Z,1,REGULAR,2pt,Jump Shot,[],1642920,74.19513797634691,33.82352941176471,1610612746,0,0,2026-01-17T00:42:48Z,70000,False,-81.0,190.0,1,right,MISS K. Sanders 20' fadeaway Shot,[1642920],1610612746.0,LAC,fadeaway,,,Sanders,K. Sanders,,,,,Mid-Range,16-24 Left Center,20.66,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2026-01-17T00:42:44.2Z,1,REGULAR,rebound,defensive,[],1642347,,,1610612761,0,0,2026-01-17T00:43:16Z,80000,False,,,0,,J. Shead REBOUND (Off:0 Def:1),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2026-01-17T00:42:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642867,6.1268068331143235,52.450980392156865,1610612761,0,0,2026-01-17T00:44:03Z,90000,False,-12.0,5.0,1,left,MISS C. Murray-Boyles cutting Layup,[1642867],1610612761.0,TOR,cutting,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,1.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2026-01-17T00:43:00.0Z,1,REGULAR,rebound,defensive,[],1642920,,,1610612746,0,0,2026-01-17T00:43:04Z,100000,False,,,0,,K. Sanders REBOUND (Off:0 Def:1),[1642920],1610612746.0,LAC,,,,Sanders,K. Sanders,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M03.00S,2026-01-17T00:43:13.1Z,1,REGULAR,3pt,Jump Shot,[],201587,93.51182654402102,96.07843137254902,1610612746,0,0,2026-01-17T00:43:17Z,110000,False,230.0,8.0,1,right,MISS N. Batum 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Right Corner 3,24+ Right,23.06,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2026-01-17T00:43:16.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2026-01-17T00:43:17Z,120000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M55.00S,2026-01-17T00:43:21.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642867,5.995400788436268,53.431372549019606,1610612761,0,0,2026-01-17T00:43:29Z,130000,False,-17.0,4.0,1,left,MISS C. Murray-Boyles running Layup - blocked,"[1642867, 201587]",1610612761.0,TOR,running,,,Murray-Boyles,C. Murray-Boyles,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,Batum,201587.0,,,,,,,,,,,,
14,PT10M55.00S,2026-01-17T00:43:21.5Z,1,REGULAR,block,,[],201587,,,1610612761,0,0,2026-01-17T00:43:23Z,140000,False,,,0,,N. Batum BLOCK (1 BLK),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
