actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-27T01:10:53.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-27T01:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-10-27T01:10:58.8Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612757,0,0,2025-10-27T01:10:58Z,40000,False,,,0,,Jump Ball D. Clingan vs. I. Zubac: Tip to D. Avdija,"[1630166, 1642270, 1627826]",1610612757.0,POR,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Clingan,1642270.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-10-27T01:11:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641739,11.908672798948752,38.48039215686275,1610612757,0,0,2025-10-27T01:11:18Z,70000,False,58.0,59.0,1,left,MISS T. Camara 8' driving floating Shot - blocked,"[1641739, 1627826]",1610612757.0,POR,driving floating,,,Camara,T. Camara,,,,,In The Paint (Non-RA),8-16 Right,8.27,Missed,Zubac,1627826.0,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-10-27T01:11:11.7Z,1,REGULAR,block,,[],1627826,,,1610612757,0,0,2025-10-27T01:11:14Z,80000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-10-27T01:11:16.7Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,0,2025-10-27T01:11:18Z,90000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M34.00S,2025-10-27T01:11:19.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627884,91.01511169513797,50.245098039215684,1610612746,2,0,2025-10-27T01:11:40Z,100000,False,1.0,32.0,1,right,D. Jones Jr. running Layup (2 PTS) (J. Harden 1 AST),"[1627884, 201935]",1610612746.0,LAC,running,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,3.2,Made,,,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,
12,PT11M22.00S,2025-10-27T01:11:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631101,16.507884362680684,46.07843137254902,1610612757,2,0,2025-10-27T01:13:22Z,120000,False,20.0,103.0,1,left,MISS S. Sharpe 10' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),8-16 Center,10.46,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2025-10-27T01:11:33.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,2,0,2025-10-27T01:11:33Z,130000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M11.00S,2025-10-27T01:11:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.9862023653088,54.65686274509803,1610612746,2,0,2025-10-27T01:11:45Z,140000,False,23.0,13.0,1,right,MISS I. Zubac cutting Layup,[1627826],1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2025-10-27T01:11:44.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,2,0,2025-10-27T01:11:45Z,150000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
