actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-02T03:40:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-02T03:40:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-02T03:40:21.8Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2026-01-02T03:40:21Z,40000,False,,,0,,Jump Ball B. Lopez vs. K. Filipowski: Tip to J. Harden,"[201935, 201572, 1642271]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Lopez,201572.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-02T03:40:37.5Z,1,REGULAR,3pt,Jump Shot,[],202695,30.699737187910642,59.068627450980394,1610612746,0,0,2026-01-02T03:40:44Z,70000,False,-45.0,236.0,1,left,MISS K. Leonard 24' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,24.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-01-02T03:40:40.5Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612762,0,0,2026-01-02T03:40:44Z,80000,False,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2026-01-02T03:40:49.9Z,1,REGULAR,3pt,Jump Shot,[],1642271,69.85873850197109,26.96078431372549,1610612762,0,0,2026-01-02T03:40:55Z,90000,False,-115.0,231.0,1,right,MISS K. Filipowski 25' 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,25.8,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2026-01-02T03:40:51.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612746,0,0,2026-01-02T03:41:51Z,100000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2026-01-02T03:41:06.1Z,1,REGULAR,foul,personal,['2freethrow'],1641707,,,1610612746,0,0,2026-01-02T03:41:31Z,110000,False,,,0,,T. Hendricks shooting personal FOUL (1 PF) (Harden 2 FT),"[1641707, 201935]",1610612762.0,UTA,shooting,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,1.0,0.0,Harden,201935.0,,,,,,,,,
13,PT11M14.00S,2026-01-02T03:41:31.7Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612746,1,0,2026-01-02T03:41:31Z,130000,False,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M14.00S,2026-01-02T03:41:46.7Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612746,2,0,2026-01-02T03:41:46Z,140000,False,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
16,PT10M58.00S,2026-01-02T03:42:18.6Z,1,REGULAR,3pt,Jump Shot,[],1641729,77.34888304862024,90.19607843137256,1610612762,2,0,2026-01-02T03:42:24Z,160000,False,201.0,160.0,1,right,MISS B. Sensabaugh 25' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,25.72,Missed,,,,,,,,,,,,,,,,,,
