actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-06T03:10:49.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-06T03:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-01-06T03:10:54.0Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612744,0,0,2026-01-06T03:10:54Z,40000,False,,,0,,Jump Ball Q. Post vs. I. Zubac: Tip to J. Butler III,"[202710, 1642366, 1627826]",1610612744.0,GSW,startperiod,J. Butler III,202710.0,Butler III,J. Butler III,Post,1642366.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-01-06T03:11:05.9Z,1,REGULAR,3pt,Jump Shot,[],201939,89.96386333771353,4.6568627450980395,1610612744,0,0,2026-01-06T03:11:11Z,70000,False,-227.0,42.0,1,right,MISS S. Curry step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-01-06T03:11:08.9Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,0,2026-01-06T03:11:11Z,80000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2026-01-06T03:11:17.7Z,1,REGULAR,turnover,lost ball,[],1628381,,,1610612746,0,0,2026-01-06T03:11:21Z,90000,False,,,0,,J. Collins lost ball TURNOVER (1 TO),"[1628381, 1630541]",1610612746.0,LAC,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Moody,1630541.0,,,,,,,,,,,
10,PT11M31.00S,2026-01-06T03:11:17.7Z,1,REGULAR,steal,,[],1630541,,,1610612744,0,0,2026-01-06T03:11:19Z,100000,False,,,0,,M. Moody STEAL (1 STL),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2026-01-06T03:11:27.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203110,77.61169513797634,10.294117647058822,1610612744,0,0,2026-01-06T03:11:38Z,110000,False,-199.0,158.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,25.37,Missed,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2026-01-06T03:11:30.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2026-01-06T03:12:28Z,120000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M10.00S,2026-01-06T03:11:37.7Z,1,REGULAR,2pt,Jump Shot,[],1642920,16.770696452036795,19.852941176470587,1610612746,2,0,2026-01-06T03:11:44Z,130000,False,151.0,105.0,1,left,K. Sanders 18' pullup Jump Shot (2 PTS) (K. Leonard 1 AST),"[1642920, 202695]",1610612746.0,LAC,pullup,,,Sanders,K. Sanders,,,,,Mid-Range,16-24 Right,18.37,Made,,,,,,,,2.0,K. Leonard,202695.0,1.0,,,,,,,
15,PT10M45.00S,2026-01-06T03:12:04.5Z,1,REGULAR,3pt,Jump Shot,[],203110,67.23061760840999,56.372549019607845,1610612744,2,0,2026-01-06T03:12:11Z,150000,False,32.0,256.0,1,right,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,25.75,Missed,,,,,,,,,,,,,,,,,,
