actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-11T03:41:27.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-11T03:41:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-11-11T03:41:28.2Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2025-11-11T03:41:28Z,40000,False,,,0,,Jump Ball I. Zubac vs. K. Porziņģis: Tip to J. Harden,"[201935, 1627826, 204001]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Zubac,1627826.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-11-11T03:41:48.3Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612746,0,0,2025-11-11T03:41:53Z,70000,False,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1630700]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,1.0,Daniels,1630700.0,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-11-11T03:41:48.3Z,1,REGULAR,steal,,[],1630700,,,1610612737,0,0,2025-11-11T03:41:50Z,80000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2025-11-11T03:42:05.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642258,23.47240473061761,10.294117647058822,1610612737,0,0,2025-11-11T03:42:10Z,90000,False,199.0,168.0,1,left,MISS Z. Risacher 26' step back 3PT,[1642258],1610612737.0,ATL,step back,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Right Center,,,,26.01,Missed,,,,,,,,,,,,,,,
10,PT11M12.00S,2025-11-11T03:42:09.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2025-11-11T03:42:10Z,100000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M05.00S,2025-11-11T03:42:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,92.9862023653088,44.11764705882353,1610612746,2,0,2025-11-11T03:42:23Z,110000,False,-29.0,13.0,1,right,K. Dunn driving Layup (2 PTS),[1627739],1610612746.0,LAC,driving,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,3.23,Made,,,,,2.0,,,,,,,,,,
12,PT10M56.00S,2025-11-11T03:42:25.5Z,1,REGULAR,2pt,Jump Shot,[],1630552,12.434296977660972,23.284313725490197,1610612737,2,0,2025-11-11T03:43:17Z,120000,False,134.0,64.0,1,left,MISS J. Johnson 14' pullup Shot,[1630552],1610612737.0,ATL,pullup,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Right,,,,14.83,Missed,,,,,,,,,,,,,,,
13,PT10M53.00S,2025-11-11T03:42:28.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,2,0,2025-11-11T03:42:30Z,130000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M43.00S,2025-11-11T03:42:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,91.27792378449409,47.549019607843135,1610612746,2,0,2025-11-11T03:42:46Z,140000,False,-12.0,29.0,1,right,MISS J. Collins driving reverse Layup - blocked,"[1628381, 204001]",1610612746.0,LAC,driving reverse,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,3.2,Missed,,,,,,Porziņģis,204001.0,,,,,,,,
15,PT10M43.00S,2025-11-11T03:42:38.5Z,1,REGULAR,block,,[],204001,,,1610612746,2,0,2025-11-11T03:42:40Z,150000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2025-11-11T03:42:41.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612746,2,0,2025-11-11T03:42:46Z,160000,False,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612746.0,LAC,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
35,PT10M39.00S,2025-11-11T03:42:42.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,94.3988173455979,41.91176470588235,1610612746,4,0,2025-11-11T03:46:07Z,162500,False,-40.0,0.0,1,right,J. Collins putback Layup (2 PTS),[1628381],1610612746.0,LAC,putback,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,4.04,Made,,,,,2.0,,,,,,,,,,
17,PT10M26.00S,2025-11-11T03:42:56.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,8.229303547963205,52.20588235294118,1610612737,4,0,2025-11-11T03:43:01Z,170000,False,-11.0,25.0,1,left,MISS D. Daniels driving floating Shot,[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,2.72,Missed,,,,,,,,,,,,,,,
18,PT10M21.00S,2025-11-11T03:43:01.3Z,1,REGULAR,rebound,offensive,[],204001,,,1610612737,4,0,2025-11-11T03:43:01Z,180000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:0),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,
19,PT10M21.00S,2025-11-11T03:43:00.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",204001,5.590000152587891,50.0,1610612737,4,2,2025-11-11T03:43:00Z,190000,False,0.0,0.0,1,left,K. Porziņģis tip DUNK (2 PTS),[204001],1610612737.0,ATL,tip,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,2.0,,,,,,,,,,
20,PT09M59.00S,2025-11-11T03:43:23.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,82.60512483574244,47.794117647058826,1610612746,6,2,2025-11-11T03:47:18Z,200000,False,-11.0,111.0,1,right,I. Zubac 11' Hook (2 PTS) (J. Harden 1 AST),"[1627826, 201935]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,11.15,Made,,,,,2.0,,,J. Harden,201935.0,1.0,,,,,
22,PT09M38.00S,2025-11-11T03:43:46.1Z,1,REGULAR,3pt,Jump Shot,[],1630700,30.962549277266753,80.3921568627451,1610612737,6,2,2025-11-11T03:43:49Z,220000,False,-152.0,239.0,1,left,MISS D. Daniels 28' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,,,,28.28,Missed,,,,,,,,,,,,,,,
23,PT09M38.00S,2025-11-11T03:43:46.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,6,2,2025-11-11T03:43:49Z,230000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,22.0,,,,,,,,,,,,,,
24,PT09M22.00S,2025-11-11T03:44:08.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,90.62089356110381,48.529411764705884,1610612746,8,2,2025-11-11T03:44:14Z,240000,False,-7.0,36.0,1,right,I. Zubac Hook (4 PTS) (J. Harden 2 AST),"[1627826, 201935]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,3.65,Made,,,,,4.0,,,J. Harden,201935.0,2.0,,,,,
26,PT09M07.00S,2025-11-11T03:44:23.1Z,1,REGULAR,turnover,bad pass,[],1630552,,,1610612737,8,2,2025-11-11T03:44:26Z,260000,False,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[1630552, 1627739]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Right,1.0,Dunn,1627739.0,,,,,,,,,,,,,,,,,
