actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-24T03:42:37.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-24T03:42:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-12-24T03:42:43.3Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612746,0,0,2025-12-24T03:42:43Z,40000,False,,,0,,Jump Ball B. Lopez vs. A. Sengun: Tip to J. Harden,"[201935, 201572, 1630578]",1610612746.0,LAC,startperiod,J. Harden,201935.0,Harden,J. Harden,Lopez,201572.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2025-12-24T03:43:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,91.5407358738502,46.32352941176471,1610612746,0,0,2025-12-24T03:43:09Z,70000,False,-18.0,27.0,1,right,MISS J. Collins cutting Layup,[1628381],1610612746.0,LAC,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2025-12-24T03:43:09.1Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2025-12-24T03:43:09Z,80000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-12-24T03:43:15.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,16.376478318002626,56.61764705882353,1610612745,0,2,2025-12-24T03:43:20Z,90000,False,-33.0,101.0,1,left,K. Durant 10' turnaround Jump Shot (2 PTS) (A. Sengun 1 AST),"[201142, 1630578]",1610612745.0,HOU,turnaround,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,10.67,Made,,,,,2.0,A. Sengun,1630578.0,1.0,,,,,,,,,,
10,PT11M01.00S,2025-12-24T03:43:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,92.72339027595268,55.392156862745104,1610612746,0,2,2025-12-24T03:43:39Z,100000,False,27.0,16.0,1,right,MISS J. Collins cutting Layup,[1628381],1610612746.0,LAC,cutting,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,3.13,Missed,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2025-12-24T03:43:38.6Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,0,2,2025-12-24T03:43:39Z,110000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M47.00S,2025-12-24T03:43:49.9Z,1,REGULAR,3pt,Jump Shot,[],1631095,10.200394218134035,94.6078431372549,1610612745,0,2,2025-12-24T03:43:55Z,120000,False,-223.0,43.0,1,left,MISS J. Smith Jr. 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,22.72,Missed,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2025-12-24T03:43:50.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,0,2,2025-12-24T03:43:55Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Left Corner 3,24+ Left,,,12.0,,,,,,,,,,,,,,,,,
15,PT10M30.00S,2025-12-24T03:44:16.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,87.07293035479631,53.18627450980392,1610612746,2,2,2025-12-24T03:44:24Z,150000,False,16.0,69.0,1,right,K. Leonard 7' turnaround Jump Shot (2 PTS) (J. Collins 1 AST),"[202695, 1628381]",1610612746.0,LAC,turnaround,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,7.08,Made,,,,,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,
